
5 Mot inconnu : TurboPrint => ====== Pilote d'impression TurboPrint ====== | turboprint

7 Mot inconnu : TurboPrint => **TurboPrint** est un pilote propriétaire payant très complet pour un large éventail d'imprimantes. Il offre des fonctionnalités qui pourraient n'être pas disponibles avec certains pilotes libres d'imprimantes : | turboprint
18 Mot inconnu : TurboPrint => Il existe en version d'évaluation (gratuite) d'une durée de 30 jours, offrant toutes les fonctionnalités de la version complète, en plus des fonctionnalités additionnelles de la version TurboPrint Studio. | turboprint

20 Accord de genre erroné : « site » est masculin. => Bien que la site web soit en anglais (ou allemand), le pilote est disponible en français. | la => suggestions : ['le']

36 Mot inconnu : TurboPrint => TurboPrint est compatible avec plusieurs imprimantes des marques suivantes : Brother, Canon, Epson et HP. | turboprint
36 Mot inconnu : Brother => TurboPrint est compatible avec plusieurs imprimantes des marques suivantes : Brother, Canon, Epson et HP. | brother
36 Mot inconnu : Epson => TurboPrint est compatible avec plusieurs imprimantes des marques suivantes : Brother, Canon, Epson et HP. | epson
36 Mot inconnu : HP => TurboPrint est compatible avec plusieurs imprimantes des marques suivantes : Brother, Canon, Epson et HP. | hp

40 Mot inconnu : HP => <note tip>Pour les imprimantes HP, préférez le très complet pilote libre [[HPLIP]] qui supporte les imprimantes multifonctions.</note> | hp
40 Mot inconnu : HPLIP => <note tip>Pour les imprimantes HP, préférez le très complet pilote libre [[HPLIP]] qui supporte les imprimantes multifonctions.</note> | hplip

54 Mot inconnu : Download => Assurez-vous de sélectionner la bonne architecture matérielle pour votre version d'Ubuntu (32 bits ou 64 bits), puis cliquez sur le bouton **Download** pour accéder à la page de téléchargement. | download
56 Mot inconnu : DEB => Une fois sur la page de téléchargement, téléchargez le fichier : **DEB package for Debian / Ubuntu**. | deb

63 Mot inconnu : TurboPrint => Via le gestionnaire //TurboPrint Control//. | turboprint
63 Mot inconnu : Control => Via le gestionnaire //TurboPrint Control//. | control

65 Mot inconnu : TurboPrint => Lors du premier lancement, une fenêtre **TurboPrint Installation** s'affiche en anglais. Suivez les étapes de configuration suivantes : | turboprint

74 Mot inconnu : TurboPrint => Enfin, la fenêtre du **Centre de contrôle de TurboPrint** se lance. | turboprint

78 Mot inconnu : TurboPrint => Vous devez ajouter votre imprimante manuellement. Dans la fenêtre du Centre de contrôle de TurboPrint, cliquez sur le bouton **Ajouter**. La fenêtre **TurboPrint ; ajouter / modifier l'imprimante** prendra environ 15 secondes pour apparaître. | turboprint
78 Mot inconnu : TurboPrint => Vous devez ajouter votre imprimante manuellement. Dans la fenêtre du Centre de contrôle de TurboPrint, cliquez sur le bouton **Ajouter**. La fenêtre **TurboPrint ; ajouter / modifier l'imprimante** prendra environ 15 secondes pour apparaître. | turboprint
82 Un seul point après « etc. » => Si votre imprimante est connectée directement à l'ordinateur, vous choisirez « imprimante standard » et, dans la liste « Choisir le port », vous ferez apparaître la connexion correspondante. Dans le cas d'une imprimante réseau, choisissez « autre imprimante ». Vous disposez de toute une liste de connexions possibles (Fichier, Imprimante distante, Windows distant, etc...) avec les caractéristiques associées à saisir. | etc... => suggestions : ['etc.']

88 Mot inconnu : TurboPrint => Dans l'écran suivant, vous pouvez personnaliser le nom abrégé et le nom long. Cliquez sur **Valider** pour terminer l'ajout d'imprimante et retourner au centre de contrôle de TurboPrint. L'impression d'une page de test vous sera proposée. | turboprint

99 Mot inconnu : TurboPrint => La configuration des modes d'impressions se fait de façon conviviale via le bouton **Configuration** du Centre de contrôle de TurboPrint.  | turboprint
99 Espace(s) en fin de ligne à supprimer. => La configuration des modes d'impressions se fait de façon conviviale via le bouton **Configuration** du Centre de contrôle de TurboPrint.  |   => suggestions : ['']

104 Mot inconnu : TurboPrint => TurboPrint s'utilise via deux applications : | turboprint

119 Mot inconnu : TurboPrint => Ouvrez //**TurboPrint Control**//, cliquez sur le bouton **Infos/Licence**, puis **Sélectionner le fichier de déverrouillage...**, sélectionnez le fichier qui contient la clé d'activation, et voilà c'est fini. | turboprint
119 Mot inconnu : Control => Ouvrez //**TurboPrint Control**//, cliquez sur le bouton **Infos/Licence**, puis **Sélectionner le fichier de déverrouillage...**, sélectionnez le fichier qui contient la clé d'activation, et voilà c'est fini. | control
119 Typographie : points de suspension. Utilisez le caractère dédié. => Ouvrez //**TurboPrint Control**//, cliquez sur le bouton **Infos/Licence**, puis **Sélectionner le fichier de déverrouillage...**, sélectionnez le fichier qui contient la clé d'activation, et voilà c'est fini. | ... => suggestions : ['…']
