
3 Mot inconnu : UFR => ====== Comment installer les pilotes génériques Canon UFR II ====== | ufr
12 Mot inconnu : cndrvcups-ufr2-uk => Vous pouvez ajouter le [[ppa canon]] à vos sources de logiciel, puis installer le paquet **[[apt>cndrvcups-ufr2-uk]]**. | cndrvcups-ufr2-uk
16 Il manque un espace avant la parenthèse. => Téléchargez les pilotes directement sur le site canon : [[https://www.canon-europe.com/support/products/imagerunner/ir1018.aspx?type=drivers&language=EN&os=Linux%20(64-bit)|64 bits]], ou [[https://www.canon-europe.com/support/products/imagerunner/ir1018.aspx?type=drivers&language=EN&os=Linux%20(32-bit)|32 bits]], cliquez sur //Download// à droite de la page, le téléchargement se lance. | ( => suggestions : [' (']
16 Il manque un espace avant la parenthèse. => Téléchargez les pilotes directement sur le site canon : [[https://www.canon-europe.com/support/products/imagerunner/ir1018.aspx?type=drivers&language=EN&os=Linux%20(64-bit)|64 bits]], ou [[https://www.canon-europe.com/support/products/imagerunner/ir1018.aspx?type=drivers&language=EN&os=Linux%20(32-bit)|32 bits]], cliquez sur //Download// à droite de la page, le téléchargement se lance. | ( => suggestions : [' (']
16 Mot inconnu : Download => Téléchargez les pilotes directement sur le site canon : [[https://www.canon-europe.com/support/products/imagerunner/ir1018.aspx?type=drivers&language=EN&os=Linux%20(64-bit)|64 bits]], ou [[https://www.canon-europe.com/support/products/imagerunner/ir1018.aspx?type=drivers&language=EN&os=Linux%20(32-bit)|32 bits]], cliquez sur //Download// à droite de la page, le téléchargement se lance. | download

19 Guillemets typographiques ouvrants. => Faites ensuite un clic droit sur l'archive précédemment téléchargée et choisissez << //Extraire ici// >>. L'archive sera alors décompressée, chercher le dossier "debian". | " => suggestions : ['«\xa0', '“']
19 Mot inconnu : debian => Faites ensuite un clic droit sur l'archive précédemment téléchargée et choisissez << //Extraire ici// >>. L'archive sera alors décompressée, chercher le dossier "debian". | debian
19 Guillemets typographiques fermants. => Faites ensuite un clic droit sur l'archive précédemment téléchargée et choisissez << //Extraire ici// >>. L'archive sera alors décompressée, chercher le dossier "debian". | " => suggestions : ['\xa0»', '”']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''**64-bit_Driver**'' :Si vous avez téléchargé la dernière version. //** Voir la méthode << [[#Installation  64 bits]] >>.**// |    => suggestions : ['']
23 Mot inconnu : bit_Driver =>   * ''**64-bit_Driver**'' :Si vous avez téléchargé la dernière version. //** Voir la méthode << [[#Installation  64 bits]] >>.**// | bit_driver
23 Espace(s) surnuméraire(s) à supprimer. =>   * ''**64-bit_Driver**'' :Si vous avez téléchargé la dernière version. //** Voir la méthode << [[#Installation  64 bits]] >>.**// |    => suggestions : [' ']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''**Sources**'' : contient deux archives tar.gz pour la compilation depuis les sources des pilotes. |    => suggestions : ['']
24 S’il s’agit d’un impératif, la terminaison est “is”, non “it”. =>   * ''**Sources**'' : contient deux archives tar.gz pour la compilation depuis les sources des pilotes. | contient => suggestions : ['contiens']
24 Mot inconnu : tar =>   * ''**Sources**'' : contient deux archives tar.gz pour la compilation depuis les sources des pilotes. | tar
24 Mot inconnu : gz =>   * ''**Sources**'' : contient deux archives tar.gz pour la compilation depuis les sources des pilotes. | gz

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''**Documents**'' : contient les informations légales relatives à l'utilisation du pilote. |    => suggestions : ['']
27 S’il s’agit d’un impératif, la terminaison est “is”, non “it”. =>   * ''**Documents**'' : contient les informations légales relatives à l'utilisation du pilote. | contient => suggestions : ['contiens']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

35 Mot inconnu : FIXME => FIXME il faudrait revérifier le contenu des dossiers ci-dessous, qui peut varier en fonction des versions. | fixme

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **cndrvcups-common_3.80-1_i386.deb**  |    => suggestions : ['']
38 Mot inconnu : cndrvcups-common_3 =>   * **cndrvcups-common_3.80-1_i386.deb**  | cndrvcups-common_3
38 Mot inconnu : _i386 =>   * **cndrvcups-common_3.80-1_i386.deb**  | _i386
38 Mot inconnu : deb =>   * **cndrvcups-common_3.80-1_i386.deb**  | deb
