
16 Typographie : points de suspension. Utilisez le caractère dédié. [[91:94]] => Plus loin, un tableau non exhaustif récapitulant les codes trouvés sur différents sites web... <|> ... => suggestions : ['…']
18 Mot inconnu : vga [[44:47]] => ===== Tableau des codes pour le paramètre « vga » ====== <|> vga
20 Mot inconnu : vga [[137:140]] => Il existe deux type de codes --- décimaux ou hexadécimaux --- qui peuvent l'un comme l'autre être passés au noyau //via// le paramètre « vga ». <|> vga
27 Espace(s) en fin de ligne à supprimer. [[129:131]] => Ou bien utilisez le tableau suivant (à noter que certaines valeurs de ce tableau semblent variables suivant la carte graphique) :   <|>    => suggestions : ['']

30 Mot inconnu : hexa [[35:39]] => ^ Taille ^ Nom ^ Ratio ^ décimal ^ hexa. ^ décimal ^ hexa. ^ décimal ^ hexa. ^ <|> hexa
30 Mot inconnu : hexa [[53:57]] => ^ Taille ^ Nom ^ Ratio ^ décimal ^ hexa. ^ décimal ^ hexa. ^ décimal ^ hexa. ^ <|> hexa
30 Mot inconnu : hexa [[71:75]] => ^ Taille ^ Nom ^ Ratio ^ décimal ^ hexa. ^ décimal ^ hexa. ^ décimal ^ hexa. ^ <|> hexa

31 Espace(s) surnuméraire(s) à supprimer. [[10:13]] => |640 × 480   | VGA  |1.33 |769  |**0x301** |785  |**0x311** |786   |**0x312** | <|>     => suggestions : [' ']
31 Mot inconnu : VGA [[15:18]] => |640 × 480   | VGA  |1.33 |769  |**0x301** |785  |**0x311** |786   |**0x312** | <|> vga
31 Espace(s) surnuméraire(s) à supprimer. [[18:20]] => |640 × 480   | VGA  |1.33 |769  |**0x301** |785  |**0x311** |786   |**0x312** | <|>    => suggestions : [' ']
31 Espace(s) surnuméraire(s) à supprimer. [[30:32]] => |640 × 480   | VGA  |1.33 |769  |**0x301** |785  |**0x311** |786   |**0x312** | <|>    => suggestions : [' ']
31 Mot inconnu : x301 [[36:40]] => |640 × 480   | VGA  |1.33 |769  |**0x301** |785  |**0x311** |786   |**0x312** | <|> x301
31 Espace(s) surnuméraire(s) à supprimer. [[47:49]] => |640 × 480   | VGA  |1.33 |769  |**0x301** |785  |**0x311** |786   |**0x312** | <|>    => suggestions : [' ']
31 Mot inconnu : x311 [[53:57]] => |640 × 480   | VGA  |1.33 |769  |**0x301** |785  |**0x311** |786   |**0x312** | <|> x311
31 Espace(s) surnuméraire(s) à supprimer. [[64:67]] => |640 × 480   | VGA  |1.33 |769  |**0x301** |785  |**0x311** |786   |**0x312** | <|>     => suggestions : [' ']
31 Mot inconnu : x312 [[71:75]] => |640 × 480   | VGA  |1.33 |769  |**0x301** |785  |**0x311** |786   |**0x312** | <|> x312

32 Espace(s) surnuméraire(s) à supprimer. [[10:13]] => |800 × 600   | SVGA |1.33 |771  |**0x303** |788  |**0x314** |789   |**0x315** | <|>     => suggestions : [' ']
