
4 Mot inconnu : Sudo => ====== Sudo : effectuez des tâches administratives ====== | sudo
8 Mot inconnu : sudo => Dans Ubuntu, l'accomplissement de tâches privilégiées (ou tâches d'administration) s'effectue à travers un « filtre » puissant appelé **sudo**. Son principe est le suivant: | sudo

26 Mot inconnu : Xubuntu => ==== Exécuter une application graphique (Ubuntu, Xubuntu) ==== | xubuntu

56 Mot inconnu : sudo => ==== Quand doit-on utiliser sudo/gksudo/kdesudo ? ==== | sudo
56 Mot inconnu : gksudo => ==== Quand doit-on utiliser sudo/gksudo/kdesudo ? ==== | gksudo
56 Mot inconnu : kdesudo => ==== Quand doit-on utiliser sudo/gksudo/kdesudo ? ==== | kdesudo

82 Mot inconnu : sudo => ==== Configuration avancée de l'utilitaire sudo ==== | sudo

88 Mot inconnu : sudo => ==== Les avantages de sudo ==== | sudo
100 Mot inconnu : sudo => ==== « sudo » n'est-il pas moins sécurisé que « su root » ? ==== | sudo
100 Mot inconnu : root => ==== « sudo » n'est-il pas moins sécurisé que « su root » ? ==== | root
107 Mot inconnu : sudo => ==== Observer le journal des tâches exécutées précédemment par « sudo » ==== | sudo

112 Mot inconnu : root => ==== Ouvrir un terminal en mode root ==== | root
124 Mot inconnu : sudo => ==== Rediriger un flux avec « sudo » ==== | sudo

133 Mot inconnu : MySQL => Certains programmes ou services nécessitent des comptes super-utilisateurs. C'est généralement le cas avec des systèmes de bases de données (comme MySQL). Prenez note que ce compte super-utilisateur est indépendant de celui du système d'exploitation : il est unique au programme ou service en particulier. | mysql
