
5 Mot inconnu : Xbox => ====== Comment exploiter pleinement la Xbox 360 avec Ubuntu ? ====== | xbox

7 Mot inconnu : Xbox => La Xbox 360 de Microsoft permet de faire bien plus que jouer. Elle est aussi très efficace dans le domaine du multimédia. | xbox

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * AVI |    => suggestions : ['']
14 Mot inconnu : AVI =>   * AVI | avi

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * MP4 |    => suggestions : ['']
15 Mot inconnu : MP4 =>   * MP4 | mp4

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10 |    => suggestions : ['']
18 Mot inconnu : MPEG-4 =>   * H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10 | mpeg-4
18 Mot inconnu : MPEG-4 =>   * H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10 | mpeg-4

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Xvid / MPEG-4 part 2 |    => suggestions : ['']
19 Mot inconnu : Xvid =>   * Xvid / MPEG-4 part 2 | xvid
19 Mot inconnu : MPEG-4 =>   * Xvid / MPEG-4 part 2 | mpeg-4

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * MP3 (stéréo) |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * AAC-LC (stéréo) |    => suggestions : ['']
23 Mot inconnu : AAC-LC =>   * AAC-LC (stéréo) | aac-lc

31 Mot inconnu : avi => Pour ce faire, copiez un film (avi ou mp4) sur un clef USB, puis connectez celle-ci à la console. | avi
31 Mot inconnu : mp4 => Pour ce faire, copiez un film (avi ou mp4) sur un clef USB, puis connectez celle-ci à la console. | mp4
31 Accord de genre erroné : « clef » est féminin. => Pour ce faire, copiez un film (avi ou mp4) sur un clef USB, puis connectez celle-ci à la console. | un => suggestions : ['une']

47 Mot inconnu : Xvid-MP3 => ==== Xvid-MP3 (AVI) ==== | xvid-mp3
47 Mot inconnu : AVI => ==== Xvid-MP3 (AVI) ==== | avi

53 Mot inconnu : ffmpeg => ffmpeg -y -threads 2 \ | ffmpeg
53 Il manque un espace à côté du tiret. => ffmpeg -y -threads 2 \ |  - => suggestions : [' – ', ' — ']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     -i mon_fichier_video.avi.mkv.mp4.mpg \ |      => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     -acodec libmp3lame -ab 128k -ac 2 \ |      => suggestions : ['']
55 Mot inconnu : acodec =>     -acodec libmp3lame -ab 128k -ac 2 \ | acodec
55 Mot inconnu : libmp3lame =>     -acodec libmp3lame -ab 128k -ac 2 \ | libmp3lame
55 Il manque un espace à côté du tiret. =>     -acodec libmp3lame -ab 128k -ac 2 \ |  - => suggestions : [' – ', ' — ']
55 Il manque un espace à côté du tiret. =>     -acodec libmp3lame -ab 128k -ac 2 \ |  - => suggestions : [' – ', ' — ']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     -vcodec libxvid -b 1M \ |      => suggestions : ['']
56 Mot inconnu : vcodec =>     -vcodec libxvid -b 1M \ | vcodec
56 Mot inconnu : libxvid =>     -vcodec libxvid -b 1M \ | libxvid
56 Il manque un espace à côté du tiret. =>     -vcodec libxvid -b 1M \ |  - => suggestions : [' – ', ' — ']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     -f avi mon_fichier_pour_xbox.avi |      => suggestions : ['']
57 Mot inconnu : avi =>     -f avi mon_fichier_pour_xbox.avi | avi
57 Mot inconnu : mon_fichier_pour_xbox =>     -f avi mon_fichier_pour_xbox.avi | mon_fichier_pour_xbox
57 Mot inconnu : avi =>     -f avi mon_fichier_pour_xbox.avi | avi

60 Mot inconnu : H264-AAC => ==== H264-AAC (MP4) ==== | h264-aac
