
4 Mot inconnu : TuxOnIce => ====== TuxOnIce ====== | tuxonice

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

11 Mot inconnu : TuxOnIce => <note important> **Tous les ordinateurs ne sont pas compatibles avec TuxOnIce**, cependant si l'hibernation traditionnelle fonctionne, il y a de fortes chances que cela fonctionne.</note> | tuxonice

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

31 Mot inconnu : sudo => sudo apt-get install tuxonice-userui linux-generic-tuxonice linux-headers-generic-tuxonice</code> | sudo
31 Mot inconnu : apt-get => sudo apt-get install tuxonice-userui linux-generic-tuxonice linux-headers-generic-tuxonice</code> | apt-get
31 Mot inconnu : install => sudo apt-get install tuxonice-userui linux-generic-tuxonice linux-headers-generic-tuxonice</code> | install
31 Mot inconnu : tuxonice-userui => sudo apt-get install tuxonice-userui linux-generic-tuxonice linux-headers-generic-tuxonice</code> | tuxonice-userui
31 Mot inconnu : linux-generic-tuxonice => sudo apt-get install tuxonice-userui linux-generic-tuxonice linux-headers-generic-tuxonice</code> | linux-generic-tuxonice
31 Mot inconnu : linux-headers-generic-tuxonice => sudo apt-get install tuxonice-userui linux-generic-tuxonice linux-headers-generic-tuxonice</code> | linux-headers-generic-tuxonice

35 Mot inconnu : kernel => Et voila normalement, aucune autre configuration n'est nécessaire. Le [[kernel]] TuxOnIce détecte la partition swap dans laquelle il va écrire pendant la phase hibernation. | kernel
35 Mot inconnu : TuxOnIce => Et voila normalement, aucune autre configuration n'est nécessaire. Le [[kernel]] TuxOnIce détecte la partition swap dans laquelle il va écrire pendant la phase hibernation. | tuxonice

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

43 Mot inconnu : kernel => <note warning> **Ne jamais démarrer sur un kernel différent après une hibernation, vous risquez de détruire votre partition swap.**</note> | kernel

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://tuxonice.net|Site officiel du logiciel]] |    => suggestions : ['']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
