
7 Mot inconnu : TuxType2 [[7:15]] => ====== TuxType2 ====== <|> tuxtype2

9 Mot inconnu : Typing [[4:10]] => Tux Typing 2 est une application ludique pour apprendre à taper au clavier grâce à des petits jeux. On trouve par exemple des poissons verts ou des flammes bleues qui tombent du ciel et qu'il faut détruire, qui ne sont autre que des mots que l'on atomise à coup de saisie sur le clavier. <|> typing
9 Accord avec la forme verbale “sont” : “autre” devrait être au pluriel. [[219:224]] => Tux Typing 2 est une application ludique pour apprendre à taper au clavier grâce à des petits jeux. On trouve par exemple des poissons verts ou des flammes bleues qui tombent du ciel et qu'il faut détruire, qui ne sont autre que des mots que l'on atomise à coup de saisie sur le clavier. <|> autre => suggestions : ['autres']

19 Accord de nombre erroné : « jeux » est au pluriel. [[14:16]] => ==== Afficher le jeux en français ==== <|> le => suggestions : ['les']
19 Accord de nombre erroné : « jeux » devrait être au singulier. [[17:21]] => ==== Afficher le jeux en français ==== <|> jeux => suggestions : ['jeu']

20 Mot inconnu : Setup [[38:43]] => À partir du jeu cliquez sur le menu **Setup language** / **flèche de droite** / **French** <|> setup
20 Mot inconnu : language [[44:52]] => À partir du jeu cliquez sur le menu **Setup language** / **flèche de droite** / **French** <|> language

31 Mot inconnu : fingers [[44:51]] => Il est déconseillé de modifier le fichier **fingers.txt** qui sert à apprendre le positionnement des doigts. <|> fingers
31 Mot inconnu : txt [[52:55]] => Il est déconseillé de modifier le fichier **fingers.txt** qui sert à apprendre le positionnement des doigts. <|> txt

41 Accord de nombre erroné : « jeux » est au pluriel. [[14:16]] => pour afficher le jeux en pleine écran <|> le => suggestions : ['les']
41 Accord de nombre erroné : « jeux » devrait être au singulier. [[17:21]] => pour afficher le jeux en pleine écran <|> jeux => suggestions : ['jeu']
41 Accord de genre erroné avec « écran ». [[25:31]] => pour afficher le jeux en pleine écran <|> pleine => suggestions : ['plein']
41 Accord de genre erroné avec « pleine ». [[32:37]] => pour afficher le jeux en pleine écran <|> écran => suggestions : []

44 Accord de nombre erroné : « jeux » est au pluriel. [[14:16]] => pour afficher le jeux en mode fenêtré <|> le => suggestions : ['les']
44 Accord de nombre erroné : « jeux » devrait être au singulier. [[17:21]] => pour afficher le jeux en mode fenêtré <|> jeux => suggestions : ['jeu']

50 Accord de nombre erroné : « jeux » devrait être au singulier. [[24:28]] => augmente la rapidité du jeux (pour un ordinateur lent) <|> jeux => suggestions : ['jeu']
