
5 Mot inconnu : Sign [[21:25]] => ====== Ubuntu Single Sign On ====== <|> sign

6 Mot inconnu : SSO [[7:10]] => Ubuntu SSO est le service d'authentification unifié pour l'ensemble des services Internet fournis par la société Canonical (sponsor d'Ubuntu). <|> sso
8 Mot inconnu : One [[116:119]] => L'inscription à l'un de ces services, que ce soit depuis une application sur votre ordinateur (ex: le client Ubuntu One ou la Logithèque) ou sur l'un des sites web (voir ci-dessous), créé un compte Ubuntu SSO. <|> one
8 Mot inconnu : SSO [[205:208]] => L'inscription à l'un de ces services, que ce soit depuis une application sur votre ordinateur (ex: le client Ubuntu One ou la Logithèque) ou sur l'un des sites web (voir ci-dessous), créé un compte Ubuntu SSO. <|> sso

18 Mot inconnu : SSO [[38:41]] => ===== Gestion de l'identifiant Ubuntu SSO ===== <|> sso

24 Accord de nombre erroné : « listes » devrait être au singulier. [[27:33]] => On peut aussi consulter la listes des sites auxquels on est connecté avec cet identifiant. <|> listes => suggestions : None

26 Mot inconnu : OpenID [[6:12]] => ===== OpenID ===== <|> openid

29 Mot inconnu : OpenID [[31:37]] => ==== Connaître son identifiant OpenID ==== <|> openid

34 Mot inconnu : SSO [[56:59]] => vous êtes alors invité à saisir vos identifiants Ubuntu SSO, si vous n'êtes pas déjà connecté. <|> sso
36 Mot inconnu : OpenID [[232:238]] => Ensuite toujours dans la page https://launchpad.net/ (vers laquelle on est redirigé après connexion), cliquer en haut à droite sur le nom d'utilisateur et là on arrive dans la page de gestion du profil launchpad ou apparaît enfin l'OpenID : <|> openid
38 Mot inconnu : nickname [[46:54]] => Il est de la forme : **https://launchpad.net/~nickname** <|> nickname

40 Mot inconnu : nickname [[3:11]] => Où nickname est votre pseudo. Ce pseudo est généré automatiquement à partir de votre adresse de courriel. Il peut comprendre un numéro d'ordre si une personne du même nom s'est déjà inscrite avant vous. <|> nickname

42 Mot inconnu : OpenID [[2:8]] => L'OpenID est précédé d'une icône de cadenas qui signifie que cette adresse OpenID n'est pas modifiable... dans cette page ! <|> openid
42 Mot inconnu : OpenID [[75:81]] => L'OpenID est précédé d'une icône de cadenas qui signifie que cette adresse OpenID n'est pas modifiable... dans cette page ! <|> openid
42 Typographie : points de suspension. Utilisez le caractère dédié. [[102:105]] => L'OpenID est précédé d'une icône de cadenas qui signifie que cette adresse OpenID n'est pas modifiable... dans cette page ! <|> ... => suggestions : None

44 Mot inconnu : OpenID [[30:36]] => ==== Modifier son identifiant OpenID ==== <|> openid

45 Mot inconnu : OpenID [[126:132]] => <note important>Si l'on modifie cet identifiant, on ne sera plus identifié sur les sites auxquels on s'était inscrit avec cet OpenID. Il est donc préférable, si l'identifiant créé automatiquement ne vous satisfait pas, de le changer avant de commencer à s'en servir.</note> <|> openid
