
4 Mot inconnu : UISP => ====== UISP ====== | uisp

8 Mot inconnu : UISP => UISP est un programme (equivalent à ponyprog sous windows) pour utiliser vos carte stk 200, 500,... donc pour programmer les microcontrôleur AVR (AT90S...) | uisp
8 Mot inconnu : equivalent => UISP est un programme (equivalent à ponyprog sous windows) pour utiliser vos carte stk 200, 500,... donc pour programmer les microcontrôleur AVR (AT90S...) | equivalent
8 Mot inconnu : ponyprog => UISP est un programme (equivalent à ponyprog sous windows) pour utiliser vos carte stk 200, 500,... donc pour programmer les microcontrôleur AVR (AT90S...) | ponyprog
8 Accord de nombre erroné : « carte » devrait être au pluriel. => UISP est un programme (equivalent à ponyprog sous windows) pour utiliser vos carte stk 200, 500,... donc pour programmer les microcontrôleur AVR (AT90S...) | carte => suggestions : ['cartes']
8 Mot inconnu : stk => UISP est un programme (equivalent à ponyprog sous windows) pour utiliser vos carte stk 200, 500,... donc pour programmer les microcontrôleur AVR (AT90S...) | stk
8 Erreur de numérisation ? Virgules au lieu de points ? => UISP est un programme (equivalent à ponyprog sous windows) pour utiliser vos carte stk 200, 500,... donc pour programmer les microcontrôleur AVR (AT90S...) | ,... => suggestions : ['….']
8 Typographie : points de suspension. Utilisez le caractère dédié. => UISP est un programme (equivalent à ponyprog sous windows) pour utiliser vos carte stk 200, 500,... donc pour programmer les microcontrôleur AVR (AT90S...) | ... => suggestions : ['…']
8 Accord de nombre erroné : « microcontrôleur » devrait être au pluriel. => UISP est un programme (equivalent à ponyprog sous windows) pour utiliser vos carte stk 200, 500,... donc pour programmer les microcontrôleur AVR (AT90S...) | microcontrôleur => suggestions : ['microcontrôleurs']
8 Mot inconnu : AT90S => UISP est un programme (equivalent à ponyprog sous windows) pour utiliser vos carte stk 200, 500,... donc pour programmer les microcontrôleur AVR (AT90S...) | at90s
8 Typographie : points de suspension. Utilisez le caractère dédié. => UISP est un programme (equivalent à ponyprog sous windows) pour utiliser vos carte stk 200, 500,... donc pour programmer les microcontrôleur AVR (AT90S...) | ... => suggestions : ['…']
