
5 Mot inconnu : Unace => ======Unace (.ace)====== | unace

7 Mot inconnu : Unace => **Unace** est une commande qui permet d'extraire les archives .ace (ce format est propriétaire, et n'est plus beaucoup utilisé).  | unace
7 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => **Unace** est une commande qui permet d'extraire les archives .ace (ce format est propriétaire, et n'est plus beaucoup utilisé).  |  . => suggestions : ['. ', '.']
7 Espace(s) en fin de ligne à supprimer. => **Unace** est une commande qui permet d'extraire les archives .ace (ce format est propriétaire, et n'est plus beaucoup utilisé).  |   => suggestions : ['']

15 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => === Extraction d'une archive .ace=== |  . => suggestions : ['. ', '.']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   unace x votre_archive.ace |    => suggestions : ['']
17 Mot inconnu : unace =>   unace x votre_archive.ace | unace
17 Mot inconnu : votre_archive =>   unace x votre_archive.ace | votre_archive
17 Il manque un espace. =>   unace x votre_archive.ace | ace => suggestions : [' ace']

19 Mettez des guillemets fermants plutôt qu’ouvrants. => Si lors de l'extraction d'une archive « .ace », vous obtenez un message du genre : |  « => suggestions : ['\xa0»', '”']
19 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Si lors de l'extraction d'une archive « .ace », vous obtenez un message du genre : |  . => suggestions : ['. ', '.']

21 Mot inconnu : compressed => <file>File compressed with unknown method. Decompression not possible.</file> | compressed
21 Mot inconnu : with => <file>File compressed with unknown method. Decompression not possible.</file> | with
21 Mot inconnu : unknown => <file>File compressed with unknown method. Decompression not possible.</file> | unknown
21 Mot inconnu : method => <file>File compressed with unknown method. Decompression not possible.</file> | method
21 Mot inconnu : Decompression => <file>File compressed with unknown method. Decompression not possible.</file> | decompression
21 Mot inconnu : not => <file>File compressed with unknown method. Decompression not possible.</file> | not

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *[[archivage]] |    => suggestions : ['']
