1 Mot inconnu : Albireo => ====== Albireo ====== | albireo

6 Mot inconnu : slackware => Premier utilisateur de la liste francophone en septembre 2004, j'ai fait quelques interventions sur le forum. J'ai commencé à m'intéresser à Linux en 1995 avec une slackware. Diverses distributions sont passées  entre mes mains, red-hat, mandrake, suse, fedora, toutes de façon plus ou moins épisodiques. | slackware
6 Espace(s) surnuméraire(s) à supprimer. => Premier utilisateur de la liste francophone en septembre 2004, j'ai fait quelques interventions sur le forum. J'ai commencé à m'intéresser à Linux en 1995 avec une slackware. Diverses distributions sont passées  entre mes mains, red-hat, mandrake, suse, fedora, toutes de façon plus ou moins épisodiques. |    => suggestions : [' ']
6 Mot inconnu : red-hat => Premier utilisateur de la liste francophone en septembre 2004, j'ai fait quelques interventions sur le forum. J'ai commencé à m'intéresser à Linux en 1995 avec une slackware. Diverses distributions sont passées  entre mes mains, red-hat, mandrake, suse, fedora, toutes de façon plus ou moins épisodiques. | red-hat
6 Mot inconnu : mandrake => Premier utilisateur de la liste francophone en septembre 2004, j'ai fait quelques interventions sur le forum. J'ai commencé à m'intéresser à Linux en 1995 avec une slackware. Diverses distributions sont passées  entre mes mains, red-hat, mandrake, suse, fedora, toutes de façon plus ou moins épisodiques. | mandrake
6 Mot inconnu : suse => Premier utilisateur de la liste francophone en septembre 2004, j'ai fait quelques interventions sur le forum. J'ai commencé à m'intéresser à Linux en 1995 avec une slackware. Diverses distributions sont passées  entre mes mains, red-hat, mandrake, suse, fedora, toutes de façon plus ou moins épisodiques. | suse
6 Mot inconnu : fedora => Premier utilisateur de la liste francophone en septembre 2004, j'ai fait quelques interventions sur le forum. J'ai commencé à m'intéresser à Linux en 1995 avec une slackware. Diverses distributions sont passées  entre mes mains, red-hat, mandrake, suse, fedora, toutes de façon plus ou moins épisodiques. | fedora
6 Accord de nombre erroné avec « épisodiques ». => Premier utilisateur de la liste francophone en septembre 2004, j'ai fait quelques interventions sur le forum. J'ai commencé à m'intéresser à Linux en 1995 avec une slackware. Diverses distributions sont passées  entre mes mains, red-hat, mandrake, suse, fedora, toutes de façon plus ou moins épisodiques. | façon => suggestions : ['façons']
6 Accord de nombre erroné avec « façon ». => Premier utilisateur de la liste francophone en septembre 2004, j'ai fait quelques interventions sur le forum. J'ai commencé à m'intéresser à Linux en 1995 avec une slackware. Diverses distributions sont passées  entre mes mains, red-hat, mandrake, suse, fedora, toutes de façon plus ou moins épisodiques. | épisodiques => suggestions : ['épisodique']

8 Mot inconnu : debian => C'est debian avec slink, potato et woody que j'ai le plus utilisé. Je teste actuellement Archlinux en dualboot avec ubuntu. | debian
8 Mot inconnu : slink => C'est debian avec slink, potato et woody que j'ai le plus utilisé. Je teste actuellement Archlinux en dualboot avec ubuntu. | slink
8 Mot inconnu : potato => C'est debian avec slink, potato et woody que j'ai le plus utilisé. Je teste actuellement Archlinux en dualboot avec ubuntu. | potato
8 Mot inconnu : woody => C'est debian avec slink, potato et woody que j'ai le plus utilisé. Je teste actuellement Archlinux en dualboot avec ubuntu. | woody
8 Mot inconnu : Archlinux => C'est debian avec slink, potato et woody que j'ai le plus utilisé. Je teste actuellement Archlinux en dualboot avec ubuntu. | archlinux
8 Mot inconnu : dualboot => C'est debian avec slink, potato et woody que j'ai le plus utilisé. Je teste actuellement Archlinux en dualboot avec ubuntu. | dualboot
10 Accord avec le sujet “ils” : “content” devrait être au masculin pluriel. => J'ai installé environ cinq ubuntu chez des amis ou dans la famille et ils en sont content, puisqu'ils ont abandonné Win pour la plupart. | content => suggestions : ['contents', 'contés']
10 Mot inconnu : Win => J'ai installé environ cinq ubuntu chez des amis ou dans la famille et ils en sont content, puisqu'ils ont abandonné Win pour la plupart. | win
