2 Mot inconnu : Realtek => ====== Adaptateur Réseau Ethernet USB 3.0 : Realtek RTL8153 ====== | realtek
2 Mot inconnu : RTL8153 => ====== Adaptateur Réseau Ethernet USB 3.0 : Realtek RTL8153 ====== | rtl8153

4 Mot inconnu : ethernet => <note>Il semblerait qu'il existe un bug dans les versions 15.04 et 15.10 qui ne permet pas le bon fonctionnement des adaptateurs ethernet usb 3.0 comportant une puce realtek rtl8153 aussi bien sur les noyaux 3.19.x que 4.2.0 après installation alors que ceux-ci fonctionnent parfaitement bien avec le live-cd.</note> | ethernet
4 Mot inconnu : usb => <note>Il semblerait qu'il existe un bug dans les versions 15.04 et 15.10 qui ne permet pas le bon fonctionnement des adaptateurs ethernet usb 3.0 comportant une puce realtek rtl8153 aussi bien sur les noyaux 3.19.x que 4.2.0 après installation alors que ceux-ci fonctionnent parfaitement bien avec le live-cd.</note> | usb
4 Mot inconnu : realtek => <note>Il semblerait qu'il existe un bug dans les versions 15.04 et 15.10 qui ne permet pas le bon fonctionnement des adaptateurs ethernet usb 3.0 comportant une puce realtek rtl8153 aussi bien sur les noyaux 3.19.x que 4.2.0 après installation alors que ceux-ci fonctionnent parfaitement bien avec le live-cd.</note> | realtek
4 Mot inconnu : rtl8153 => <note>Il semblerait qu'il existe un bug dans les versions 15.04 et 15.10 qui ne permet pas le bon fonctionnement des adaptateurs ethernet usb 3.0 comportant une puce realtek rtl8153 aussi bien sur les noyaux 3.19.x que 4.2.0 après installation alors que ceux-ci fonctionnent parfaitement bien avec le live-cd.</note> | rtl8153

6 Mot inconnu : Realtek => Vous trouverez ici une liste non exhaustive des matériels concernés, ainsi que la procédure pour installer les drivers de Realtek afin de résoudre le problème de connexion non détectée | realtek

14 Mot inconnu : Realtek => ===== Drivers Realtek ===== | realtek

16 Mot inconnu : r8152 => Si votre adaptateur est bien détecté par votre système mais qu'aucune connexion ne se fait lors du branchement d'un câble réseau alors il se peut que ce soit un problème du driver r8152 de votre noyau. | r8152

17 Mot inconnu : Realtek => Pour résoudre le problème il suffit d'installer dernière version fournie par Realtek, même si il est mentionné pour les versions de noyau 3.x, il fonctionne bien avec la version de noyau 4.2.0 d'Ubuntu 15.10 (testé avec la version r8152-2.05.0) | realtek
17 Il faut élider “si” et l’accoler au pronom. => Pour résoudre le problème il suffit d'installer dernière version fournie par Realtek, même si il est mentionné pour les versions de noyau 3.x, il fonctionne bien avec la version de noyau 4.2.0 d'Ubuntu 15.10 (testé avec la version r8152-2.05.0) | si  => suggestions : ['s’']
17 Mot inconnu : r8152-2 => Pour résoudre le problème il suffit d'installer dernière version fournie par Realtek, même si il est mentionné pour les versions de noyau 3.x, il fonctionne bien avec la version de noyau 4.2.0 d'Ubuntu 15.10 (testé avec la version r8152-2.05.0) | r8152-2
39 Espace(s) en fin de ligne à supprimer. => Si après un redémarrage ce n'est toujours pas le cas alors essayer:  |   => suggestions : ['']
