
5 Mot inconnu : alt => ====== Scripts édité par l'utilisateur alt.g ====== <|> alt

9 Mot inconnu : FIXME => FIXME</note> <|> fixme

11 Accord de nombre erroné : « script » devrait être au pluriel. => L'utilisation des script présents sur cette page est à vos risques et périls.\\ <|> script => suggestions : ['scripts']

12 Conjugaison erronée. Accord avec “L’ auteur…”. Le verbe devrait être à la 3ᵉ personne du singulier. => L'auteur de cet article ne sauraient être tenus responsables des éventuels dommages causés par leur usage.\\ <|> sauraient => suggestions : ['saurait']

15 Mot inconnu : musicNFO => ===== musicNFO ===== <|> musicnfo

17 Mot inconnu : NFO => Ce script créer un fichier NFO pour les dossiers contenant des fichier MP3 ou FLAC. Il a été adapté depuis un script bugué dégoté sur le forum, il fonctionne mais il se pourrait qu'il y ait encore des bug, il n'a pas été complètement débogué\\ <|> nfo
17 Accord de nombre erroné : « fichier » devrait être au pluriel. => Ce script créer un fichier NFO pour les dossiers contenant des fichier MP3 ou FLAC. Il a été adapté depuis un script bugué dégoté sur le forum, il fonctionne mais il se pourrait qu'il y ait encore des bug, il n'a pas été complètement débogué\\ <|> fichier => suggestions : ['fichiers']
17 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Ce script créer un fichier NFO pour les dossiers contenant des fichier MP3 ou FLAC. Il a été adapté depuis un script bugué dégoté sur le forum, il fonctionne mais il se pourrait qu'il y ait encore des bug, il n'a pas été complètement débogué\\ <|>  mais => suggestions : [', mais']
17 Accord de nombre erroné : « bug » devrait être au pluriel. => Ce script créer un fichier NFO pour les dossiers contenant des fichier MP3 ou FLAC. Il a été adapté depuis un script bugué dégoté sur le forum, il fonctionne mais il se pourrait qu'il y ait encore des bug, il n'a pas été complètement débogué\\ <|> bug => suggestions : ['bugs']

24 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -m pour les fichier MP3 (par défaut)\\ <|> - => suggestions : ['—\xa0', '–\xa0']
24 Accord de nombre erroné : « fichier » devrait être au pluriel. => -m pour les fichier MP3 (par défaut)\\ <|> fichier => suggestions : ['fichiers']

25 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -f pour les fichiers FLAC\\ <|> - => suggestions : ['—\xa0', '–\xa0']

27 Mot inconnu : title => [title column witdh] : facultatif, largeur de colonne (par défaut 40 caractères)\\ <|> title
27 Mot inconnu : column => [title column witdh] : facultatif, largeur de colonne (par défaut 40 caractères)\\ <|> column
27 Mot inconnu : witdh => [title column witdh] : facultatif, largeur de colonne (par défaut 40 caractères)\\ <|> witdh

28 Mot inconnu : directory => [directory path] : OBLIGATOIRE, chemin du dossier à analyser\\ <|> directory
28 Mot inconnu : path => [directory path] : OBLIGATOIRE, chemin du dossier à analyser\\ <|> path

30 Mot inconnu : musicNFO => **script musicNFO.sh** <|> musicnfo
30 Mot inconnu : sh => **script musicNFO.sh** <|> sh

163 Guillemets typographiques ouvrants. => **Résultat:** fichier "Birdy Nam Nam - Jaded Future EP.nfo" <|> " => suggestions : ['«\xa0', '“']
163 Mot inconnu : Birdy => **Résultat:** fichier "Birdy Nam Nam - Jaded Future EP.nfo" <|> birdy
163 Mot inconnu : Nam => **Résultat:** fichier "Birdy Nam Nam - Jaded Future EP.nfo" <|> nam
163 Doublon. => **Résultat:** fichier "Birdy Nam Nam - Jaded Future EP.nfo" <|> nam nam => suggestions : ['Nam']
163 Mot inconnu : Nam => **Résultat:** fichier "Birdy Nam Nam - Jaded Future EP.nfo" <|> nam
163 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => **Résultat:** fichier "Birdy Nam Nam - Jaded Future EP.nfo" <|>  -  => suggestions : [' – ', ' — ', ' − ']
163 Mot inconnu : Jaded => **Résultat:** fichier "Birdy Nam Nam - Jaded Future EP.nfo" <|> jaded
163 Mot inconnu : EP => **Résultat:** fichier "Birdy Nam Nam - Jaded Future EP.nfo" <|> ep
163 Mot inconnu : nfo => **Résultat:** fichier "Birdy Nam Nam - Jaded Future EP.nfo" <|> nfo
163 Guillemets typographiques fermants. => **Résultat:** fichier "Birdy Nam Nam - Jaded Future EP.nfo" <|> " => suggestions : ['\xa0»', '”']
196 Mot inconnu : Topic =>   * **(fr)** [[https://forum.ubuntu-fr.org/viewtopic.php?id=1852341|Topic du forum ubuntu-fr.org]] <|> topic
196 Mot inconnu : ubuntu-fr =>   * **(fr)** [[https://forum.ubuntu-fr.org/viewtopic.php?id=1852341|Topic du forum ubuntu-fr.org]] <|> ubuntu-fr
