1 Mot inconnu : qemu => ====== qemu user emulation ====== | qemu
1 Mot inconnu : emulation => ====== qemu user emulation ====== | emulation

4 Mot inconnu : qemu-user => qemu-user est un émulateur d’architecture, cela signifie qu'il permet de faire tourner des programmes qui ne sont pas de l'architecture de votre processeur. (par exemple un exécutable arm sur votre ordinateur X86_64 ou i386) | qemu-user
4 Mot inconnu : arm => qemu-user est un émulateur d’architecture, cela signifie qu'il permet de faire tourner des programmes qui ne sont pas de l'architecture de votre processeur. (par exemple un exécutable arm sur votre ordinateur X86_64 ou i386) | arm
4 Mot inconnu : X86_64 => qemu-user est un émulateur d’architecture, cela signifie qu'il permet de faire tourner des programmes qui ne sont pas de l'architecture de votre processeur. (par exemple un exécutable arm sur votre ordinateur X86_64 ou i386) | x86_64
4 Mot inconnu : i386 => qemu-user est un émulateur d’architecture, cela signifie qu'il permet de faire tourner des programmes qui ne sont pas de l'architecture de votre processeur. (par exemple un exécutable arm sur votre ordinateur X86_64 ou i386) | i386

11 Mot inconnu : int => int main () | int

21 Il manque un espace. => L'exécutable a.out étant pour une architecture différente de l'hôte il ne peut pas être exécuté | out => suggestions : [' out']

27 Mot inconnu : arm => (ici il s'agit du cas d'une compilation pour arm) | arm
29 Mot inconnu : arm => Cette librairie n'est pas installée (en tout cas pas si vous avez utilisé un compilateur externe à celui fourni dans les dépôts d'ubuntu) car nous ne nous trouvons pas sur un système de type arm. | arm

30 Accord de nombre erroné avec « Trois » : « solution » devrait être au pluriel. => Trois solution s'offrent à vous | solution => suggestions : ['solutions']

35 Mot inconnu : static => ==== Faire une compilation static ==== | static

38 Il manque un espace à côté du tiret. => Il suffit de rajouter l'option -static lors de la compilation |  - => suggestions : [' – ', ' — ']
38 Mot inconnu : static => Il suffit de rajouter l'option -static lors de la compilation | static

44 Mot inconnu : qemu-user => ==== Utilisation de qemu-user avec chroot ==== | qemu-user
44 Mot inconnu : chroot => ==== Utilisation de qemu-user avec chroot ==== | chroot

47 Mot inconnu : qemu-user => C'est la manière la plus intéressante d'utiliser qemu-user car elle permet de lancer un système d'une architecture différente. | qemu-user
47 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => C'est la manière la plus intéressante d'utiliser qemu-user car elle permet de lancer un système d'une architecture différente. |  car => suggestions : [', car']

53 Mot inconnu : binfmt => cela s'explique que binfmt renseigne comme exécuteur de code <arch> /usr/bin/qemu-<arch>-static qui ne se trouve pas à cet endroit dans le système "chrooté" | binfmt
53 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => cela s'explique que binfmt renseigne comme exécuteur de code <arch> /usr/bin/qemu-<arch>-static qui ne se trouve pas à cet endroit dans le système "chrooté" | u-< => suggestions : [' – ', ' — ', ' − ']
53 Mot inconnu : static => cela s'explique que binfmt renseigne comme exécuteur de code <arch> /usr/bin/qemu-<arch>-static qui ne se trouve pas à cet endroit dans le système "chrooté" | static
53 Guillemets typographiques ouvrants. => cela s'explique que binfmt renseigne comme exécuteur de code <arch> /usr/bin/qemu-<arch>-static qui ne se trouve pas à cet endroit dans le système "chrooté" | " => suggestions : ['«\xa0', '“']
53 Mot inconnu : chrooté => cela s'explique que binfmt renseigne comme exécuteur de code <arch> /usr/bin/qemu-<arch>-static qui ne se trouve pas à cet endroit dans le système "chrooté" | chrooté
53 Guillemets typographiques fermants. => cela s'explique que binfmt renseigne comme exécuteur de code <arch> /usr/bin/qemu-<arch>-static qui ne se trouve pas à cet endroit dans le système "chrooté" | " => suggestions : ['\xa0»', '”']
57 Mot inconnu : sudo => (Si toute fois le problème perdure c'est peut-être parce que bash n'est pas installé sur certains systèmes embarqués. Utilisez alors sudo chroot /<emplacement du chroot>/ /bin/sh ) | sudo
57 Mot inconnu : chroot => (Si toute fois le problème perdure c'est peut-être parce que bash n'est pas installé sur certains systèmes embarqués. Utilisez alors sudo chroot /<emplacement du chroot>/ /bin/sh ) | chroot
57 Pas d’espace avant ce signe. => (Si toute fois le problème perdure c'est peut-être parce que bash n'est pas installé sur certains systèmes embarqués. Utilisez alors sudo chroot /<emplacement du chroot>/ /bin/sh ) |  ) => suggestions : [')']
59 Mot inconnu : chroot => Vous avez alors un terminal avec bash presque comme si vous étiez sur le système (pour utiliser un chroot il est conseillé de monter les périphériques spéciaux comme /proc /dev et les autres) | chroot
59 Mot inconnu : proc => Vous avez alors un terminal avec bash presque comme si vous étiez sur le système (pour utiliser un chroot il est conseillé de monter les périphériques spéciaux comme /proc /dev et les autres) | proc

60 Mot inconnu : chroot => pour sortir du chroot tapez exit | chroot

62 Guillemets typographiques ouvrants. => Lancer un programme "étranger" depuis un chroot  | " => suggestions : ['«\xa0', '“']
62 Guillemets typographiques fermants. => Lancer un programme "étranger" depuis un chroot  | " => suggestions : ['\xa0»', '”']
62 Mot inconnu : chroot => Lancer un programme "étranger" depuis un chroot  | chroot
62 Espace(s) en fin de ligne à supprimer. => Lancer un programme "étranger" depuis un chroot  |   => suggestions : ['']

68 Guillemets typographiques ouvrants. => (n'oubliez pas que les dépendances aux librairies doivent se trouver dans le système "chrooté") | " => suggestions : ['«\xa0', '“']
68 Mot inconnu : chrooté => (n'oubliez pas que les dépendances aux librairies doivent se trouver dans le système "chrooté") | chrooté
68 Guillemets typographiques fermants. => (n'oubliez pas que les dépendances aux librairies doivent se trouver dans le système "chrooté") | " => suggestions : ['\xa0»', '”']

71 Mot inconnu : Proot => ==== Avec Proot à la place de chroot ! ==== | proot
71 Mot inconnu : chroot => ==== Avec Proot à la place de chroot ! ==== | chroot

72 Mot inconnu : root => Cela permet d'éviter d'utiliser les droits root et d'installer qemu-user-static et ainsi n'installer que qemu-user (plus petit). | root
72 Mot inconnu : qemu-user-static => Cela permet d'éviter d'utiliser les droits root et d'installer qemu-user-static et ainsi n'installer que qemu-user (plus petit). | qemu-user-static
72 Mot inconnu : qemu-user => Cela permet d'éviter d'utiliser les droits root et d'installer qemu-user-static et ainsi n'installer que qemu-user (plus petit). | qemu-user

76 Mot inconnu : sudo => (pas de sudo) | sudo
