
4 Mot inconnu : nVidia => ====== nVidia Optimus : la vidéo hybride ====== | nvidia
4 Mot inconnu : Optimus => ====== nVidia Optimus : la vidéo hybride ====== | optimus

6 Mot inconnu : Optimus => La technologie **Optimus** est développée par le fabricant de cartes graphiques nVidia, elle est à destination des ordinateurs portables. Elle a pour but de trouver le juste équilibre entre autonomie de la batterie et performances graphiques. | optimus
6 Mot inconnu : nVidia => La technologie **Optimus** est développée par le fabricant de cartes graphiques nVidia, elle est à destination des ordinateurs portables. Elle a pour but de trouver le juste équilibre entre autonomie de la batterie et performances graphiques. | nvidia

12 Mot inconnu : Optimus => Est-ce que votre PC est équipé d'Optimus ? | optimus

18 Mot inconnu : Core => Si votre portable est équipé d'un processeur Intel Core iX, que ce soit des générations Arrandale (Core i7 6xx, Core i5 xxx, Core i3 xxx), Sandy Bridge (Core iX 2xxx) ou Ivy Bridge (Core iX 3xxx), ainsi que d'une carte graphique nVidia des générations 200, 300, 400, 500 ou 600, alors vous êtes très certainement concerné. Attention, les Core i7 QM ne sont généralement pas concernés. | core
18 Mot inconnu : iX => Si votre portable est équipé d'un processeur Intel Core iX, que ce soit des générations Arrandale (Core i7 6xx, Core i5 xxx, Core i3 xxx), Sandy Bridge (Core iX 2xxx) ou Ivy Bridge (Core iX 3xxx), ainsi que d'une carte graphique nVidia des générations 200, 300, 400, 500 ou 600, alors vous êtes très certainement concerné. Attention, les Core i7 QM ne sont généralement pas concernés. | ix
18 Mot inconnu : Arrandale => Si votre portable est équipé d'un processeur Intel Core iX, que ce soit des générations Arrandale (Core i7 6xx, Core i5 xxx, Core i3 xxx), Sandy Bridge (Core iX 2xxx) ou Ivy Bridge (Core iX 3xxx), ainsi que d'une carte graphique nVidia des générations 200, 300, 400, 500 ou 600, alors vous êtes très certainement concerné. Attention, les Core i7 QM ne sont généralement pas concernés. | arrandale
18 Mot inconnu : Core => Si votre portable est équipé d'un processeur Intel Core iX, que ce soit des générations Arrandale (Core i7 6xx, Core i5 xxx, Core i3 xxx), Sandy Bridge (Core iX 2xxx) ou Ivy Bridge (Core iX 3xxx), ainsi que d'une carte graphique nVidia des générations 200, 300, 400, 500 ou 600, alors vous êtes très certainement concerné. Attention, les Core i7 QM ne sont généralement pas concernés. | core
18 Mot inconnu : i7 => Si votre portable est équipé d'un processeur Intel Core iX, que ce soit des générations Arrandale (Core i7 6xx, Core i5 xxx, Core i3 xxx), Sandy Bridge (Core iX 2xxx) ou Ivy Bridge (Core iX 3xxx), ainsi que d'une carte graphique nVidia des générations 200, 300, 400, 500 ou 600, alors vous êtes très certainement concerné. Attention, les Core i7 QM ne sont généralement pas concernés. | i7
