1 Mot inconnu : Arverne73 => ====== Arverne73 ====== <|> arverne73

3 Mot inconnu : Moûtiers => |Lieu|Moûtiers (Savoie)| <|> moûtiers

6 Mot inconnu : Ubunteros => |Ubunteros depuis |2006| <|> ubunteros

10 Si “les critiques…” est bien le COD du participe passé “trouvé”, celui-ci devrait être au pluriel (et accordé en genre). => En 2006, à la recherche d'un système d'exploitation libre, selon les critiques que l'on avait trouvé à l'époque sur les différentes distributions disponibles. <|> trouvé => suggestions : ['trouvés']

11 Mot inconnu : Access => \\ Par ailleurs, utilisation de Windows pour le travail avec programmation d'Access<sup>®</sup>, et OSX. <|> access
11 Mot inconnu : OSX => \\ Par ailleurs, utilisation de Windows pour le travail avec programmation d'Access<sup>®</sup>, et OSX. <|> osx

12 Typographie : points de suspension. Utilisez le caractère dédié. => \\ Je ne suis pas un professionnel de l'informatique... <|> ... => suggestions : ['…']

15 Mot inconnu : MySQL => Depuis 2006 mais installé sur mon poste personnel depuis 2012. Pas d'utilisation très exceptionnelle avec quand même une base de données MySQL utilisée avec LibreOffice base comme frontale. Recherche permanente d'un fonctionnement correct, correction des problèmes. <|> mysql
19 Mot inconnu : Shotwell =>   * Shotwell (et participation à la traduction de la documentation) <|> shotwell
20 Mot inconnu : GoogleEarth =>   * GoogleEarth <|> googleearth
21 Mot inconnu : hubiC =>   * hubiC <|> hubic
22 Mot inconnu : autoMySQLbackup =>   * autoMySQLbackup <|> automysqlbackup
23 Mot inconnu : Gramps =>   * Gramps <|> gramps
24 Mot inconnu : Boinc =>   * Boinc <|> boinc

28 Mot inconnu : Phenom => J'utilise une machine que j'ai assemblé en 2012 en achetant les différentes pièces en ligne et en ayant lu quelques bons articles ou tutoriels. Processeurs AMD Phenom II remplacé par AMD Fx 8320 une fois que les prix ont baissé (je suis auvergnat !). Carte ATI Radeon 6850, 8 Go de RAM maintenant, carte WiFi (changée 2 fois), lecteur BluRay, écran 24" en 1920x1200. <|> phenom
28 Mot inconnu : Fx => J'utilise une machine que j'ai assemblé en 2012 en achetant les différentes pièces en ligne et en ayant lu quelques bons articles ou tutoriels. Processeurs AMD Phenom II remplacé par AMD Fx 8320 une fois que les prix ont baissé (je suis auvergnat !). Carte ATI Radeon 6850, 8 Go de RAM maintenant, carte WiFi (changée 2 fois), lecteur BluRay, écran 24" en 1920x1200. <|> fx
