1 Mot inconnu : atlnet62 [[7:15]] => ====== atlnet62 ====== <|> atlnet62

6 Espace(s) surnuméraire(s) à supprimer. [[25:27]] => ===== Ma libre découverte  ===== <|>    => suggestions : [' ']

7 Mot inconnu : decouvert [[103:112]] => Je suis ingénieur et grand fan des nouvelles technologies même si je n'en ai pas fait mon métier. J'ai decouvert le monde linuxien en 2003 avec les distribution Mandrake, mais j'ai fait le grand pas en 2007. Depuis cette date, lors d'un stage dans une entreprise informatique qui travail avec ubuntu et server LAMP, j'ai décidé de me lancer réellement dans l'utilisation quotidien d'ubuntu. <|> decouvert
7 Accord de nombre erroné : « distribution » devrait être au pluriel. [[148:160]] => Je suis ingénieur et grand fan des nouvelles technologies même si je n'en ai pas fait mon métier. J'ai decouvert le monde linuxien en 2003 avec les distribution Mandrake, mais j'ai fait le grand pas en 2007. Depuis cette date, lors d'un stage dans une entreprise informatique qui travail avec ubuntu et server LAMP, j'ai décidé de me lancer réellement dans l'utilisation quotidien d'ubuntu. <|> distribution => suggestions : ['distributions']
7 Mot inconnu : Mandrake [[161:169]] => Je suis ingénieur et grand fan des nouvelles technologies même si je n'en ai pas fait mon métier. J'ai decouvert le monde linuxien en 2003 avec les distribution Mandrake, mais j'ai fait le grand pas en 2007. Depuis cette date, lors d'un stage dans une entreprise informatique qui travail avec ubuntu et server LAMP, j'ai décidé de me lancer réellement dans l'utilisation quotidien d'ubuntu. <|> mandrake
7 Mot inconnu : server [[303:309]] => Je suis ingénieur et grand fan des nouvelles technologies même si je n'en ai pas fait mon métier. J'ai decouvert le monde linuxien en 2003 avec les distribution Mandrake, mais j'ai fait le grand pas en 2007. Depuis cette date, lors d'un stage dans une entreprise informatique qui travail avec ubuntu et server LAMP, j'ai décidé de me lancer réellement dans l'utilisation quotidien d'ubuntu. <|> server
7 Mot inconnu : LAMP [[310:314]] => Je suis ingénieur et grand fan des nouvelles technologies même si je n'en ai pas fait mon métier. J'ai decouvert le monde linuxien en 2003 avec les distribution Mandrake, mais j'ai fait le grand pas en 2007. Depuis cette date, lors d'un stage dans une entreprise informatique qui travail avec ubuntu et server LAMP, j'ai décidé de me lancer réellement dans l'utilisation quotidien d'ubuntu. <|> lamp
7 Accord de genre erroné entre “utilisation” et “quotidien”. [[371:380]] => Je suis ingénieur et grand fan des nouvelles technologies même si je n'en ai pas fait mon métier. J'ai decouvert le monde linuxien en 2003 avec les distribution Mandrake, mais j'ai fait le grand pas en 2007. Depuis cette date, lors d'un stage dans une entreprise informatique qui travail avec ubuntu et server LAMP, j'ai décidé de me lancer réellement dans l'utilisation quotidien d'ubuntu. <|> quotidien => suggestions : ['quotidienne']

9 Mot inconnu : festy [[18:23]] => J'ai commencé par festy fawn comme distib de bureau sur un HP ZD8000 puis pour centraliser mes données domestiques j'ai installé un server que j'ai monté sous dapper drake. Par la suite mon server a évolué sur le plan matériel et logiciel. <|> festy
9 Mot inconnu : fawn [[24:28]] => J'ai commencé par festy fawn comme distib de bureau sur un HP ZD8000 puis pour centraliser mes données domestiques j'ai installé un server que j'ai monté sous dapper drake. Par la suite mon server a évolué sur le plan matériel et logiciel. <|> fawn
9 Mot inconnu : distib [[35:41]] => J'ai commencé par festy fawn comme distib de bureau sur un HP ZD8000 puis pour centraliser mes données domestiques j'ai installé un server que j'ai monté sous dapper drake. Par la suite mon server a évolué sur le plan matériel et logiciel. <|> distib
9 Mot inconnu : ZD8000 [[62:68]] => J'ai commencé par festy fawn comme distib de bureau sur un HP ZD8000 puis pour centraliser mes données domestiques j'ai installé un server que j'ai monté sous dapper drake. Par la suite mon server a évolué sur le plan matériel et logiciel. <|> zd8000
9 Mot inconnu : server [[132:138]] => J'ai commencé par festy fawn comme distib de bureau sur un HP ZD8000 puis pour centraliser mes données domestiques j'ai installé un server que j'ai monté sous dapper drake. Par la suite mon server a évolué sur le plan matériel et logiciel. <|> server
9 Mot inconnu : dapper [[159:165]] => J'ai commencé par festy fawn comme distib de bureau sur un HP ZD8000 puis pour centraliser mes données domestiques j'ai installé un server que j'ai monté sous dapper drake. Par la suite mon server a évolué sur le plan matériel et logiciel. <|> dapper
9 Mot inconnu : drake [[166:171]] => J'ai commencé par festy fawn comme distib de bureau sur un HP ZD8000 puis pour centraliser mes données domestiques j'ai installé un server que j'ai monté sous dapper drake. Par la suite mon server a évolué sur le plan matériel et logiciel. <|> drake
9 Mot inconnu : server [[190:196]] => J'ai commencé par festy fawn comme distib de bureau sur un HP ZD8000 puis pour centraliser mes données domestiques j'ai installé un server que j'ai monté sous dapper drake. Par la suite mon server a évolué sur le plan matériel et logiciel. <|> server

10 Espace(s) surnuméraire(s) à supprimer. [[10:12]] => ===== Mémo  ===== <|>    => suggestions : [' ']
12 Mot inconnu : ddclient [[14:22]] => => logiciel : ddclient : <|> ddclient

26 Espace(s) surnuméraire(s) à supprimer. [[23:25]] => ===== Problèmes résolus  ===== <|>    => suggestions : [' ']

28 Mot inconnu : touchpad [[12:20]] => => Problème touchpad avec atareao : <|> touchpad
28 Mot inconnu : atareao [[26:33]] => => Problème touchpad avec atareao : <|> atareao
