1 Mot inconnu : Bogoris => ====== Bogoris ====== | bogoris
5 Espace(s) en fin de ligne à supprimer. => Vous pouvez me contacter :  |   => suggestions : ['']

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En m'envoyant un e-mail à bogoris+ufr<@>gmail.com |    => suggestions : ['']
6 Mot inconnu : bogoris =>   * En m'envoyant un e-mail à bogoris+ufr<@>gmail.com | bogoris
6 Mot inconnu : ufr =>   * En m'envoyant un e-mail à bogoris+ufr<@>gmail.com | ufr
6 Mot inconnu : gmail =>   * En m'envoyant un e-mail à bogoris+ufr<@>gmail.com | gmail

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sur jabber : bogoris@jabber.fr |    => suggestions : ['']
7 Mot inconnu : jabber =>   * Sur jabber : bogoris@jabber.fr | jabber

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Merci d'éviter d'écrire directement sur ma page utilisateur pour me laisser des messages : c'est pas cool et en plus je ne la visite pas souvent :p. |    => suggestions : ['']
8 Accord de genre erroné : « ma page » est féminin, « utilisateur » est masculin. =>   * Merci d'éviter d'écrire directement sur ma page utilisateur pour me laisser des messages : c'est pas cool et en plus je ne la visite pas souvent :p. | utilisateur => suggestions : ['utilisatrice']

10 Mot inconnu : Inspiron => ===== Mon expérience du Dell/Ubuntu Inspiron 6400 ===== | inspiron

12 Mot inconnu : Inspiron => J'ai récemment acheté le Dell/Ubuntu Inspiron 6400 avec 1024 Mo de RAM, 80 Go de mémoire morte et un processeur Intel double coeur, le tout pour 580 € TTC, frais de ports (30 €) inclus et voici ce que j'en dis : | inspiron
12 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => J'ai récemment acheté le Dell/Ubuntu Inspiron 6400 avec 1024 Mo de RAM, 80 Go de mémoire morte et un processeur Intel double coeur, le tout pour 580 € TTC, frais de ports (30 €) inclus et voici ce que j'en dis : | 1024 mo => suggestions : ['1\xa0024\xa0Mo']
12 Mot inconnu : coeur => J'ai récemment acheté le Dell/Ubuntu Inspiron 6400 avec 1024 Mo de RAM, 80 Go de mémoire morte et un processeur Intel double coeur, le tout pour 580 € TTC, frais de ports (30 €) inclus et voici ce que j'en dis : | coeur

16 Mot inconnu : liveCD => J'ai remarqué qu'il n'y avait qu'une partition pour / et ça me faisait stresser, j'ai donc mis le liveCD d'Ubuntu 6.10, j'ai redimensionné la partition à 15 Go. Je regrette d'ailleurs de n'avoir pas mis seulement 10 Go, voire 8 Go, n'ayant que 6,56 Go d'occupé pour l'instant, avec pourtant déjà pas mal de programmes d'installés, et en sachant que les programmes Windows qu'on fait tourner avec Wine sont mis dans la partition /home. J'ai alloué le reste de l'espace à une partition /home nouvellement créée. À noter que, je ne sais pour quelle raison, cette étape a étonnement pris pas mal de temps. | livecd
