1 Mot inconnu : Ch_fr [[7:12]] => ====== Ch_fr ====== <|> ch_fr
14 Mot inconnu : DV2555EZ [[5:13]] => 1 HP DV2555EZ sur Ubuntu 7.10 <|> dv2555ez

18 Si “PC” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[0:4]] => 1 PC Jeux avec Xp "hélas" <|> 1 pc => suggestions : ['1\xa0PC']
18 Guillemets typographiques ouvrants. [[18:19]] => 1 PC Jeux avec Xp "hélas" <|> " => suggestions : ['«\xa0', '“']
18 Guillemets typographiques fermants. [[24:25]] => 1 PC Jeux avec Xp "hélas" <|> " => suggestions : ['\xa0»', '”']

26 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -Firefox <|> - => suggestions : ['—\xa0', '–\xa0']

28 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -Google heart <|> - => suggestions : ['—\xa0', '–\xa0']
28 Mot inconnu : heart [[8:13]] => -Google heart <|> heart

30 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -Second life <|> - => suggestions : ['—\xa0', '–\xa0']
30 Mot inconnu : life [[8:12]] => -Second life <|> life

32 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -OpenSim (encore entrain de tester la V.0.4...) <|> - => suggestions : ['—\xa0', '–\xa0']
32 Mot inconnu : OpenSim [[1:8]] => -OpenSim (encore entrain de tester la V.0.4...) <|> opensim
32 Typographie : points de suspension. Utilisez le caractère dédié. [[43:46]] => -OpenSim (encore entrain de tester la V.0.4...) <|> ... => suggestions : ['…']

36 Accord de nombre erroné : « Cordonnée » devrait être au pluriel. [[10:19]] => ===== Mes Cordonnée ===== <|> cordonnée => suggestions : ['Cordonnées']
38 Mot inconnu : dubois [[14:20]] => Email: julien.dubois(AT)espacenoir.ch <|> dubois
38 Il manque un espace après la parenthèse. [[23:24]] => Email: julien.dubois(AT)espacenoir.ch <|> ) => suggestions : [') ']
38 Mot inconnu : espacenoir [[24:34]] => Email: julien.dubois(AT)espacenoir.ch <|> espacenoir
40 Mot inconnu : dessu [[80:85]] => Site web: http://www.planetaire.org (toujours pas fini, je sais pas quoi mettre dessu, si sa intéresse du monde, envoyer moi un email a info(AT)planetaire,org) <|> dessu
40 Confusion : « intéresse » est un verbe. Exemples : sa jambe, ça vient. (Une faute de frappe peut-être ?) [[90:92]] => Site web: http://www.planetaire.org (toujours pas fini, je sais pas quoi mettre dessu, si sa intéresse du monde, envoyer moi un email a info(AT)planetaire,org) <|> sa => suggestions : ['ça', 'se']
40 Confusion probable. Pour l’impératif, écrivez : [[113:124]] => Site web: http://www.planetaire.org (toujours pas fini, je sais pas quoi mettre dessu, si sa intéresse du monde, envoyer moi un email a info(AT)planetaire,org) <|> envoyer moi => suggestions : ['envoyez-moi']
40 Il manque un espace après la parenthèse. [[143:144]] => Site web: http://www.planetaire.org (toujours pas fini, je sais pas quoi mettre dessu, si sa intéresse du monde, envoyer moi un email a info(AT)planetaire,org) <|> ) => suggestions : [') ']
40 Mot inconnu : planetaire [[144:154]] => Site web: http://www.planetaire.org (toujours pas fini, je sais pas quoi mettre dessu, si sa intéresse du monde, envoyer moi un email a info(AT)planetaire,org) <|> planetaire
40 Il manque un espace. [[155:158]] => Site web: http://www.planetaire.org (toujours pas fini, je sais pas quoi mettre dessu, si sa intéresse du monde, envoyer moi un email a info(AT)planetaire,org) <|> org => suggestions : [' org']
