1 Mot inconnu : LVM => ====== LVM : Logical Volume Management ====== | lvm
1 Mot inconnu : Logical => ====== LVM : Logical Volume Management ====== | logical

9 Mot inconnu : LVM => Il faut utiliser le LVM (Logical Volume Management) et des partitions formatées en XFS (et non en ext4) pour pouvoir en augmenter la taille sans les démonter (génial !) | lvm
9 Mot inconnu : Logical => Il faut utiliser le LVM (Logical Volume Management) et des partitions formatées en XFS (et non en ext4) pour pouvoir en augmenter la taille sans les démonter (génial !) | logical
9 Mot inconnu : XFS => Il faut utiliser le LVM (Logical Volume Management) et des partitions formatées en XFS (et non en ext4) pour pouvoir en augmenter la taille sans les démonter (génial !) | xfs
9 Mot inconnu : ext4 => Il faut utiliser le LVM (Logical Volume Management) et des partitions formatées en XFS (et non en ext4) pour pouvoir en augmenter la taille sans les démonter (génial !) | ext4

13 Mot inconnu : LVM => Pour installer LVM (version 2), si ce n'est déjà fait : | lvm

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install lvm2 |    => suggestions : ['']
14 Mot inconnu : sudo =>   sudo apt-get install lvm2 | sudo
14 Mot inconnu : apt-get =>   sudo apt-get install lvm2 | apt-get
14 Mot inconnu : install =>   sudo apt-get install lvm2 | install
14 Mot inconnu : lvm2 =>   sudo apt-get install lvm2 | lvm2

16 Mot inconnu : pv => Pour créer, sur la première partition du second disque (voire le second disque entier), un volume physique (pv) pour le LVM (Opération destructrice!) : | pv
16 Mot inconnu : LVM => Pour créer, sur la première partition du second disque (voire le second disque entier), un volume physique (pv) pour le LVM (Opération destructrice!) : | lvm

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo pvcreate /dev/sdb1 |    => suggestions : ['']
17 Mot inconnu : sudo =>   sudo pvcreate /dev/sdb1 | sudo
17 Mot inconnu : pvcreate =>   sudo pvcreate /dev/sdb1 | pvcreate

20 Mot inconnu : pv => Pour créer un groupe de volumes (vg) sur le pv précédent (remplacer mon_groupe_de_volumes par un identifiant, tel vg0) : | pv
20 Mot inconnu : mon_groupe_de_volumes => Pour créer un groupe de volumes (vg) sur le pv précédent (remplacer mon_groupe_de_volumes par un identifiant, tel vg0) : | mon_groupe_de_volumes
20 Mot inconnu : vg0 => Pour créer un groupe de volumes (vg) sur le pv précédent (remplacer mon_groupe_de_volumes par un identifiant, tel vg0) : | vg0

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vgcreate mon_groupe_de_volumes /dev/sdb1 |    => suggestions : ['']
21 Mot inconnu : sudo =>   sudo vgcreate mon_groupe_de_volumes /dev/sdb1 | sudo
21 Mot inconnu : vgcreate =>   sudo vgcreate mon_groupe_de_volumes /dev/sdb1 | vgcreate
21 Mot inconnu : mon_groupe_de_volumes =>   sudo vgcreate mon_groupe_de_volumes /dev/sdb1 | mon_groupe_de_volumes

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vgchange -a y mon_groupe_de_volumes |    => suggestions : ['']
