1 Mot inconnu : cocoonezmoi [[7:18]] => ====== cocoonezmoi ====== <|> cocoonezmoi

2 Mot inconnu : LACROIX [[5:12]] => |Nom|LACROIX| <|> lacroix

6 Une de ces ponctuations est superflue. [[33:36]] => |Distribution testée|Ubuntu 11.04, ...| <|> , . => suggestions : None
6 Typographie : points de suspension. Utilisez le caractère dédié. [[35:38]] => |Distribution testée|Ubuntu 11.04, ...| <|> ... => suggestions : None

9 Mot inconnu : Virgin [[47:53]] => Par mon fils qui m'a rapporté un CD donné chez Virgin <|> virgin

12 Mot inconnu : Itunes [[116:122]] => Je m'en sers tout le temps, mais ne peux encore me défaire totalement de Windows car tout ne fonctionne pas dessus, Itunes par exemple, mais çà avance! <|> itunes
12 Confusion : « çà » ne s’emploie plus guère que dans l’expression « çà et là ». [[141:143]] => Je m'en sers tout le temps, mais ne peux encore me défaire totalement de Windows car tout ne fonctionne pas dessus, Itunes par exemple, mais çà avance! <|> çà => suggestions : None

22 Mot inconnu : Natty [[19:24]] => ===== Ubuntu 11.04 Natty Narwhal ===== <|> natty
22 Mot inconnu : Narwhal [[25:32]] => ===== Ubuntu 11.04 Natty Narwhal ===== <|> narwhal

39 Mot inconnu : Wubi [[56:60]] => 1. Dans Windows™, insérer le CD et installer Ubuntu par Wubi comme on installerait un logiciel ordinaire sous Windows™, au démarrage l'ordinateur démarrera sur Windows™ par défaut. L'installation est plus simple, et Ubuntu peut s'enlever ou se modifier facilement sans toucher l'OS d'origine. <|> wubi

41 Typographie : points de suspension. Utilisez le caractère dédié. [[40:44]] => 2. Pour Ubuntu sur une partition séparée....Démarrer l'ordinateur le CD inséré (Bios configuré pour démarrer sur CD). L'ordinateur démarrera sur Ubuntu par défaut. <|> .... => suggestions : None

43 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Définir les partitions manuellement. <|> -  => suggestions : None

44 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Sélectionn, er dev/sda2 type ext4 >>>> modifier la partition.  <|> -  => suggestions : None
44 Mot inconnu : Sélectionn [[2:12]] => - Sélectionn, er dev/sda2 type ext4 >>>> modifier la partition.  <|> sélectionn
44 Mot inconnu : er [[14:16]] => - Sélectionn, er dev/sda2 type ext4 >>>> modifier la partition.  <|> er
44 Mot inconnu : dev [[17:20]] => - Sélectionn, er dev/sda2 type ext4 >>>> modifier la partition.  <|> dev
44 Mot inconnu : sda2 [[21:25]] => - Sélectionn, er dev/sda2 type ext4 >>>> modifier la partition.  <|> sda2
44 Espace(s) en fin de ligne à supprimer. [[63:64]] => - Sélectionn, er dev/sda2 type ext4 >>>> modifier la partition.  <|>   => suggestions : None

45 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Utiliser la partition comme: système de fichiers journalisés ext4 >>>> cocher formater la partition. >>>> Point de montage: / et valider. Ensuite: Nom et code......etc <|> -  => suggestions : None
45 Typographie : succession de points. Utilisez le caractère dédié. [[160:166]] => - Utiliser la partition comme: système de fichiers journalisés ext4 >>>> cocher formater la partition. >>>> Point de montage: / et valider. Ensuite: Nom et code......etc <|> ...... => suggestions : None

50 Accord de nombre erroné avec « Logiciels ». [[0:6]] => Onglet "Logiciels de tierces parties": tout cocher.  <|> onglet => suggestions : None
50 Guillemets typographiques ouvrants. [[7:8]] => Onglet "Logiciels de tierces parties": tout cocher.  <|> " => suggestions : None
50 Accord de nombre erroné avec « Onglet ». [[8:17]] => Onglet "Logiciels de tierces parties": tout cocher.  <|> logiciels => suggestions : None
50 Guillemets typographiques fermants. [[36:37]] => Onglet "Logiciels de tierces parties": tout cocher.  <|> " => suggestions : None
50 Espace(s) en fin de ligne à supprimer. [[51:52]] => Onglet "Logiciels de tierces parties": tout cocher.  <|>   => suggestions : None

51 Guillemets typographiques ouvrants. [[7:8]] => Onglet "Mises à jour": tout cocher sauf mise à jour suggérées.    <|> " => suggestions : None
51 Guillemets typographiques fermants. [[20:21]] => Onglet "Mises à jour": tout cocher sauf mise à jour suggérées.    <|> " => suggestions : None
51 Espace(s) en fin de ligne à supprimer. [[62:65]] => Onglet "Mises à jour": tout cocher sauf mise à jour suggérées.    <|>     => suggestions : None

55 Mot inconnu : Synaptic [[5:13]] => Dans Synaptic (Système>Administration>Gestionnaire de paquets Synaptic)  vérifier que les paquets de son imprimante soient bien présents; les charger si nécessaire et brancher l'imprimante qui est reconnue et installée automatiquement. <|> synaptic
