1 Mot inconnu : Dony [[14:18]] => ====== Benoit Dony ====== <|> dony
4 Mot inconnu : Deskpro [[54:61]] =>   * Utilisateur d'Ubuntu depuis la 6.06 sur un Compaq Deskpro EN (PIII 1 Ghz) : très satisfait <|> deskpro
4 Mot inconnu : PIII [[66:70]] =>   * Utilisateur d'Ubuntu depuis la 6.06 sur un Compaq Deskpro EN (PIII 1 Ghz) : très satisfait <|> piii
4 Mot inconnu : Ghz [[73:76]] =>   * Utilisateur d'Ubuntu depuis la 6.06 sur un Compaq Deskpro EN (PIII 1 Ghz) : très satisfait <|> ghz
6 Accord de genre erroné : « bêta » est masculin. [[25:27]] =>   * Je viens de passer à la bêta de Karmic car Jaunty n'était pas très satisfaisant : tout fonctionne bien... <|> la => suggestions : le
6 Typographie : points de suspension. Utilisez le caractère dédié. [[106:109]] =>   * Je viens de passer à la bêta de Karmic car Jaunty n'était pas très satisfaisant : tout fonctionne bien... <|> ... => suggestions : …
7 Mot inconnu : EeePC [[8:13]] =>   * Mon EeePC fonctionne à merveille sous Lucid. <|> eeepc
8 Mot inconnu : I3 [[39:41]] =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS) <|> i3
8 Mot inconnu : DH67CF [[55:61]] =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS) <|> dh67cf
8 Mot inconnu : GB [[64:66]] =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS) <|> gb
8 Mot inconnu : X25-V [[78:83]] =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS) <|> x25-v
8 Mot inconnu : GB [[87:89]] =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS) <|> gb
8 Mot inconnu : WD [[91:93]] =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS) <|> wd
8 Mot inconnu : Scorpio [[94:101]] =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS) <|> scorpio
8 Mot inconnu : GB [[112:114]] =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS) <|> gb
8 Mot inconnu : Antec [[118:123]] =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS) <|> antec
8 Mot inconnu : ISK-100 [[124:131]] =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS) <|> isk-100
8 Mot inconnu : Natty [[138:143]] =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS) <|> natty
