1 Mot inconnu : NOCACHE => ~~NOCACHE~~ <|> nocache

10 Guillemets typographiques ouvrants. => ====== Liste des pages contenant le tag "jeu", classées par type de jeu ====== <|> " => suggestions : ['«\xa0', '“']
10 Guillemets typographiques fermants. => ====== Liste des pages contenant le tag "jeu", classées par type de jeu ====== <|> " => suggestions : ['\xa0»', '”']

17 Mot inconnu : First-Person => ==== First-Person Shooter (FPS) ==== <|> first-person
17 Mot inconnu : FPS => ==== First-Person Shooter (FPS) ==== <|> fps

23 Mot inconnu : Space => ==== Space Opera ==== <|> space
23 Mot inconnu : Opera => ==== Space Opera ==== <|> opera

29 Mot inconnu : RPG => ==== Jeux de rôle (RPG et MMORPG) ==== <|> rpg
29 Mot inconnu : MMORPG => ==== Jeux de rôle (RPG et MMORPG) ==== <|> mmorpg

36 Guillemets typographiques ouvrants. => =="Temps réel" (RTS) == <|> " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. => =="Temps réel" (RTS) == <|> " => suggestions : ['\xa0»', '”']

43 Guillemets typographiques ouvrants. => =="Tour par tour" == <|> " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. => =="Tour par tour" == <|> " => suggestions : ['\xa0»', '”']

75 Typographie : points de suspension. Utilisez le caractère dédié. => Comme toute vedette, des jeux à son effigie sont disponibles ... <|> ... => suggestions : ['…']

108 Mot inconnu : Emulateurs => ==== Emulateurs divers ==== <|> emulateurs

117 Typographie : points de suspension. Utilisez le caractère dédié. => Toutes les pages pour envisager de jouer sous Ubuntu sans problème ... <|> ... => suggestions : ['…']

126 Guillemets typographiques ouvrants. => ==== Pages "Jeux" ==== <|> " => suggestions : ['«\xa0', '“']
126 Guillemets typographiques fermants. => ==== Pages "Jeux" ==== <|> " => suggestions : ['\xa0»', '”']

128 Guillemets typographiques ouvrants. => Les pages ci-dessous ont encore le tag "jeux" (au pluriel) alors qu'elles devraient avoir le tag "jeu" (au singulier)... à corriger dès que l'occasion se présente. <|> " => suggestions : ['«\xa0', '“']
128 Guillemets typographiques fermants. => Les pages ci-dessous ont encore le tag "jeux" (au pluriel) alors qu'elles devraient avoir le tag "jeu" (au singulier)... à corriger dès que l'occasion se présente. <|> " => suggestions : ['\xa0»', '”']
128 Guillemets typographiques ouvrants. => Les pages ci-dessous ont encore le tag "jeux" (au pluriel) alors qu'elles devraient avoir le tag "jeu" (au singulier)... à corriger dès que l'occasion se présente. <|> " => suggestions : ['«\xa0', '“']
128 Guillemets typographiques fermants. => Les pages ci-dessous ont encore le tag "jeux" (au pluriel) alors qu'elles devraient avoir le tag "jeu" (au singulier)... à corriger dès que l'occasion se présente. <|> " => suggestions : ['\xa0»', '”']
128 Typographie : points de suspension. Utilisez le caractère dédié. => Les pages ci-dessous ont encore le tag "jeux" (au pluriel) alors qu'elles devraient avoir le tag "jeu" (au singulier)... à corriger dès que l'occasion se présente. <|> ... => suggestions : ['…']
