1 Mot inconnu : Emonib => ====== Emonib ====== | emonib

4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Nom:** Emonib |    => suggestions : ['']
4 Mot inconnu : Emonib =>   * **Nom:** Emonib | emonib

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Localisation:** Massy (Ile-de-France) |    => suggestions : ['']

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Langues parlées:** français, anglais et un petit peu d'allemand //(mais seulement en dernier recourt... ;-)// |    => suggestions : ['']
6 Typographie : points de suspension. Utilisez le caractère dédié. =>   * **Langues parlées:** français, anglais et un petit peu d'allemand //(mais seulement en dernier recourt... ;-)// | ... => suggestions : ['…']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Contact:** |    => suggestions : ['']

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Courriel: emonib <arobase> gmail.com |      => suggestions : ['']
8 Mot inconnu : emonib =>     * Courriel: emonib <arobase> gmail.com | emonib
8 Mot inconnu : gmail =>     * Courriel: emonib <arobase> gmail.com | gmail

12 Espace(s) en fin de ligne à supprimer. => Je travaille actuellement dans une SSII de la région parisienne.  |   => suggestions : ['']
14 Typographie : points de suspension. Utilisez le caractère dédié. => J'ai débuté sous Linux aux alentours de 1995 : à l'époque l'installation d'une distribution relevait presque de l'exploit informatique et nécessitait des connaissances d'administrateur système ;-)... Mon premier Nux fut une SuSe, qui fut rapidement suivie par une Debian. En 2003, j'ai fait le grand saut et j'ai exorsiser mon ordi de sa partition Windaube. Et puis pour finir, j'ai découvert un petit nouveau dans le monde des linux qui m'a immédiatement accroché, Ubuntu (ou plutôt Kubuntu dans mon cas, d'ailleurs...) : un coeur de Debian avec une couche bonheur par dessus :-D. | ... => suggestions : ['…']
14 Mot inconnu : Nux => J'ai débuté sous Linux aux alentours de 1995 : à l'époque l'installation d'une distribution relevait presque de l'exploit informatique et nécessitait des connaissances d'administrateur système ;-)... Mon premier Nux fut une SuSe, qui fut rapidement suivie par une Debian. En 2003, j'ai fait le grand saut et j'ai exorsiser mon ordi de sa partition Windaube. Et puis pour finir, j'ai découvert un petit nouveau dans le monde des linux qui m'a immédiatement accroché, Ubuntu (ou plutôt Kubuntu dans mon cas, d'ailleurs...) : un coeur de Debian avec une couche bonheur par dessus :-D. | nux
14 Mot inconnu : SuSe => J'ai débuté sous Linux aux alentours de 1995 : à l'époque l'installation d'une distribution relevait presque de l'exploit informatique et nécessitait des connaissances d'administrateur système ;-)... Mon premier Nux fut une SuSe, qui fut rapidement suivie par une Debian. En 2003, j'ai fait le grand saut et j'ai exorsiser mon ordi de sa partition Windaube. Et puis pour finir, j'ai découvert un petit nouveau dans le monde des linux qui m'a immédiatement accroché, Ubuntu (ou plutôt Kubuntu dans mon cas, d'ailleurs...) : un coeur de Debian avec une couche bonheur par dessus :-D. | suse
14 Mot inconnu : exorsiser => J'ai débuté sous Linux aux alentours de 1995 : à l'époque l'installation d'une distribution relevait presque de l'exploit informatique et nécessitait des connaissances d'administrateur système ;-)... Mon premier Nux fut une SuSe, qui fut rapidement suivie par une Debian. En 2003, j'ai fait le grand saut et j'ai exorsiser mon ordi de sa partition Windaube. Et puis pour finir, j'ai découvert un petit nouveau dans le monde des linux qui m'a immédiatement accroché, Ubuntu (ou plutôt Kubuntu dans mon cas, d'ailleurs...) : un coeur de Debian avec une couche bonheur par dessus :-D. | exorsiser
14 Mot inconnu : Windaube => J'ai débuté sous Linux aux alentours de 1995 : à l'époque l'installation d'une distribution relevait presque de l'exploit informatique et nécessitait des connaissances d'administrateur système ;-)... Mon premier Nux fut une SuSe, qui fut rapidement suivie par une Debian. En 2003, j'ai fait le grand saut et j'ai exorsiser mon ordi de sa partition Windaube. Et puis pour finir, j'ai découvert un petit nouveau dans le monde des linux qui m'a immédiatement accroché, Ubuntu (ou plutôt Kubuntu dans mon cas, d'ailleurs...) : un coeur de Debian avec une couche bonheur par dessus :-D. | windaube
14 Mot inconnu : linux => J'ai débuté sous Linux aux alentours de 1995 : à l'époque l'installation d'une distribution relevait presque de l'exploit informatique et nécessitait des connaissances d'administrateur système ;-)... Mon premier Nux fut une SuSe, qui fut rapidement suivie par une Debian. En 2003, j'ai fait le grand saut et j'ai exorsiser mon ordi de sa partition Windaube. Et puis pour finir, j'ai découvert un petit nouveau dans le monde des linux qui m'a immédiatement accroché, Ubuntu (ou plutôt Kubuntu dans mon cas, d'ailleurs...) : un coeur de Debian avec une couche bonheur par dessus :-D. | linux
