1 Mot inconnu : Boujour [[0:7]] => Boujour, <|> boujour

3 Il manque un espace. [[10:12]] => Alors moi,je ne suis qu'un simple user(autodidacte...) de linux, j'ai utilisé     - __redhat 5.2__ , __Debian potato__ , __slackware__ <|> je => suggestions :  je
3 Il manque un espace avant la parenthèse. [[38:39]] => Alors moi,je ne suis qu'un simple user(autodidacte...) de linux, j'ai utilisé     - __redhat 5.2__ , __Debian potato__ , __slackware__ <|> ( => suggestions :  (
3 Typographie : points de suspension. Utilisez le caractère dédié. [[50:53]] => Alors moi,je ne suis qu'un simple user(autodidacte...) de linux, j'ai utilisé     - __redhat 5.2__ , __Debian potato__ , __slackware__ <|> ... => suggestions : …
3 Espace(s) surnuméraire(s) à supprimer. [[77:82]] => Alors moi,je ne suis qu'un simple user(autodidacte...) de linux, j'ai utilisé     - __redhat 5.2__ , __Debian potato__ , __slackware__ <|>       => suggestions :  
3 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[81:84]] => Alors moi,je ne suis qu'un simple user(autodidacte...) de linux, j'ai utilisé     - __redhat 5.2__ , __Debian potato__ , __slackware__ <|>  -  => suggestions :  –  —  − 
3 Pas d’espace avant une virgule. [[94:96]] => Alors moi,je ne suis qu'un simple user(autodidacte...) de linux, j'ai utilisé     - __redhat 5.2__ , __Debian potato__ , __slackware__ <|> .2 => suggestions : ,
3 Mot inconnu : potato [[104:110]] => Alors moi,je ne suis qu'un simple user(autodidacte...) de linux, j'ai utilisé     - __redhat 5.2__ , __Debian potato__ , __slackware__ <|> potato
3 Pas d’espace avant une virgule. [[110:112]] => Alors moi,je ne suis qu'un simple user(autodidacte...) de linux, j'ai utilisé     - __redhat 5.2__ , __Debian potato__ , __slackware__ <|> po => suggestions : ,
3 Mot inconnu : slackware [[113:122]] => Alors moi,je ne suis qu'un simple user(autodidacte...) de linux, j'ai utilisé     - __redhat 5.2__ , __Debian potato__ , __slackware__ <|> slackware

5 Il manque un espace. [[28:32]] => Je touche pas mal de choses,mais pas de programmation (trop compliqué pour moi, j'ai pas fais les études pour....) ;) , je ne suis pas un expert, mais je me débrouille en CSS et HTML.  <|> mais => suggestions :  mais
5 Ce verbe devrait être un participe passé au masculin singulier. [[89:93]] => Je touche pas mal de choses,mais pas de programmation (trop compliqué pour moi, j'ai pas fais les études pour....) ;) , je ne suis pas un expert, mais je me débrouille en CSS et HTML.  <|> fais => suggestions : fait
5 Typographie : points de suspension. Utilisez le caractère dédié. [[109:113]] => Je touche pas mal de choses,mais pas de programmation (trop compliqué pour moi, j'ai pas fais les études pour....) ;) , je ne suis pas un expert, mais je me débrouille en CSS et HTML.  <|> .... => suggestions : …
5 Pas d’espace avant une virgule. [[117:119]] => Je touche pas mal de choses,mais pas de programmation (trop compliqué pour moi, j'ai pas fais les études pour....) ;) , je ne suis pas un expert, mais je me débrouille en CSS et HTML.  <|>  , => suggestions : ,
5 Espace(s) en fin de ligne à supprimer. [[183:184]] => Je touche pas mal de choses,mais pas de programmation (trop compliqué pour moi, j'ai pas fais les études pour....) ;) , je ne suis pas un expert, mais je me débrouille en CSS et HTML.  <|>  

9 Confusion : « peux » est une conjugaison de “pouvoir”, utilisez “peu” pour dire “pas beaucoup”. [[23:27]] => Je peux aussi faire un peux de traduction //**Fr-->En**// ou **//Fr-->Slo//**. <|> peux => suggestions : peu
9 Mot inconnu : Slo [[70:73]] => Je peux aussi faire un peux de traduction //**Fr-->En**// ou **//Fr-->Slo//**. <|> slo

10 Il manque un espace. [[96:100]] => Voilà en quelques mots ma présentation, alors si je peux aider, __**il faut m'expliquer longtemps,mais je comprends vite !**__ <|> s,ma => suggestions :  mais
12 Espace(s) surnuméraire(s) à supprimer. [[34:37]] =>   * Vous pouvez me contacter par :   email  : csavidan**[at]**gmail**[dot]**com <|>     => suggestions :  
12 Espace(s) surnuméraire(s) à supprimer. [[42:44]] =>   * Vous pouvez me contacter par :   email  : csavidan**[at]**gmail**[dot]**com <|>    => suggestions :  
12 Mot inconnu : csavidan [[46:54]] =>   * Vous pouvez me contacter par :   email  : csavidan**[at]**gmail**[dot]**com <|> csavidan
12 Mot inconnu : at [[57:59]] =>   * Vous pouvez me contacter par :   email  : csavidan**[at]**gmail**[dot]**com <|> at
14 Mot inconnu : messagrie [[27:36]] =>   * Ou par le protocole de messagrie Jabber : Jabber : ExpresS[at]im.apinc[dot]org <|> messagrie
14 Mot inconnu : ExpresS [[55:62]] =>   * Ou par le protocole de messagrie Jabber : Jabber : ExpresS[at]im.apinc[dot]org <|> express
14 Mot inconnu : at [[63:65]] =>   * Ou par le protocole de messagrie Jabber : Jabber : ExpresS[at]im.apinc[dot]org <|> at
14 Mot inconnu : im [[66:68]] =>   * Ou par le protocole de messagrie Jabber : Jabber : ExpresS[at]im.apinc[dot]org <|> im
14 Mot inconnu : apinc [[69:74]] =>   * Ou par le protocole de messagrie Jabber : Jabber : ExpresS[at]im.apinc[dot]org <|> apinc
