1 Mot inconnu : Fabux [[7:12]] => ====== Fabux ====== <|> fabux

5 Mot inconnu : Slax [[31:35]] => |Distributions testées|Ubuntu, Slax, Slitaz, Crunchbang, Toutou Linux, Damn Small Linux...| <|> slax
5 Mot inconnu : Slitaz [[37:43]] => |Distributions testées|Ubuntu, Slax, Slitaz, Crunchbang, Toutou Linux, Damn Small Linux...| <|> slitaz
5 Mot inconnu : Crunchbang [[45:55]] => |Distributions testées|Ubuntu, Slax, Slitaz, Crunchbang, Toutou Linux, Damn Small Linux...| <|> crunchbang
5 Mot inconnu : Damn [[71:75]] => |Distributions testées|Ubuntu, Slax, Slitaz, Crunchbang, Toutou Linux, Damn Small Linux...| <|> damn
5 Typographie : points de suspension. Utilisez le caractère dédié. [[87:90]] => |Distributions testées|Ubuntu, Slax, Slitaz, Crunchbang, Toutou Linux, Damn Small Linux...| <|> ... => suggestions : ['…']

9 Guillemets typographiques ouvrants. [[5:6]] => Pour "ne pas faire comme tout le monde", je cherchais et utilisais des logiciels gratuits (mais pas tous forcément libre). J'ai fini par tomber sur Netscape (peu de temps avant Firefox) qui m'a fais découvrir la notion d'open source. Il me semble que c'est vers la même époque que j'ai tenté, sans succès, l'installation d'une Mandrake. Tout ceci m'a entrainé vers la notion de libre.\\ <|> " => suggestions : ['«\xa0', '“']
9 Guillemets typographiques fermants. [[38:39]] => Pour "ne pas faire comme tout le monde", je cherchais et utilisais des logiciels gratuits (mais pas tous forcément libre). J'ai fini par tomber sur Netscape (peu de temps avant Firefox) qui m'a fais découvrir la notion d'open source. Il me semble que c'est vers la même époque que j'ai tenté, sans succès, l'installation d'une Mandrake. Tout ceci m'a entrainé vers la notion de libre.\\ <|> " => suggestions : ['\xa0»', '”']
9 Mot inconnu : Netscape [[148:156]] => Pour "ne pas faire comme tout le monde", je cherchais et utilisais des logiciels gratuits (mais pas tous forcément libre). J'ai fini par tomber sur Netscape (peu de temps avant Firefox) qui m'a fais découvrir la notion d'open source. Il me semble que c'est vers la même époque que j'ai tenté, sans succès, l'installation d'une Mandrake. Tout ceci m'a entrainé vers la notion de libre.\\ <|> netscape
