
2 Mot inconnu : usr => Il a été extrait depuis l'archive **usr/share/cups/model/Lexmark-Z35-lxz35cj-cups.ppd.gz** récupérée [[http://www.bertrandperrier.fr/linux/CJLZ35LE-CUPS-2.0-1.TAR.GZ|ici]] | usr
2 Mot inconnu : share => Il a été extrait depuis l'archive **usr/share/cups/model/Lexmark-Z35-lxz35cj-cups.ppd.gz** récupérée [[http://www.bertrandperrier.fr/linux/CJLZ35LE-CUPS-2.0-1.TAR.GZ|ici]] | share
2 Mot inconnu : cups => Il a été extrait depuis l'archive **usr/share/cups/model/Lexmark-Z35-lxz35cj-cups.ppd.gz** récupérée [[http://www.bertrandperrier.fr/linux/CJLZ35LE-CUPS-2.0-1.TAR.GZ|ici]] | cups
2 Mot inconnu : model => Il a été extrait depuis l'archive **usr/share/cups/model/Lexmark-Z35-lxz35cj-cups.ppd.gz** récupérée [[http://www.bertrandperrier.fr/linux/CJLZ35LE-CUPS-2.0-1.TAR.GZ|ici]] | model
2 Mot inconnu : Lexmark-Z35-lxz35cj-cups => Il a été extrait depuis l'archive **usr/share/cups/model/Lexmark-Z35-lxz35cj-cups.ppd.gz** récupérée [[http://www.bertrandperrier.fr/linux/CJLZ35LE-CUPS-2.0-1.TAR.GZ|ici]] | lexmark-z35-lxz35cj-cups
2 Mot inconnu : ppd => Il a été extrait depuis l'archive **usr/share/cups/model/Lexmark-Z35-lxz35cj-cups.ppd.gz** récupérée [[http://www.bertrandperrier.fr/linux/CJLZ35LE-CUPS-2.0-1.TAR.GZ|ici]] | ppd
2 Mot inconnu : gz => Il a été extrait depuis l'archive **usr/share/cups/model/Lexmark-Z35-lxz35cj-cups.ppd.gz** récupérée [[http://www.bertrandperrier.fr/linux/CJLZ35LE-CUPS-2.0-1.TAR.GZ|ici]] | gz

6 Mot inconnu : PPD-Adobe => *PPD-Adobe: "4.3" | ppd-adobe
6 Guillemets typographiques ouvrants. => *PPD-Adobe: "4.3" | " => suggestions : ['«\xa0', '“']
6 Guillemets typographiques fermants. => *PPD-Adobe: "4.3" | " => suggestions : ['\xa0»', '”']

7 Mot inconnu : FormatVersion => *FormatVersion:	"4.3" | formatversion
7 Guillemets typographiques ouvrants. => *FormatVersion:	"4.3" | " => suggestions : ['«\xa0', '“']
7 Guillemets typographiques fermants. => *FormatVersion:	"4.3" | " => suggestions : ['\xa0»', '”']

8 Mot inconnu : FileVersion => *FileVersion:	"1.0" | fileversion
8 Guillemets typographiques ouvrants. => *FileVersion:	"1.0" | " => suggestions : ['«\xa0', '“']
8 Guillemets typographiques fermants. => *FileVersion:	"1.0" | " => suggestions : ['\xa0»', '”']

9 Mot inconnu : LanguageVersion => *LanguageVersion: English  | languageversion
9 Mot inconnu : English => *LanguageVersion: English  | english
9 Espace(s) en fin de ligne à supprimer. => *LanguageVersion: English  |   => suggestions : ['']

10 Mot inconnu : LanguageEncoding => *LanguageEncoding: ISOLatin1 | languageencoding
10 Mot inconnu : ISOLatin1 => *LanguageEncoding: ISOLatin1 | isolatin1

11 Mot inconnu : PCFileName => *PCFileName:	"LXZ35CJ.PPD" | pcfilename
11 Guillemets typographiques ouvrants. => *PCFileName:	"LXZ35CJ.PPD" | " => suggestions : ['«\xa0', '“']
11 Mot inconnu : LXZ35CJ => *PCFileName:	"LXZ35CJ.PPD" | lxz35cj
11 Mot inconnu : PPD => *PCFileName:	"LXZ35CJ.PPD" | ppd
11 Guillemets typographiques fermants. => *PCFileName:	"LXZ35CJ.PPD" | " => suggestions : ['\xa0»', '”']

12 Guillemets typographiques ouvrants. => *Manufacturer:	"Lexmark" | " => suggestions : ['«\xa0', '“']
12 Mot inconnu : Lexmark => *Manufacturer:	"Lexmark" | lexmark
12 Guillemets typographiques fermants. => *Manufacturer:	"Lexmark" | " => suggestions : ['\xa0»', '”']

13 Mot inconnu : Product => *Product:	"(CUPS v1.1)" | product
13 Mot inconnu : CUPS => *Product:	"(CUPS v1.1)" | cups
13 Mot inconnu : v1 => *Product:	"(CUPS v1.1)" | v1

14 Mot inconnu : cupsVersion => *cupsVersion:	1.1 | cupsversion

15 Mot inconnu : cupsManualCopies => *cupsManualCopies: True | cupsmanualcopies
15 Mot inconnu : True => *cupsManualCopies: True | true

16 Mot inconnu : cupsModelNumber => *cupsModelNumber:  1 | cupsmodelnumber
16 Espace(s) surnuméraire(s) à supprimer. => *cupsModelNumber:  1 |    => suggestions : [' ']

17 Mot inconnu : cupsFilter => *cupsFilter:	"application/vnd.cups-raster 0 rastertoz35" | cupsfilter
17 Guillemets typographiques ouvrants. => *cupsFilter:	"application/vnd.cups-raster 0 rastertoz35" | " => suggestions : ['«\xa0', '“']
17 Mot inconnu : vnd => *cupsFilter:	"application/vnd.cups-raster 0 rastertoz35" | vnd
17 Mot inconnu : cups-raster => *cupsFilter:	"application/vnd.cups-raster 0 rastertoz35" | cups-raster
17 Si “rastertoz35” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => *cupsFilter:	"application/vnd.cups-raster 0 rastertoz35" | 0 rastertoz35 => suggestions : ['0\xa0rastertoz35']
17 Mot inconnu : rastertoz35 => *cupsFilter:	"application/vnd.cups-raster 0 rastertoz35" | rastertoz35
17 Guillemets typographiques fermants. => *cupsFilter:	"application/vnd.cups-raster 0 rastertoz35" | " => suggestions : ['\xa0»', '”']

18 Mot inconnu : ModelName => *ModelName:     "Lexmark Z35 Color Jetprinter" | modelname
18 Espace(s) surnuméraire(s) à supprimer. => *ModelName:     "Lexmark Z35 Color Jetprinter" |       => suggestions : [' ']
18 Guillemets typographiques ouvrants. => *ModelName:     "Lexmark Z35 Color Jetprinter" | " => suggestions : ['«\xa0', '“']
18 Mot inconnu : Lexmark => *ModelName:     "Lexmark Z35 Color Jetprinter" | lexmark
18 Mot inconnu : Z35 => *ModelName:     "Lexmark Z35 Color Jetprinter" | z35
18 Mot inconnu : Color => *ModelName:     "Lexmark Z35 Color Jetprinter" | color
18 Mot inconnu : Jetprinter => *ModelName:     "Lexmark Z35 Color Jetprinter" | jetprinter
18 Guillemets typographiques fermants. => *ModelName:     "Lexmark Z35 Color Jetprinter" | " => suggestions : ['\xa0»', '”']

19 Mot inconnu : ShortNickName => *ShortNickName: "Lexmark Z35" | shortnickname
19 Guillemets typographiques ouvrants. => *ShortNickName: "Lexmark Z35" | " => suggestions : ['«\xa0', '“']
19 Mot inconnu : Lexmark => *ShortNickName: "Lexmark Z35" | lexmark
19 Mot inconnu : Z35 => *ShortNickName: "Lexmark Z35" | z35
19 Guillemets typographiques fermants. => *ShortNickName: "Lexmark Z35" | " => suggestions : ['\xa0»', '”']

20 Mot inconnu : NickName => *NickName:      "Lexmark Z35 v2.0-1" | nickname
20 Espace(s) surnuméraire(s) à supprimer. => *NickName:      "Lexmark Z35 v2.0-1" |        => suggestions : [' ']
20 Guillemets typographiques ouvrants. => *NickName:      "Lexmark Z35 v2.0-1" | " => suggestions : ['«\xa0', '“']
20 Mot inconnu : Lexmark => *NickName:      "Lexmark Z35 v2.0-1" | lexmark
20 Mot inconnu : Z35 => *NickName:      "Lexmark Z35 v2.0-1" | z35
20 Guillemets typographiques fermants. => *NickName:      "Lexmark Z35 v2.0-1" | " => suggestions : ['\xa0»', '”']

21 Mot inconnu : PSVersion => *PSVersion:	"(3010.000) 550" | psversion
21 Guillemets typographiques fermants. => *PSVersion:	"(3010.000) 550" | " => suggestions : ['\xa0»', '”']

22 Mot inconnu : PSVersion => *PSVersion:	"(3010.000) 651" | psversion
22 Guillemets typographiques fermants. => *PSVersion:	"(3010.000) 651" | " => suggestions : ['\xa0»', '”']

23 Mot inconnu : PSVersion => *PSVersion:	"(3010.000) 652" | psversion
23 Guillemets typographiques fermants. => *PSVersion:	"(3010.000) 652" | " => suggestions : ['\xa0»', '”']

24 Mot inconnu : LanguageLevel => *LanguageLevel:	"3" | languagelevel
24 Guillemets typographiques ouvrants. => *LanguageLevel:	"3" | " => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. => *LanguageLevel:	"3" | " => suggestions : ['\xa0»', '”']

25 Mot inconnu : ColorDevice => *ColorDevice:	True | colordevice
25 Mot inconnu : True => *ColorDevice:	True | true

26 Mot inconnu : DefaultColorSpace => *DefaultColorSpace:	RGB | defaultcolorspace
26 Mot inconnu : RGB => *DefaultColorSpace:	RGB | rgb

27 Mot inconnu : FileSystem => *FileSystem:	False | filesystem
27 Mot inconnu : False => *FileSystem:	False | false

28 Mot inconnu : Throughput => *Throughput:	"15" | throughput
28 Guillemets typographiques ouvrants. => *Throughput:	"15" | " => suggestions : ['«\xa0', '“']
28 Guillemets typographiques fermants. => *Throughput:	"15" | " => suggestions : ['\xa0»', '”']

29 Mot inconnu : LandscapeOrientation => *LandscapeOrientation: Plus90 | landscapeorientation
29 Mot inconnu : Plus90 => *LandscapeOrientation: Plus90 | plus90

30 Mot inconnu : VariablePaperSize => *VariablePaperSize: False | variablepapersize
30 Mot inconnu : False => *VariablePaperSize: False | false

31 Mot inconnu : TTRasterizer => *TTRasterizer:	Type42 | ttrasterizer
31 Mot inconnu : Type42 => *TTRasterizer:	Type42 | type42

