1 Mot inconnu : time [[5:9]] => TEST time <|> time

13 Mot inconnu : Bla [[2:5]] => //Bla truc bidule chè pas koi en italique test pour impression// <|> bla
13 Mot inconnu : chè [[18:21]] => //Bla truc bidule chè pas koi en italique test pour impression// <|> chè
13 Mot inconnu : koi [[26:29]] => //Bla truc bidule chè pas koi en italique test pour impression// <|> koi

19 Mot inconnu : __ [[2:4]] => **__//Bal gras souligné italique//__** <|> __
19 Mot inconnu : __ [[34:36]] => **__//Bal gras souligné italique//__** <|> __

21 Mot inconnu : Balab [[0:5]] => Balab <|> balab

23 Mot inconnu : balabla [[0:7]] => balabla <|> balabla

25 Mot inconnu : ballab [[0:6]] => ballab <|> ballab

27 Mot inconnu : ballabla [[0:8]] => ballabla <|> ballabla

29 Mot inconnu : bilo [[0:4]] => bilo <|> bilo

32 Mot inconnu : bilobo [[0:6]] => bilobo <|> bilobo

34 Mot inconnu : balibol [[0:7]] => balibol <|> balibol

36 Mot inconnu : bilobla [[0:7]] => bilobla <|> bilobla

38 Mot inconnu : bilolob [[0:7]] => bilolob <|> bilolob

40 Mot inconnu : Vérif [[0:5]] => Vérif taille texte pour bug  <|> vérif
40 Espace(s) en fin de ligne à supprimer. [[27:28]] => Vérif taille texte pour bug  <|>  

43 Mot inconnu : bilabo [[0:6]] => bilabo <|> bilabo

49 Mot inconnu : bolibla [[0:7]] => bolibla <|> bolibla

60 Mot inconnu : tip [[33:36]] => <note tip> Essai impression note tip</note> <|> tip

64 Mot inconnu : help [[27:31]] => <note help>Impression note help</note> <|> help

87 Mot inconnu : Wrap [[11:15]] => ===== test Wrap et Box ===== <|> wrap

89 Mot inconnu : WRAP [[16:20]] => <WRAP info>Test WRAP (casse majuscule)</WRAP> <|> wrap

91 Mot inconnu : wrap [[16:20]] => <wrap info>Test wrap (casse minuscule)</wrap> <|> wrap

95 Mot inconnu : left [[30:34]] => <box #ececec left>box #ececec left</box> <|> left

96 Mot inconnu : centered [[34:42]] => <box #ececec centered>box #ececec centered</box> <|> centered

97 Mot inconnu : right [[31:36]] => <box #ececec right>box #ececec right</box> <|> right

100 Mot inconnu : left [[57:61]] => <box centered 100% #eCecec><box #ececec left>box #ececec left</box></box> <|> left

101 Mot inconnu : centered [[61:69]] => <box centered 100% #eCecec><box #ececec centered>box #ececec centered</box></box> <|> centered

102 Mot inconnu : right [[58:63]] => <box centered 100% #eCecec><box #ececec right>box #ececec right</box></box> <|> right

105 Mot inconnu : centered [[31:39]] => <box centered 100% #eCecec>box centered 100% #eCecec</box> <|> centered

112 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. [[15:19]] => C'est pas clair car tu englobes une box dans une autre avec la même couleur. Voici ce que ça donne avec les boxes 100% d'une autre couleur : <|>  car => suggestions : , car

116 Mot inconnu : left [[30:34]] => <box #ececec left>box #ececec left</box> <|> left

117 Mot inconnu : centered [[34:42]] => <box #ececec centered>box #ececec centered</box> <|> centered

118 Mot inconnu : right [[31:36]] => <box #ececec right>box #ececec right</box> <|> right

121 Mot inconnu : left [[57:61]] => <box centered 100% #ffffff><box #ececec left>box #ececec left</box></box> <|> left

122 Mot inconnu : centered [[61:69]] => <box centered 100% #ffffff><box #ececec centered>box #ececec centered</box></box> <|> centered

123 Mot inconnu : right [[58:63]] => <box centered 100% #ffffff><box #ececec right>box #ececec right</box></box> <|> right

126 Mot inconnu : centered [[31:39]] => <box centered 100% #eCecec>box centered 100% #eCecec</box> <|> centered
132 Mot inconnu : décallé [[186:193]] => Voici ce que cela donne pour les 3 autres avec des boxes à 60%, 65% et 55%. Celles-ci sont mises dans une box 100% de couleur blanche pour éviter que le texte qui suit soit complètement décallé : <|> décallé

134 Mot inconnu : leftalign [[44:53]] => <box centered 60% round #eCecec leftalign>**leftalign** pour le texte</box> <|> leftalign

135 Mot inconnu : centeralign [[46:57]] => <box centered 65% round #eeeeff centeralign>**centeralign** pour le texte</box> <|> centeralign

136 Mot inconnu : rightalign [[45:55]] => <box centered 55% round #eeffee rightalign>**rightalign** pour le texte</box> <|> rightalign

142 Mot inconnu : bougron [[16:23]] => ===== Test lien bougron ===== <|> bougron
144 Espace(s) en fin de ligne à supprimer. [[17:18]] =>   * Sans crochets  <|>  
150 Espace(s) en fin de ligne à supprimer. [[36:37]] =>   * Avec crochet et avec nom de lien  <|>  
157 Il manque un espace. [[6:11]] =>   * %%HTTPS://www.google.fr%% c'est la majuscule qui ne passe pas <|> https => suggestions :  __URL

174 Mot inconnu : nawak [[6:11]] => <note>nawak</note> <|> nawak
