1 Espace(s) en fin de ligne à supprimer. => <note important>Ceci est un brouillon:  |   => suggestions : ['']

8 Mot inconnu : ssh => ====== Accéder visuellement à une machine distante via ssh ====== | ssh

54 Mot inconnu : __ => __**Rien**__ tout est installé (un café si vous voulez :-)). | __
54 Mot inconnu : __ => __**Rien**__ tout est installé (un café si vous voulez :-)). | __

64 Guillemets typographiques ouvrants. => Par exemple, pour vous connecter à la machine distante dont le nom d'utilisateur de la session est "ami", l'adresse public sur le net est //123.45.67.890// et dont le port redirigé est //22//, saisissez | " => suggestions : ['«\xa0', '“']
64 Guillemets typographiques fermants. => Par exemple, pour vous connecter à la machine distante dont le nom d'utilisateur de la session est "ami", l'adresse public sur le net est //123.45.67.890// et dont le port redirigé est //22//, saisissez | " => suggestions : ['\xa0»', '”']

68 Il manque les traits d’union. => Vous êtes maintenant sur le serveur, c'est à dire la machine distante. | c'est à dire => suggestions : ['c’est-à-dire']

83 Mot inconnu : FIXME => FIXME toute la partie à reprendre pour simplifier. | fixme

91 Typographie : points de suspension. Utilisez le caractère dédié. => Vous devriez être maintenant sur le pc distant et la personne qui se trouve devant physiquement (votre client, ami...) doit voir toutes vos actions. | ... => suggestions : ['…']

96 Mot inconnu : FIXME => <note tip>FIXME à revérifier car test bizarre pour gconftool en local-VM\\ | fixme
96 Mot inconnu : gconftool => <note tip>FIXME à revérifier car test bizarre pour gconftool en local-VM\\ | gconftool
96 Mot inconnu : local-VM => <note tip>FIXME à revérifier car test bizarre pour gconftool en local-VM\\ | local-vm

97 Il manque un trait d’union si “même” se rapporte à “vous”. => Vous pouvez vous même modifier les préferences de vino-server et lancer ce dernier s'il n'était pas actif. Il s'agira de: | vous même => suggestions : ['vous-même']
97 Mot inconnu : préferences => Vous pouvez vous même modifier les préferences de vino-server et lancer ce dernier s'il n'était pas actif. Il s'agira de: | préferences
97 Mot inconnu : vino-server => Vous pouvez vous même modifier les préferences de vino-server et lancer ce dernier s'il n'était pas actif. Il s'agira de: | vino-server

105 Mot inconnu : vino-server => Vous pouvez également activer vino-server et modifier ses préférences (par gconftool-2 | vino-server
105 Mot inconnu : gconftool-2 => Vous pouvez également activer vino-server et modifier ses préférences (par gconftool-2 | gconftool-2

106 Mot inconnu : ssh => ou utiliser ssh avec l'option -X pour tenter de lancer vino-preferences | ssh
106 Il manque un espace à côté du tiret. => ou utiliser ssh avec l'option -X pour tenter de lancer vino-preferences |  - => suggestions : [' – ', ' — ']
106 Mot inconnu : vino-preferences => ou utiliser ssh avec l'option -X pour tenter de lancer vino-preferences | vino-preferences

109 Mot inconnu : FIXME => FIXME remettre une note sur les effets graphique ? déplacer pré-requis à ce sujet ici? | fixme
109 Accord de nombre erroné avec « les effets » : « graphique » devrait être au pluriel. => FIXME remettre une note sur les effets graphique ? déplacer pré-requis à ce sujet ici? | graphique => suggestions : ['graphiques']

112 Mot inconnu : vinagre => Côté client, pour quitter votre accès à distance, quittez vinagre et les terminaux ouverts.\\ | vinagre

113 Mot inconnu : ssh => Côté serveur, vous pouvez arrêter le serveur ssh par | ssh

128 Mot inconnu : FIXME => FIXME explication de préférence de l'un par rapport à l'autre.\\ | fixme

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Les ports habituellement usités sont visibles dans le fichier **/etc/services**. Choisissez en donc un qui n'y apparait. \\  |   => suggestions : ['']
133 Espace(s) en fin de ligne à supprimer. =>  Les ports habituellement usités sont visibles dans le fichier **/etc/services**. Choisissez en donc un qui n'y apparait. \\  |   => suggestions : ['']

137 Guillemets typographiques ouvrants. => Vous souhaitez rediriger le port //2653// entrant dans votre routeur/box vers le port //2654// de la machine //192.168.0.10// dont l'adresse public est //123.45.67.890// et le nom de session est "ami" | " => suggestions : ['«\xa0', '“']
137 Guillemets typographiques fermants. => Vous souhaitez rediriger le port //2653// entrant dans votre routeur/box vers le port //2654// de la machine //192.168.0.10// dont l'adresse public est //123.45.67.890// et le nom de session est "ami" | " => suggestions : ['\xa0»', '”']

143 Mot inconnu : SSH => ====Ne pas démarrer le serveur SSH==== | ssh

149 Mot inconnu : VNC => ====Ne pas démarrer le serveur VNC==== | vnc

151 Mot inconnu : vnc_via_ssh => Si vous souhaitez alors avoir un retour graphique de sa machine, vous penserez donc à demander à l'utilisateur disant de le démarrer tel qu'expliqué dans [[vnc_via_ssh#retour_graphique_de_l_environnement|cette section]].\\ | vnc_via_ssh

152 Mot inconnu : FIXME => FIXME pas possible de le démarrer à distance avec DISPLAY=0.0 par exemple ? | fixme
152 Mot inconnu : DISPLAY => FIXME pas possible de le démarrer à distance avec DISPLAY=0.0 par exemple ? | display

156 Mot inconnu : FIXME => FIXME:si clé ok sinon passphrase possible (pour cybercafé par exemple)?  | fixme
156 Il manque un espace. => FIXME:si clé ok sinon passphrase possible (pour cybercafé par exemple)?  | si => suggestions : [' si']
156 Mot inconnu : ok => FIXME:si clé ok sinon passphrase possible (pour cybercafé par exemple)?  | ok
156 Mot inconnu : passphrase => FIXME:si clé ok sinon passphrase possible (pour cybercafé par exemple)?  | passphrase
156 Espace(s) en fin de ligne à supprimer. => FIXME:si clé ok sinon passphrase possible (pour cybercafé par exemple)?  |   => suggestions : ['']
