
4 Mot inconnu : left => <box #ececec left>box #ececec left</box> | left

5 Mot inconnu : centered => <box #ececec centered>box #ececec centered</box> | centered

6 Mot inconnu : right => <box #ececec right>box #ececec right</box> | right

9 Mot inconnu : left => <box centered 100% #eCecec><box #ececec left>box #ececec left</box></box> | left

10 Mot inconnu : centered => <box centered 100% #eCecec><box #ececec centered>box #ececec centered</box></box> | centered

11 Mot inconnu : right => <box centered 100% #eCecec><box #ececec right>box #ececec right</box></box> | right

14 Mot inconnu : centered => <box centered 100% #eCecec>box centered 100% #eCecec</box> | centered

19 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => C'est pas clair car tu englobes une box dans une autre avec la même couleur. Voici ce que ça donne avec les boxes 100% d'une autre couleur : |  car => suggestions : [', car']

23 Mot inconnu : left => <box #ececec left>box #ececec left</box> | left

24 Mot inconnu : centered => <box #ececec centered>box #ececec centered</box> | centered

25 Mot inconnu : right => <box #ececec right>box #ececec right</box> | right

28 Mot inconnu : left => <box centered 100% #ffffff><box #ececec left>box #ececec left</box></box> | left

29 Mot inconnu : centered => <box centered 100% #ffffff><box #ececec centered>box #ececec centered</box></box> | centered

30 Mot inconnu : right => <box centered 100% #ffffff><box #ececec right>box #ececec right</box></box> | right

33 Mot inconnu : centered => <box centered 100% #eCecec>box centered 100% #eCecec</box> | centered

38 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => en lisant la doc wrap (lien fourni par fabux), on trouve les variables leftalign, rightalign, centeralign et justify. Après test, justify est inopérant.  | en => suggestions : ['En']
38 Mot inconnu : wrap => en lisant la doc wrap (lien fourni par fabux), on trouve les variables leftalign, rightalign, centeralign et justify. Après test, justify est inopérant.  | wrap
38 Mot inconnu : fabux => en lisant la doc wrap (lien fourni par fabux), on trouve les variables leftalign, rightalign, centeralign et justify. Après test, justify est inopérant.  | fabux
38 Mot inconnu : leftalign => en lisant la doc wrap (lien fourni par fabux), on trouve les variables leftalign, rightalign, centeralign et justify. Après test, justify est inopérant.  | leftalign
38 Mot inconnu : rightalign => en lisant la doc wrap (lien fourni par fabux), on trouve les variables leftalign, rightalign, centeralign et justify. Après test, justify est inopérant.  | rightalign
38 Mot inconnu : centeralign => en lisant la doc wrap (lien fourni par fabux), on trouve les variables leftalign, rightalign, centeralign et justify. Après test, justify est inopérant.  | centeralign
38 Mot inconnu : justify => en lisant la doc wrap (lien fourni par fabux), on trouve les variables leftalign, rightalign, centeralign et justify. Après test, justify est inopérant.  | justify
38 Mot inconnu : justify => en lisant la doc wrap (lien fourni par fabux), on trouve les variables leftalign, rightalign, centeralign et justify. Après test, justify est inopérant.  | justify
38 Espace(s) en fin de ligne à supprimer. => en lisant la doc wrap (lien fourni par fabux), on trouve les variables leftalign, rightalign, centeralign et justify. Après test, justify est inopérant.  |   => suggestions : ['']
40 Mot inconnu : décallé => Voici ce que cela donne pour les 3 autres avec des boxes à 60%, 65% et 55%. Celles-ci sont mises dans une box 100% de couleur blanche pour éviter que le texte qui suit soit complètement décallé : | décallé

42 Mot inconnu : leftalign => <box centered 60% round #eCecec leftalign>**leftalign** pour le texte</box> | leftalign

43 Mot inconnu : centeralign => <box centered 65% round #eeeeff centeralign>**centeralign** pour le texte</box> | centeralign

44 Mot inconnu : rightalign => <box centered 55% round #eeffee rightalign>**rightalign** pour le texte</box> | rightalign
