2 Mot inconnu : ajoutables => ====== Liste de radios ajoutables sur Guayadeque ====== <|> ajoutables
2 Mot inconnu : Guayadeque => ====== Liste de radios ajoutables sur Guayadeque ====== <|> guayadeque
4 Mot inconnu : gedit =>   * Ouvrez votre éditeur de texte (par exemple : Applications / Éditeur de texte gedit), <|> gedit
6 Mot inconnu : xml =>   * Enregistrez le **fichier avec une extension xml**, par exemple : radios_fr.xml, <|> xml
6 Mot inconnu : radios_fr =>   * Enregistrez le **fichier avec une extension xml**, par exemple : radios_fr.xml, <|> radios_fr
6 Mot inconnu : xml =>   * Enregistrez le **fichier avec une extension xml**, par exemple : radios_fr.xml, <|> xml
7 Mot inconnu : Guayadeque =>   * Allez sur Guayadeque, sur Radio, Mes radios, Clic droit : Importer et désignez votre fichier radio_fr.xml. <|> guayadeque
7 Mot inconnu : radio_fr =>   * Allez sur Guayadeque, sur Radio, Mes radios, Clic droit : Importer et désignez votre fichier radio_fr.xml. <|> radio_fr
7 Mot inconnu : xml =>   * Allez sur Guayadeque, sur Radio, Mes radios, Clic droit : Importer et désignez votre fichier radio_fr.xml. <|> xml

9 Mot inconnu : html => <note>Le fichier précédent ne fonctionnait plus car dans les noms de radios, il y avait un "&" non noté en mode html : "&amp;". Cela empêchait toute importation!</note> <|> html
9 Mot inconnu : amp => <note>Le fichier précédent ne fonctionnait plus car dans les noms de radios, il y avait un "&" non noté en mode html : "&amp;". Cela empêchait toute importation!</note> <|> amp

11 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => ===== Code à Copier/Coller ===== <|> copier/coller => suggestions : ['Copier-coller', 'Copié-collé', 'Copiée-collée', 'Copiés-collés', 'Copiées-collées']

13 Il manque un espace. => <file xml RadioStations.xml><?xml version="1.0" encoding="UTF-8"?> <|> xml => suggestions : [' xml']
13 Mot inconnu : xml => <file xml RadioStations.xml><?xml version="1.0" encoding="UTF-8"?> <|> xml
13 Guillemets typographiques ouvrants. => <file xml RadioStations.xml><?xml version="1.0" encoding="UTF-8"?> <|> " => suggestions : ['«\xa0', '“']
13 Guillemets typographiques fermants. => <file xml RadioStations.xml><?xml version="1.0" encoding="UTF-8"?> <|> " => suggestions : ['\xa0»', '”']
13 Mot inconnu : encoding => <file xml RadioStations.xml><?xml version="1.0" encoding="UTF-8"?> <|> encoding
13 Guillemets typographiques ouvrants. => <file xml RadioStations.xml><?xml version="1.0" encoding="UTF-8"?> <|> " => suggestions : ['«\xa0', '“']
13 Guillemets typographiques fermants. => <file xml RadioStations.xml><?xml version="1.0" encoding="UTF-8"?> <|> " => suggestions : ['\xa0»', '”']
