1 Mot inconnu : ftarkin => ====== ftarkin ====== | ftarkin

3 Mot inconnu : Professionelles => ===== Machines Professionelles: ===== | professionelles

17 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - <del>  Acer Aspire Revo Atom 1.6Ghz, 2Go DDR3, sous Ubuntu 9.10 KK 32bits</del> | -  => suggestions : ['—\xa0', '–\xa0']
17 Mot inconnu : Revo => - <del>  Acer Aspire Revo Atom 1.6Ghz, 2Go DDR3, sous Ubuntu 9.10 KK 32bits</del> | revo
17 Mot inconnu : Atom => - <del>  Acer Aspire Revo Atom 1.6Ghz, 2Go DDR3, sous Ubuntu 9.10 KK 32bits</del> | atom
17 Mot inconnu : Ghz => - <del>  Acer Aspire Revo Atom 1.6Ghz, 2Go DDR3, sous Ubuntu 9.10 KK 32bits</del> | ghz
17 Mot inconnu : DDR3 => - <del>  Acer Aspire Revo Atom 1.6Ghz, 2Go DDR3, sous Ubuntu 9.10 KK 32bits</del> | ddr3
17 Mot inconnu : KK => - <del>  Acer Aspire Revo Atom 1.6Ghz, 2Go DDR3, sous Ubuntu 9.10 KK 32bits</del> | kk

19 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - <del>  Fixe LDLC Core-i3, 4 Go RAM, 500 Go HDD, sous Ubuntu 12.04 LTS 64 bits</del> | -  => suggestions : ['—\xa0', '–\xa0']
19 Mot inconnu : LDLC => - <del>  Fixe LDLC Core-i3, 4 Go RAM, 500 Go HDD, sous Ubuntu 12.04 LTS 64 bits</del> | ldlc
19 Mot inconnu : Core-i3 => - <del>  Fixe LDLC Core-i3, 4 Go RAM, 500 Go HDD, sous Ubuntu 12.04 LTS 64 bits</del> | core-i3
19 Mot inconnu : HDD => - <del>  Fixe LDLC Core-i3, 4 Go RAM, 500 Go HDD, sous Ubuntu 12.04 LTS 64 bits</del> | hdd
19 Mot inconnu : LTS => - <del>  Fixe LDLC Core-i3, 4 Go RAM, 500 Go HDD, sous Ubuntu 12.04 LTS 64 bits</del> | lts

21 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - J'ai arrété de regarder :D   | -  => suggestions : ['—\xa0', '–\xa0']
21 Mot inconnu : arrété => - J'ai arrété de regarder :D   | arrété
21 Espace(s) en fin de ligne à supprimer. => - J'ai arrété de regarder :D   |    => suggestions : ['']

22 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ===== Contributions - Modifications - Corrections: ===== |  -  => suggestions : [' – ', ' — ', ' − ']
22 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ===== Contributions - Modifications - Corrections: ===== |  -  => suggestions : [' – ', ' — ', ' − ']
