1 Mot inconnu : MySQL => ==== Déplacer ses bases de données MySQL ==== | mysql

9 Il manque un espace. => Éventuellement ce fichier contient des directives **!includedir**. Il faut alors chercher dans ces répertoires le fichier qui contient **datadir**. | includedir => suggestions : [' includedir']
9 Mot inconnu : includedir => Éventuellement ce fichier contient des directives **!includedir**. Il faut alors chercher dans ces répertoires le fichier qui contient **datadir**. | includedir
9 Mot inconnu : datadir => Éventuellement ce fichier contient des directives **!includedir**. Il faut alors chercher dans ces répertoires le fichier qui contient **datadir**. | datadir

19 Mot inconnu : datadir => On suppose que l'ancienne valeur de **datadir** était **/var/lib/mysql**. | datadir

48 Mot inconnu : sudo => $ sudo chmod -R 700 /var/lib/mysql</code> | sudo
48 Mot inconnu : chmod => $ sudo chmod -R 700 /var/lib/mysql</code> | chmod
48 Il manque un espace à côté du tiret. => $ sudo chmod -R 700 /var/lib/mysql</code> |  - => suggestions : [' – ', ' — ']

61 Espace(s) en fin de ligne à supprimer. => </code>   |    => suggestions : ['']
