1 Espace(s) en fin de ligne à supprimer. [[8:9]] => Bonjour.  <|>   => suggestions : ['']

3 Mot inconnu : Ruiz [[21:25]] => Mon nom est Alphonse Ruiz de Turckeim, et j'ecris cet article a la demande de mon patron, Jacques Guarrigue-Lefevre, fondateur, proprietaire et president de Paris Elysee Private Club, plus connu sous le nom de Paris Elysee. Notre club vient juste d'ouvrir ses portes l'an dernier, en 2005, a Paris. <|> ruiz
3 Mot inconnu : Turckeim [[29:37]] => Mon nom est Alphonse Ruiz de Turckeim, et j'ecris cet article a la demande de mon patron, Jacques Guarrigue-Lefevre, fondateur, proprietaire et president de Paris Elysee Private Club, plus connu sous le nom de Paris Elysee. Notre club vient juste d'ouvrir ses portes l'an dernier, en 2005, a Paris. <|> turckeim
3 Mot inconnu : ecris [[44:49]] => Mon nom est Alphonse Ruiz de Turckeim, et j'ecris cet article a la demande de mon patron, Jacques Guarrigue-Lefevre, fondateur, proprietaire et president de Paris Elysee Private Club, plus connu sous le nom de Paris Elysee. Notre club vient juste d'ouvrir ses portes l'an dernier, en 2005, a Paris. <|> ecris
3 Mot inconnu : Guarrigue-Lefevre [[98:115]] => Mon nom est Alphonse Ruiz de Turckeim, et j'ecris cet article a la demande de mon patron, Jacques Guarrigue-Lefevre, fondateur, proprietaire et president de Paris Elysee Private Club, plus connu sous le nom de Paris Elysee. Notre club vient juste d'ouvrir ses portes l'an dernier, en 2005, a Paris. <|> guarrigue-lefevre
3 Mot inconnu : proprietaire [[128:140]] => Mon nom est Alphonse Ruiz de Turckeim, et j'ecris cet article a la demande de mon patron, Jacques Guarrigue-Lefevre, fondateur, proprietaire et president de Paris Elysee Private Club, plus connu sous le nom de Paris Elysee. Notre club vient juste d'ouvrir ses portes l'an dernier, en 2005, a Paris. <|> proprietaire
3 Mot inconnu : president [[144:153]] => Mon nom est Alphonse Ruiz de Turckeim, et j'ecris cet article a la demande de mon patron, Jacques Guarrigue-Lefevre, fondateur, proprietaire et president de Paris Elysee Private Club, plus connu sous le nom de Paris Elysee. Notre club vient juste d'ouvrir ses portes l'an dernier, en 2005, a Paris. <|> president
3 Mot inconnu : Elysee [[163:169]] => Mon nom est Alphonse Ruiz de Turckeim, et j'ecris cet article a la demande de mon patron, Jacques Guarrigue-Lefevre, fondateur, proprietaire et president de Paris Elysee Private Club, plus connu sous le nom de Paris Elysee. Notre club vient juste d'ouvrir ses portes l'an dernier, en 2005, a Paris. <|> elysee
3 Mot inconnu : Private [[170:177]] => Mon nom est Alphonse Ruiz de Turckeim, et j'ecris cet article a la demande de mon patron, Jacques Guarrigue-Lefevre, fondateur, proprietaire et president de Paris Elysee Private Club, plus connu sous le nom de Paris Elysee. Notre club vient juste d'ouvrir ses portes l'an dernier, en 2005, a Paris. <|> private
3 Mot inconnu : Elysee [[216:222]] => Mon nom est Alphonse Ruiz de Turckeim, et j'ecris cet article a la demande de mon patron, Jacques Guarrigue-Lefevre, fondateur, proprietaire et president de Paris Elysee Private Club, plus connu sous le nom de Paris Elysee. Notre club vient juste d'ouvrir ses portes l'an dernier, en 2005, a Paris. <|> elysee

4 Mot inconnu : Vice-President [[11:25]] => Je suis le Vice-President des memberships de notre societee. <|> vice-president
4 Mot inconnu : memberships [[30:41]] => Je suis le Vice-President des memberships de notre societee. <|> memberships
4 Mot inconnu : societee [[51:59]] => Je suis le Vice-President des memberships de notre societee. <|> societee

9 Mot inconnu : marketer [[96:104]] => Pour cela, il dit que ce serait avec une grande joie et honneur s'il obtenait l'autorisation de marketer votre produit durant l'une de nos soirees membres. Il pensait, au cours de son discours, mentionner le systeme d'exploitation Ubuntu pour ainsi le recommander a son audience. <|> marketer
9 Mot inconnu : soirees [[139:146]] => Pour cela, il dit que ce serait avec une grande joie et honneur s'il obtenait l'autorisation de marketer votre produit durant l'une de nos soirees membres. Il pensait, au cours de son discours, mentionner le systeme d'exploitation Ubuntu pour ainsi le recommander a son audience. <|> soirees
9 Mot inconnu : systeme [[208:215]] => Pour cela, il dit que ce serait avec une grande joie et honneur s'il obtenait l'autorisation de marketer votre produit durant l'une de nos soirees membres. Il pensait, au cours de son discours, mentionner le systeme d'exploitation Ubuntu pour ainsi le recommander a son audience. <|> systeme

13 Mot inconnu : Personellement [[0:14]] => Personellement, je n'ai point eut le temps d'en faire usage encore, mais j'aimerais bien essayer. Mon patron devrait m'introduire a ce systeme des demain, avec espoir. <|> personellement
13 Ce verbe devrait être un participe passé au masculin singulier. [[30:33]] => Personellement, je n'ai point eut le temps d'en faire usage encore, mais j'aimerais bien essayer. Mon patron devrait m'introduire a ce systeme des demain, avec espoir. <|> eut => suggestions : ['eu']
13 Mot inconnu : systeme [[135:142]] => Personellement, je n'ai point eut le temps d'en faire usage encore, mais j'aimerais bien essayer. Mon patron devrait m'introduire a ce systeme des demain, avec espoir. <|> systeme
