1 Mot inconnu : hacktus0 [[7:15]] => ====== hacktus0 ====== <|> hacktus0
3 Accord de nombre erroné : « expérience » devrait être au pluriel. [[65:75]] => Jeune linuxien qui profite de linux pour développer ou faire des expérience sur le réseau et ... un peu de ... ou du .... HACK <|> expérience => suggestions : ['expériences']
3 Typographie : points de suspension. Utilisez le caractère dédié. [[93:96]] => Jeune linuxien qui profite de linux pour développer ou faire des expérience sur le réseau et ... un peu de ... ou du .... HACK <|> ... => suggestions : ['…']
3 Typographie : points de suspension. Utilisez le caractère dédié. [[107:110]] => Jeune linuxien qui profite de linux pour développer ou faire des expérience sur le réseau et ... un peu de ... ou du .... HACK <|> ... => suggestions : ['…']
3 Typographie : points de suspension. Utilisez le caractère dédié. [[117:121]] => Jeune linuxien qui profite de linux pour développer ou faire des expérience sur le réseau et ... un peu de ... ou du .... HACK <|> .... => suggestions : ['…']
3 Mot inconnu : HACK [[122:126]] => Jeune linuxien qui profite de linux pour développer ou faire des expérience sur le réseau et ... un peu de ... ou du .... HACK <|> hack

5 Mot inconnu : hack [[17:21]] => <note>je fais du hack pour m'amuser pas de cote méchant</note> <|> hack

11 Accord de nombre erroné : « article » devrait être au pluriel. [[10:17]] => ===== Mes article sur doc.ubuntu-fr.org ===== <|> article => suggestions : ['articles']
13 Mot inconnu : hack [[4:8]] =>   * hack password root d'un os linux: page supprimée <|> hack
13 Mot inconnu : password [[9:17]] =>   * hack password root d'un os linux: page supprimée <|> password
