1 Mot inconnu : herberts [[4:12]] => === herberts === <|> herberts
3 Mot inconnu : Archlinux [[161:170]] => Sous Ubuntu depuis Gutsy en novembre 2007, je suis passé par les différentes versions jusqu'à l'actuelle. Bon, il y a bien eu quelques infidélités, avec Debian, Archlinux, Slitaz, toutou linux, Gentoo... Mais je revient généralement vers ma première distro assez vite. <|> archlinux
3 Mot inconnu : Slitaz [[172:178]] => Sous Ubuntu depuis Gutsy en novembre 2007, je suis passé par les différentes versions jusqu'à l'actuelle. Bon, il y a bien eu quelques infidélités, avec Debian, Archlinux, Slitaz, toutou linux, Gentoo... Mais je revient généralement vers ma première distro assez vite. <|> slitaz
3 Mot inconnu : Gentoo [[194:200]] => Sous Ubuntu depuis Gutsy en novembre 2007, je suis passé par les différentes versions jusqu'à l'actuelle. Bon, il y a bien eu quelques infidélités, avec Debian, Archlinux, Slitaz, toutou linux, Gentoo... Mais je revient généralement vers ma première distro assez vite. <|> gentoo
3 Typographie : points de suspension. Utilisez le caractère dédié. [[200:203]] => Sous Ubuntu depuis Gutsy en novembre 2007, je suis passé par les différentes versions jusqu'à l'actuelle. Bon, il y a bien eu quelques infidélités, avec Debian, Archlinux, Slitaz, toutou linux, Gentoo... Mais je revient généralement vers ma première distro assez vite. <|> ... => suggestions : None
3 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. [[212:219]] => Sous Ubuntu depuis Gutsy en novembre 2007, je suis passé par les différentes versions jusqu'à l'actuelle. Bon, il y a bien eu quelques infidélités, avec Debian, Archlinux, Slitaz, toutou linux, Gentoo... Mais je revient généralement vers ma première distro assez vite. <|> revient => suggestions : None
3 Mot inconnu : distro [[250:256]] => Sous Ubuntu depuis Gutsy en novembre 2007, je suis passé par les différentes versions jusqu'à l'actuelle. Bon, il y a bien eu quelques infidélités, avec Debian, Archlinux, Slitaz, toutou linux, Gentoo... Mais je revient généralement vers ma première distro assez vite. <|> distro

7 Mot inconnu : The [[142:145]] => Je suis passé à Ubuntu pour enfin pouvoir un peu mieux contrôler ce que fait mon ordi, et attiré par la philosophie du libre (découverte avec The Gimp alors que j'étais encore sous windows). <|> the

9 Typographie : points de suspension. Utilisez le caractère dédié. [[26:29]] => Modérateur du forum depuis... euh, je sais plus quand en fait, ça commence à faire un moment, j'essaye néanmoins de continuer à participer au support en aidant quand je peux, et j'ai pour l'instant participé à quelques pages de documentation : <|> ... => suggestions : None

13 Mot inconnu : topic [[41:46]] => <del>Si vous me cherchez, je suis sur le topic des couche tard (dans "être ou ne pas être") à peu près tous les jours (enfin, tous les soirs ;-))</del> <|> topic
13 Accord de nombre erroné : « couche » devrait être au pluriel. [[51:57]] => <del>Si vous me cherchez, je suis sur le topic des couche tard (dans "être ou ne pas être") à peu près tous les jours (enfin, tous les soirs ;-))</del> <|> couche => suggestions : None
13 Guillemets typographiques ouvrants. [[69:70]] => <del>Si vous me cherchez, je suis sur le topic des couche tard (dans "être ou ne pas être") à peu près tous les jours (enfin, tous les soirs ;-))</del> <|> " => suggestions : None
13 Guillemets typographiques fermants. [[89:90]] => <del>Si vous me cherchez, je suis sur le topic des couche tard (dans "être ou ne pas être") à peu près tous les jours (enfin, tous les soirs ;-))</del> <|> " => suggestions : None
