
9 Espace(s) en fin de ligne à supprimer. [[16:19]] => ==== Fedora ====    <|>     => suggestions : None

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None
11 Mot inconnu : tutoriaux [[27:36]] =>   * rédaction de plusieurs tutoriaux (Grub, dual boot, Jave JRE/Sdk, ...): http://doc.fedora-fr.org/wiki/Special:Allpages <|> tutoriaux
11 Mot inconnu : JRE [[60:63]] =>   * rédaction de plusieurs tutoriaux (Grub, dual boot, Jave JRE/Sdk, ...): http://doc.fedora-fr.org/wiki/Special:Allpages <|> jre
11 Mot inconnu : Sdk [[64:67]] =>   * rédaction de plusieurs tutoriaux (Grub, dual boot, Jave JRE/Sdk, ...): http://doc.fedora-fr.org/wiki/Special:Allpages <|> sdk
11 Une de ces ponctuations est superflue. [[67:70]] =>   * rédaction de plusieurs tutoriaux (Grub, dual boot, Jave JRE/Sdk, ...): http://doc.fedora-fr.org/wiki/Special:Allpages <|> , . => suggestions : None
11 Typographie : points de suspension. Utilisez le caractère dédié. [[69:72]] =>   * rédaction de plusieurs tutoriaux (Grub, dual boot, Jave JRE/Sdk, ...): http://doc.fedora-fr.org/wiki/Special:Allpages <|> ... => suggestions : None
11 Mot inconnu : Allpages [[113:121]] =>   * rédaction de plusieurs tutoriaux (Grub, dual boot, Jave JRE/Sdk, ...): http://doc.fedora-fr.org/wiki/Special:Allpages <|> allpages

20 Typographie : points de suspension. Utilisez le caractère dédié. [[31:34]] => Acquises voici quelques années ... <|> ... => suggestions : None
