1 Mot inconnu : Herrleiche => ====== Herrleiche ====== <|> herrleiche

5 Mot inconnu : Rockenbauer => ^  **Nom**  |  Jonas Rockenbauer  | <|> rockenbauer
5 Espace(s) surnuméraire(s) à supprimer. => ^  **Nom**  |  Jonas Rockenbauer  | <|>    => suggestions : [' ']

6 Mot inconnu : distrib => ^  **Première distrib**  |  //Knoppix 4.0// (2005)  | <|> distrib
6 Mot inconnu : Knoppix => ^  **Première distrib**  |  //Knoppix 4.0// (2005)  | <|> knoppix

7 Mot inconnu : Breezy => ^  **Versions d'Ubuntu testées**  |  Toutes depuis la 5.10 (//Breezy Badger//) | <|> breezy

8 Mot inconnu : distros => ^  **Autres os et distros testés**  | • SLES / Mandrake (Mandriva)/ Fedora / Debian \\ • PCBSD/ OpenBSD / OpenSolaris / Gentoo / Archlinux  | <|> distros
8 Mot inconnu : SLES => ^  **Autres os et distros testés**  | • SLES / Mandrake (Mandriva)/ Fedora / Debian \\ • PCBSD/ OpenBSD / OpenSolaris / Gentoo / Archlinux  | <|> sles
8 Mot inconnu : Mandrake => ^  **Autres os et distros testés**  | • SLES / Mandrake (Mandriva)/ Fedora / Debian \\ • PCBSD/ OpenBSD / OpenSolaris / Gentoo / Archlinux  | <|> mandrake
8 Mot inconnu : Mandriva => ^  **Autres os et distros testés**  | • SLES / Mandrake (Mandriva)/ Fedora / Debian \\ • PCBSD/ OpenBSD / OpenSolaris / Gentoo / Archlinux  | <|> mandriva
8 Mot inconnu : PCBSD => ^  **Autres os et distros testés**  | • SLES / Mandrake (Mandriva)/ Fedora / Debian \\ • PCBSD/ OpenBSD / OpenSolaris / Gentoo / Archlinux  | <|> pcbsd
8 Mot inconnu : OpenSolaris => ^  **Autres os et distros testés**  | • SLES / Mandrake (Mandriva)/ Fedora / Debian \\ • PCBSD/ OpenBSD / OpenSolaris / Gentoo / Archlinux  | <|> opensolaris
8 Mot inconnu : Gentoo => ^  **Autres os et distros testés**  | • SLES / Mandrake (Mandriva)/ Fedora / Debian \\ • PCBSD/ OpenBSD / OpenSolaris / Gentoo / Archlinux  | <|> gentoo
8 Mot inconnu : Archlinux => ^  **Autres os et distros testés**  | • SLES / Mandrake (Mandriva)/ Fedora / Debian \\ • PCBSD/ OpenBSD / OpenSolaris / Gentoo / Archlinux  | <|> archlinux
8 Espace(s) surnuméraire(s) à supprimer. => ^  **Autres os et distros testés**  | • SLES / Mandrake (Mandriva)/ Fedora / Debian \\ • PCBSD/ OpenBSD / OpenSolaris / Gentoo / Archlinux  | <|>    => suggestions : [' ']

10 Espace(s) surnuméraire(s) à supprimer. => ^  **Profession**  |  Administrateur systèmes et réseaux Linux  | <|>    => suggestions : [' ']

11 Espace(s) surnuméraire(s) à supprimer. => ^  Lecture  |  //GNU/Linux Magazine France//  | <|>    => suggestions : [' ']

12 Espace(s) surnuméraire(s) à supprimer. => ^  Loisirs  |  [[http://kendo.nklec.fr/|Kendo]]  | <|>    => suggestions : [' ']
