1 Mot inconnu : Istinct [[7:14]] => ====== Istinct ====== <|> istinct

5 Mot inconnu : __Lieu [[0:6]] => __Lieu :__ Un peu partout et nul part <|> __lieu
5 Mot inconnu : __ [[8:10]] => __Lieu :__ Un peu partout et nul part <|> __
5 Confusion : pour dire “en aucun lieu”, écrivez “nulle part”. [[29:37]] => __Lieu :__ Un peu partout et nul part <|> nul part => suggestions : ['nulle part']

7 Mot inconnu : __Age [[0:5]] => __Age :__ 29 ans actuellement. Normalement un peu plus dans le futur <|> __age
7 Mot inconnu : __ [[7:9]] => __Age :__ 29 ans actuellement. Normalement un peu plus dans le futur <|> __

9 Mot inconnu : __Profession [[0:12]] => __Profession: __ Ingé SAN <|> __profession
9 Mot inconnu : __ [[14:16]] => __Profession: __ Ingé SAN <|> __

11 Mot inconnu : __Temps [[0:7]] => __Temps de manipulation de linux:__ Depuis la 7.04 =) et je continus <|> __temps
11 Il manque un espace. [[33:35]] => __Temps de manipulation de linux:__ Depuis la 7.04 =) et je continus <|> __ => suggestions : [' __']
11 Mot inconnu : __ [[33:35]] => __Temps de manipulation de linux:__ Depuis la 7.04 =) et je continus <|> __
11 Incohérence avec “je” : “continus” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[60:68]] => __Temps de manipulation de linux:__ Depuis la 7.04 =) et je continus <|> continus => suggestions : ['continue']

13 Mot inconnu : __Version [[0:9]] => __Version de ubuntu utilisée:__ Actuellement la 9.10, j attend que les dépôts de la 10.04 soient tous a jours avant de migrer <|> __version
13 Élision de l’article devant un mot commençant par une voyelle. [[10:13]] => __Version de ubuntu utilisée:__ Actuellement la 9.10, j attend que les dépôts de la 10.04 soient tous a jours avant de migrer <|> de  => suggestions : ['d’']
13 Il manque un espace. [[29:31]] => __Version de ubuntu utilisée:__ Actuellement la 9.10, j attend que les dépôts de la 10.04 soient tous a jours avant de migrer <|> __ => suggestions : [' __']
13 Mot inconnu : __ [[29:31]] => __Version de ubuntu utilisée:__ Actuellement la 9.10, j attend que les dépôts de la 10.04 soient tous a jours avant de migrer <|> __

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

18 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[40:41]] => Suite a un crash de disque dur Windows. A l'époque j'utilisais Mandrake (futur Mandriva) et la magie, la ou Windows me laissait pleurer Linux m'a permis de tous récupérer. <|> a => suggestions : ['À']
18 Confusion probable. Écrivez “là” si vous voulez dire “ici”. [[102:104]] => Suite a un crash de disque dur Windows. A l'époque j'utilisais Mandrake (futur Mandriva) et la magie, la ou Windows me laissait pleurer Linux m'a permis de tous récupérer. <|> la => suggestions : ['là']

19 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. [[29:33]] => Depuis je suis passé a Ubuntu car il faut le reconnaitre qu'avoir une version de Debian mis a jours continuellement et sans avoir a tous recompiler ca aide. <|>  car => suggestions : [', car']
19 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. [[92:93]] => Depuis je suis passé a Ubuntu car il faut le reconnaitre qu'avoir une version de Debian mis a jours continuellement et sans avoir a tous recompiler ca aide. <|> a => suggestions : ['à']
19 Mot inconnu : ca [[148:150]] => Depuis je suis passé a Ubuntu car il faut le reconnaitre qu'avoir une version de Debian mis a jours continuellement et sans avoir a tous recompiler ca aide. <|> ca

20 Incohérence avec “je” : “test” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[29:33]] => Mais comme tous bon geek, je test sur machine virtuelle les concurrents ;-) <|> test => suggestions : ['teste']

24 Mot inconnu : embetter [[21:29]] => Depuis je ne cesse d'embetter mes petits camarades a passer a Linux pour les taches de bureautiques. Mais pas pour les jeux malheureusement. <|> embetter
24 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[51:52]] => Depuis je ne cesse d'embetter mes petits camarades a passer a Linux pour les taches de bureautiques. Mais pas pour les jeux malheureusement. <|> a => suggestions : ['à']
24 Incohérence probable avec “a” : “passer” n’est pas un participe passé. [[53:59]] => Depuis je ne cesse d'embetter mes petits camarades a passer a Linux pour les taches de bureautiques. Mais pas pour les jeux malheureusement. <|> passer => suggestions : ['passé']

28 Espace(s) en fin de ligne à supprimer. [[54:55]] => Ubuntu me sert surtout pour les applications serveurs.  <|>   => suggestions : ['']
29 Espace(s) en fin de ligne à supprimer. [[3:4]] => Ex:  <|>   => suggestions : ['']

40 Conjugaison erronée. Accord avec “Je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. [[3:7]] => Je créé aussi pour mon compte perso et pour des amis des scripts d'auto installation d'une ubuntu avec les différents dépôts. <|> créé => suggestions : ['créais', 'crée', 'créai']
