1 Espace(s) en fin de ligne à supprimer. [[8:9]] => Bonjour,  <|>   => suggestions : None
3 Mot inconnu : redhat [[91:97]] => Je suis un utilisateur de linux depuis 1998. J'ai commencé avec la Mandrake 9.2, puis avec redhat 8.qqchose.... :) <|> redhat
3 Mot inconnu : qqchose [[100:107]] => Je suis un utilisateur de linux depuis 1998. J'ai commencé avec la Mandrake 9.2, puis avec redhat 8.qqchose.... :) <|> qqchose
3 Typographie : points de suspension. Utilisez le caractère dédié. [[107:111]] => Je suis un utilisateur de linux depuis 1998. J'ai commencé avec la Mandrake 9.2, puis avec redhat 8.qqchose.... :) <|> .... => suggestions : None

4 Mot inconnu : suze [[47:51]] => Enfin, après moult utilisations sporadiques de suze, fedora, knoppix, gentoo.... j'ai fais mes premiers pas dans l’installation d'un petit serveur samba avec la debian sarge. <|> suze
4 Mot inconnu : fedora [[53:59]] => Enfin, après moult utilisations sporadiques de suze, fedora, knoppix, gentoo.... j'ai fais mes premiers pas dans l’installation d'un petit serveur samba avec la debian sarge. <|> fedora
4 Mot inconnu : knoppix [[61:68]] => Enfin, après moult utilisations sporadiques de suze, fedora, knoppix, gentoo.... j'ai fais mes premiers pas dans l’installation d'un petit serveur samba avec la debian sarge. <|> knoppix
4 Mot inconnu : gentoo [[70:76]] => Enfin, après moult utilisations sporadiques de suze, fedora, knoppix, gentoo.... j'ai fais mes premiers pas dans l’installation d'un petit serveur samba avec la debian sarge. <|> gentoo
4 Typographie : points de suspension. Utilisez le caractère dédié. [[76:80]] => Enfin, après moult utilisations sporadiques de suze, fedora, knoppix, gentoo.... j'ai fais mes premiers pas dans l’installation d'un petit serveur samba avec la debian sarge. <|> .... => suggestions : None
4 Mot inconnu : sarge [[168:173]] => Enfin, après moult utilisations sporadiques de suze, fedora, knoppix, gentoo.... j'ai fais mes premiers pas dans l’installation d'un petit serveur samba avec la debian sarge. <|> sarge

9 Typographie : points de suspension. Utilisez le caractère dédié. [[69:74]] => Malheureusement je ne connais rien du langage c et c++ et autre (java.....) <|> ..... => suggestions : None

10 Mot inconnu : language [[24:32]] => Je maîtrise (un peu) le language html. <|> language

16 Mot inconnu : schott [[7:13]] => Julien schott <|> schott
