2 Mot inconnu : Julientroploin [[7:21]] => ====== Julientroploin ====== <|> julientroploin
7 Mot inconnu : Openbox [[88:95]] => | Distribution testée | de Ubuntu de 8.04 à la version actuelle, \\ sous Gnome, LXDE et Openbox | <|> openbox
10 Mot inconnu : distro [[189:195]] => Par lassitude d'XP et curiosité, j'ai commencé à m'intéresser à linux début 2008 mais j'ai mis longtemps à me décider. L'un de mes critères de choix principaux à l'époque étant d'avoir une distro francophone (je croyais que c'était rare...) j'ai découvert Kaella en live-CD sur laquelle je n'ai pas accroché plus que ça. Après de nouvelles recherches, je me suis tourné vers Ubuntu. <|> distro
10 Typographie : points de suspension. Utilisez le caractère dédié. [[236:239]] => Par lassitude d'XP et curiosité, j'ai commencé à m'intéresser à linux début 2008 mais j'ai mis longtemps à me décider. L'un de mes critères de choix principaux à l'époque étant d'avoir une distro francophone (je croyais que c'était rare...) j'ai découvert Kaella en live-CD sur laquelle je n'ai pas accroché plus que ça. Après de nouvelles recherches, je me suis tourné vers Ubuntu. <|> ... => suggestions : …
10 Mot inconnu : Kaella [[256:262]] => Par lassitude d'XP et curiosité, j'ai commencé à m'intéresser à linux début 2008 mais j'ai mis longtemps à me décider. L'un de mes critères de choix principaux à l'époque étant d'avoir une distro francophone (je croyais que c'était rare...) j'ai découvert Kaella en live-CD sur laquelle je n'ai pas accroché plus que ça. Après de nouvelles recherches, je me suis tourné vers Ubuntu. <|> kaella

15 Accord de nombre erroné avec « particulières ». [[15:25]] => N'ayant pas de compétence particulières en informatique, j'ai beaucoup tâtonné avec l'aide du forum. Je m'en sors mais ne considère pas encore que je maîtrise Ubuntu... <|> compétence => suggestions : compétences
15 Accord de nombre erroné avec « compétence ». [[26:39]] => N'ayant pas de compétence particulières en informatique, j'ai beaucoup tâtonné avec l'aide du forum. Je m'en sors mais ne considère pas encore que je maîtrise Ubuntu... <|> particulières => suggestions : particulière
15 Typographie : points de suspension. Utilisez le caractère dédié. [[165:168]] => N'ayant pas de compétence particulières en informatique, j'ai beaucoup tâtonné avec l'aide du forum. Je m'en sors mais ne considère pas encore que je maîtrise Ubuntu... <|> ... => suggestions : …

18 Guillemets typographiques ouvrants. [[26:27]] => Ma copine vous répondrait "Oubountou" puisqu'il parait que je passe beaucoup de temps sur le forum... ce qui je crois la dissuade de me suivre dans ma migration. <|> " => suggestions : « “
18 Mot inconnu : Oubountou [[27:36]] => Ma copine vous répondrait "Oubountou" puisqu'il parait que je passe beaucoup de temps sur le forum... ce qui je crois la dissuade de me suivre dans ma migration. <|> oubountou
18 Guillemets typographiques fermants. [[36:37]] => Ma copine vous répondrait "Oubountou" puisqu'il parait que je passe beaucoup de temps sur le forum... ce qui je crois la dissuade de me suivre dans ma migration. <|> " => suggestions :  »”
18 Typographie : points de suspension. Utilisez le caractère dédié. [[98:101]] => Ma copine vous répondrait "Oubountou" puisqu'il parait que je passe beaucoup de temps sur le forum... ce qui je crois la dissuade de me suivre dans ma migration. <|> ... => suggestions : …

37 Mot inconnu : Aid [[0:3]] => Aid eà la refonte du design du site là : http://forum.ubuntu-fr.org/viewtopic.php?pid=3084030 <|> aid
37 Mot inconnu : eà [[4:6]] => Aid eà la refonte du design du site là : http://forum.ubuntu-fr.org/viewtopic.php?pid=3084030 <|> eà
