
2 Mot inconnu : Apres [[0:5]] => Apres installation : <|> apres

4 Mot inconnu : sudo [[0:4]] => sudo apt-get update <|> sudo
4 Mot inconnu : apt-get [[5:12]] => sudo apt-get update <|> apt-get
4 Mot inconnu : update [[13:19]] => sudo apt-get update <|> update

5 Mot inconnu : sudo [[0:4]] => sudo apt-get upgrade <|> sudo
5 Mot inconnu : apt-get [[5:12]] => sudo apt-get upgrade <|> apt-get
7 Mot inconnu : obconf [[34:40]] => * détailler la personnalisation : obconf, obmenu (?), lxappearence, PCmanFM... <|> obconf
7 Mot inconnu : obmenu [[42:48]] => * détailler la personnalisation : obconf, obmenu (?), lxappearence, PCmanFM... <|> obmenu
7 Mot inconnu : lxappearence [[54:66]] => * détailler la personnalisation : obconf, obmenu (?), lxappearence, PCmanFM... <|> lxappearence
7 Mot inconnu : PCmanFM [[68:75]] => * détailler la personnalisation : obconf, obmenu (?), lxappearence, PCmanFM... <|> pcmanfm
7 Typographie : points de suspension. Utilisez le caractère dédié. [[75:78]] => * détailler la personnalisation : obconf, obmenu (?), lxappearence, PCmanFM... <|> ... => suggestions : ['…']

9 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[2:3]] => * A modifier : /!\ désinstaller le paquet lxde ne désinstalle pas LXDE <|> a => suggestions : ['À']
9 Mot inconnu : lxde [[42:46]] => * A modifier : /!\ désinstaller le paquet lxde ne désinstalle pas LXDE <|> lxde
9 Mot inconnu : LXDE [[66:70]] => * A modifier : /!\ désinstaller le paquet lxde ne désinstalle pas LXDE <|> lxde
