
4 Mot inconnu : fakeraid [[90:98]] => Le but de cet article vise à installer Ubuntu sur un RAID logiciel (en opposition avec le fakeraid et le raid matériel). La différence de cet article par rapport aux autres est qu'il concerne les distributions récentes d'Ubuntu pour profiter de technologies plus récentes et surtout d'une installation en mode graphique et plus simple. <|> fakeraid

12 Mot inconnu : tutorial [[3:11]] => Ce tutorial pars des pré-requis suivant : <|> tutorial
27 Mot inconnu : bios-grub [[72:81]] =>   * Une nouveauté introduite par GPT : une partition est dédiée à GRUB (bios-grub), il y a 2 partitions pour les questions d'alignement observées ci-dessus. <|> bios-grub
31 Mot inconnu : System [[32:38]] => Lancez l'Utilitaire de disque : System > Administration > Disk Utility. <|> system
31 Mot inconnu : Disk [[58:62]] => Lancez l'Utilitaire de disque : System > Administration > Disk Utility. <|> disk
31 Mot inconnu : Utility [[63:70]] => Lancez l'Utilitaire de disque : System > Administration > Disk Utility. <|> utility

36 Après la préposition “Pour”, le verbe devrait être à l’infinitif. [[5:12]] => Pour changez le type de partition, créez d'abord votre partition. Ensuite sélectionnez là et cliquez sur Modifier la partition. <|> changez => suggestions : ['changer']

38 Espace(s) surnuméraire(s) à supprimer. [[5:9]] => ^ Nom    ^             Taille            ^   FS   ^      Type de partition     ^ <|>      => suggestions : [' ']
38 Espace(s) surnuméraire(s) à supprimer. [[29:41]] => ^ Nom    ^             Taille            ^   FS   ^      Type de partition     ^ <|>              => suggestions : [' ']
38 Espace(s) surnuméraire(s) à supprimer. [[47:50]] => ^ Nom    ^             Taille            ^   FS   ^      Type de partition     ^ <|>     => suggestions : [' ']
38 Espace(s) surnuméraire(s) à supprimer. [[74:79]] => ^ Nom    ^             Taille            ^   FS   ^      Type de partition     ^ <|>       => suggestions : [' ']

39 Mot inconnu : GRUB-x [[2:8]] => ^ GRUB-x |            0,008 Go           |  Vide  |Partition de démarrage BIOS | <|> grub-x
39 Espace(s) surnuméraire(s) à supprimer. [[30:41]] => ^ GRUB-x |            0,008 Go           |  Vide  |Partition de démarrage BIOS | <|>             => suggestions : [' ']
39 Espace(s) surnuméraire(s) à supprimer. [[48:50]] => ^ GRUB-x |            0,008 Go           |  Vide  |Partition de démarrage BIOS | <|>    => suggestions : [' ']

40 Mot inconnu : Boot-x [[2:8]] => ^ Boot-x |              1 Go             |  Vide  |Partition RAID Linux        | <|> boot-x
40 Espace(s) surnuméraire(s) à supprimer. [[28:41]] => ^ Boot-x |              1 Go             |  Vide  |Partition RAID Linux        | <|>               => suggestions : [' ']
40 Espace(s) surnuméraire(s) à supprimer. [[48:50]] => ^ Boot-x |              1 Go             |  Vide  |Partition RAID Linux        | <|>    => suggestions : [' ']
40 Espace(s) surnuméraire(s) à supprimer. [[71:79]] => ^ Boot-x |              1 Go             |  Vide  |Partition RAID Linux        | <|>          => suggestions : [' ']

41 Espace(s) surnuméraire(s) à supprimer. [[48:50]] => ^ Swap-x | 1/2 à 1 votre quantité de RAM |  Vide  |Partition d'échange Linux   | <|>    => suggestions : [' ']
41 Espace(s) surnuméraire(s) à supprimer. [[76:79]] => ^ Swap-x | 1/2 à 1 votre quantité de RAM |  Vide  |Partition d'échange Linux   | <|>     => suggestions : [' ']

42 Mot inconnu : MyFS-x [[2:8]] => ^ MyFS-x |            le reste           |  Vide  |Partition RAID Linux        | <|> myfs-x
42 Espace(s) surnuméraire(s) à supprimer. [[30:41]] => ^ MyFS-x |            le reste           |  Vide  |Partition RAID Linux        | <|>             => suggestions : [' ']
42 Espace(s) surnuméraire(s) à supprimer. [[48:50]] => ^ MyFS-x |            le reste           |  Vide  |Partition RAID Linux        | <|>    => suggestions : [' ']
42 Espace(s) surnuméraire(s) à supprimer. [[71:79]] => ^ MyFS-x |            le reste           |  Vide  |Partition RAID Linux        | <|>          => suggestions : [' ']
