
17 Mot inconnu : Airdroid [[16:24]] => === Application Airdroid === <|> airdroid
26 Accord de nombre erroné : « téléphones » devrait être au singulier. [[35:45]] =>   * Personnaliser les sonneries du téléphones. <|> téléphones => suggestions : téléphonetéléphoné
27 Typographie : points de suspension. Utilisez le caractère dédié. [[4:7]] =>   * ... etc. <|> ... => suggestions : …

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  Pour se connecter, il suffit : <|>  

40 Une de ces ponctuations est superflue. [[90:93]] => Si vous n'avez ni WIFI, ni câble, il est aussi possible d'utiliser le réseau opérateur (3G, ...) et de se connecter sur un serveur tier (http://v2.airdroid.com) avec un compte créé spécifiquement ou avec un compte Twitter, Facebook ou Google. <|> , . => suggestions : ,.
40 Typographie : points de suspension. Utilisez le caractère dédié. [[92:95]] => Si vous n'avez ni WIFI, ni câble, il est aussi possible d'utiliser le réseau opérateur (3G, ...) et de se connecter sur un serveur tier (http://v2.airdroid.com) avec un compte créé spécifiquement ou avec un compte Twitter, Facebook ou Google. <|> ... => suggestions : …
40 Mot inconnu : tier [[131:135]] => Si vous n'avez ni WIFI, ni câble, il est aussi possible d'utiliser le réseau opérateur (3G, ...) et de se connecter sur un serveur tier (http://v2.airdroid.com) avec un compte créé spécifiquement ou avec un compte Twitter, Facebook ou Google. <|> tier

45 Mot inconnu : adb [[65:68]] => <note>Cette manipulation permet d'utiliser les outils de Google (adb) pour envoyer des commandes ou des fichiers à l'appareil. Si vous voulez juste accéder à la mémoire du télephone, aucune manipulation n'est requise si ce n'est le montage de la carte SD depuis la barre de notification > "Activer pour copier des fichiers ..." et l'activation du "Débogage USB" (Applications > Développement) pour un accès complet.</note> <|> adb
45 Mot inconnu : télephone [[172:181]] => <note>Cette manipulation permet d'utiliser les outils de Google (adb) pour envoyer des commandes ou des fichiers à l'appareil. Si vous voulez juste accéder à la mémoire du télephone, aucune manipulation n'est requise si ce n'est le montage de la carte SD depuis la barre de notification > "Activer pour copier des fichiers ..." et l'activation du "Débogage USB" (Applications > Développement) pour un accès complet.</note> <|> télephone
45 Guillemets typographiques ouvrants. [[289:290]] => <note>Cette manipulation permet d'utiliser les outils de Google (adb) pour envoyer des commandes ou des fichiers à l'appareil. Si vous voulez juste accéder à la mémoire du télephone, aucune manipulation n'est requise si ce n'est le montage de la carte SD depuis la barre de notification > "Activer pour copier des fichiers ..." et l'activation du "Débogage USB" (Applications > Développement) pour un accès complet.</note> <|> " => suggestions : « “
45 Typographie : points de suspension. Utilisez le caractère dédié. [[323:326]] => <note>Cette manipulation permet d'utiliser les outils de Google (adb) pour envoyer des commandes ou des fichiers à l'appareil. Si vous voulez juste accéder à la mémoire du télephone, aucune manipulation n'est requise si ce n'est le montage de la carte SD depuis la barre de notification > "Activer pour copier des fichiers ..." et l'activation du "Débogage USB" (Applications > Développement) pour un accès complet.</note> <|> ... => suggestions : …
45 Guillemets typographiques fermants. [[326:327]] => <note>Cette manipulation permet d'utiliser les outils de Google (adb) pour envoyer des commandes ou des fichiers à l'appareil. Si vous voulez juste accéder à la mémoire du télephone, aucune manipulation n'est requise si ce n'est le montage de la carte SD depuis la barre de notification > "Activer pour copier des fichiers ..." et l'activation du "Débogage USB" (Applications > Développement) pour un accès complet.</note> <|> " => suggestions :  »”
45 Guillemets typographiques ouvrants. [[347:348]] => <note>Cette manipulation permet d'utiliser les outils de Google (adb) pour envoyer des commandes ou des fichiers à l'appareil. Si vous voulez juste accéder à la mémoire du télephone, aucune manipulation n'est requise si ce n'est le montage de la carte SD depuis la barre de notification > "Activer pour copier des fichiers ..." et l'activation du "Débogage USB" (Applications > Développement) pour un accès complet.</note> <|> " => suggestions : « “
45 Guillemets typographiques fermants. [[360:361]] => <note>Cette manipulation permet d'utiliser les outils de Google (adb) pour envoyer des commandes ou des fichiers à l'appareil. Si vous voulez juste accéder à la mémoire du télephone, aucune manipulation n'est requise si ce n'est le montage de la carte SD depuis la barre de notification > "Activer pour copier des fichiers ..." et l'activation du "Débogage USB" (Applications > Développement) pour un accès complet.</note> <|> " => suggestions :  »”
47 Mot inconnu : adb [[60:63]] => Cette étape est nécessaire pour utiliser les outils du SDK (adb, fastboot,...) <|> adb
47 Mot inconnu : fastboot [[65:73]] => Cette étape est nécessaire pour utiliser les outils du SDK (adb, fastboot,...) <|> fastboot
47 Erreur de numérisation ? Virgules au lieu de points ? [[73:77]] => Cette étape est nécessaire pour utiliser les outils du SDK (adb, fastboot,...) <|> ,... => suggestions : ….
47 Typographie : points de suspension. Utilisez le caractère dédié. [[74:77]] => Cette étape est nécessaire pour utiliser les outils du SDK (adb, fastboot,...) <|> ... => suggestions : …

65 Mot inconnu : Liquid [[8:14]] => == Acer Liquid == <|> liquid

70 Mot inconnu : Liquid [[8:14]] => == Acer Liquid MT (aka Metal, aka S120)== <|> liquid
70 Mot inconnu : aka [[19:22]] => == Acer Liquid MT (aka Metal, aka S120)== <|> aka
70 Mot inconnu : Metal [[23:28]] => == Acer Liquid MT (aka Metal, aka S120)== <|> metal
70 Mot inconnu : aka [[30:33]] => == Acer Liquid MT (aka Metal, aka S120)== <|> aka
70 Mot inconnu : S120 [[34:38]] => == Acer Liquid MT (aka Metal, aka S120)== <|> s120
71 Espace(s) en fin de ligne à supprimer. [[27:28]] => Voici les retours de lsusb:  <|>  
72 Mot inconnu : Inc [[32:35]] => mode normal: ID 0502:3317 Acer, Inc., et en mode fastboot: ID 0502:3316 Acer, Inc. <|> inc
72 Pas de virgule après un point (sauf éventuellement après une abréviation). [[35:37]] => mode normal: ID 0502:3317 Acer, Inc., et en mode fastboot: ID 0502:3316 Acer, Inc. <|> ., => suggestions : ,.
72 Mot inconnu : fastboot [[49:57]] => mode normal: ID 0502:3317 Acer, Inc., et en mode fastboot: ID 0502:3316 Acer, Inc. <|> fastboot
72 Mot inconnu : Inc [[78:81]] => mode normal: ID 0502:3317 Acer, Inc., et en mode fastboot: ID 0502:3316 Acer, Inc. <|> inc

78 Mot inconnu : GROUP [[9:14]] => </code>, GROUP="moimeme" <|> group
78 Guillemets typographiques ouvrants. [[15:16]] => </code>, GROUP="moimeme" <|> " => suggestions : « “
78 Mot inconnu : moimeme [[16:23]] => </code>, GROUP="moimeme" <|> moimeme
78 Guillemets typographiques fermants. [[23:24]] => </code>, GROUP="moimeme" <|> " => suggestions :  »”

80 Mot inconnu : Alcatel [[4:11]] => === Alcatel === <|> alcatel

82 Mot inconnu : Alcatel [[3:10]] => == Alcatel OT-990 (Ubuntu 12.04 Precise) == <|> alcatel
82 Mot inconnu : OT-990 [[11:17]] => == Alcatel OT-990 (Ubuntu 12.04 Precise) == <|> ot-990
82 Mot inconnu : Precise [[32:39]] => == Alcatel OT-990 (Ubuntu 12.04 Precise) == <|> precise

87 Mot inconnu : Archos [[4:10]] => === Archos === <|> archos

89 Mot inconnu : Archos [[3:9]] => == Archos 5IT == <|> archos
89 Mot inconnu : IT [[11:13]] => == Archos 5IT == <|> it

96 Mot inconnu : One [[15:18]] => == Geeks Phone One == <|> one

103 Mot inconnu : One [[16:19]] => == Google Nexus One == <|> one

108 Mot inconnu : HTC [[4:7]] => === HTC === <|> htc

110 Mot inconnu : HTC [[3:6]] => == HTC Desire == <|> htc
110 Mot inconnu : Desire [[7:13]] => == HTC Desire == <|> desire

115 Mot inconnu : HTC [[3:6]] => == HTC Desire HD == <|> htc
115 Mot inconnu : Desire [[7:13]] => == HTC Desire HD == <|> desire

121 Mot inconnu : HTC [[3:6]] => == HTC Desire Z == <|> htc
121 Mot inconnu : Desire [[7:13]] => == HTC Desire Z == <|> desire

126 Mot inconnu : HTC [[3:6]] => == HTC Hero == <|> htc
126 Mot inconnu : Hero [[7:11]] => == HTC Hero == <|> hero

131 Mot inconnu : HTC [[3:6]] => == HTC Sensation == <|> htc

138 Mot inconnu : HTC [[3:6]] => == HTC Wildfire S == <|> htc
138 Mot inconnu : Wildfire [[7:15]] => == HTC Wildfire S == <|> wildfire

146 Mot inconnu : LG [[4:6]] => === LG === <|> lg

148 Mot inconnu : LG [[3:5]] => == LG GT540 == <|> lg
148 Mot inconnu : GT540 [[6:11]] => == LG GT540 == <|> gt540

153 Mot inconnu : LG [[3:5]] => == LG GW620 == <|> lg
153 Mot inconnu : GW620 [[6:11]] => == LG GW620 == <|> gw620

158 Mot inconnu : LG [[3:5]] => == LG Optimus ONE (LG P500) == <|> lg
158 Mot inconnu : ONE [[14:17]] => == LG Optimus ONE (LG P500) == <|> one
158 Mot inconnu : LG [[19:21]] => == LG Optimus ONE (LG P500) == <|> lg
158 Mot inconnu : P500 [[22:26]] => == LG Optimus ONE (LG P500) == <|> p500

165 Mot inconnu : Galaxy [[11:17]] => == Samsung Galaxy (i7500) == <|> galaxy
165 Mot inconnu : i7500 [[19:24]] => == Samsung Galaxy (i7500) == <|> i7500

170 Mot inconnu : Galaxy [[11:17]] => == Samsung Galaxy 5 (i5500) == <|> galaxy
170 Mot inconnu : i5500 [[21:26]] => == Samsung Galaxy 5 (i5500) == <|> i5500

175 Mot inconnu : Galaxy [[11:17]] => == Samsung Galaxy Spica (i5700) == <|> galaxy
175 Mot inconnu : Spica [[18:23]] => == Samsung Galaxy Spica (i5700) == <|> spica
175 Mot inconnu : i5700 [[25:30]] => == Samsung Galaxy Spica (i5700) == <|> i5700

180 Mot inconnu : Galaxy [[11:17]] => == Samsung Galaxy S (i9000) == <|> galaxy
180 Mot inconnu : i9000 [[21:26]] => == Samsung Galaxy S (i9000) == <|> i9000

182 Mot inconnu : Kies [[7:11]] => * Mode Kies : <|> kies

187 Mot inconnu : Mass [[7:11]] => * Mode Mass storage USB : <|> mass
187 Mot inconnu : storage [[12:19]] => * Mode Mass storage USB : <|> storage

192 Mot inconnu : Dunno [[2:7]] => * Dunno what this is but it is required for me : <|> dunno
192 Mot inconnu : what [[8:12]] => * Dunno what this is but it is required for me : <|> what
192 Mot inconnu : this [[13:17]] => * Dunno what this is but it is required for me : <|> this
192 Mot inconnu : is [[18:20]] => * Dunno what this is but it is required for me : <|> is
192 Mot inconnu : it [[25:27]] => * Dunno what this is but it is required for me : <|> it
192 Mot inconnu : is [[28:30]] => * Dunno what this is but it is required for me : <|> is
192 Mot inconnu : required [[31:39]] => * Dunno what this is but it is required for me : <|> required

197 Mot inconnu : autodetecté [[22:33]] => * Mode lecture Media (autodetecté par Linux comme mass storage par defaut) : <|> autodetecté
197 Mot inconnu : mass [[50:54]] => * Mode lecture Media (autodetecté par Linux comme mass storage par defaut) : <|> mass
197 Mot inconnu : storage [[55:62]] => * Mode lecture Media (autodetecté par Linux comme mass storage par defaut) : <|> storage
197 Mot inconnu : defaut [[67:73]] => * Mode lecture Media (autodetecté par Linux comme mass storage par defaut) : <|> defaut
204 Mot inconnu : X10i [[17:21]] => == Sony Ericsson X10i == <|> x10i
209 Mot inconnu : Kino [[17:21]] => == Sony Ericsson Kino/Neo (MT15i) == <|> kino
209 Mot inconnu : MT15i [[27:32]] => == Sony Ericsson Kino/Neo (MT15i) == <|> mt15i
214 Mot inconnu : Xperia [[17:23]] => == Sony Ericsson Xperia Mini (ST15i) == <|> xperia
214 Mot inconnu : ST15i [[30:35]] => == Sony Ericsson Xperia Mini (ST15i) == <|> st15i

219 Mot inconnu : Motorola [[4:12]] => === Motorola === <|> motorola

221 Mot inconnu : Motorola [[3:11]] => == Motorola Milestone ou Droid == <|> motorola
221 Mot inconnu : Milestone [[12:21]] => == Motorola Milestone ou Droid == <|> milestone
221 Mot inconnu : Droid [[25:30]] => == Motorola Milestone ou Droid == <|> droid

226 Mot inconnu : Motorola [[3:11]] => == Motorola Milestone XT720 == <|> motorola
226 Mot inconnu : Milestone [[12:21]] => == Motorola Milestone XT720 == <|> milestone
226 Mot inconnu : XT720 [[22:27]] => == Motorola Milestone XT720 == <|> xt720

241 Mot inconnu : idVendor [[18:26]] => Cela signifie que idVendor=22b8 et idProduct=708b. La ligne sera donc : <|> idvendor
241 Mot inconnu : b8 [[29:31]] => Cela signifie que idVendor=22b8 et idProduct=708b. La ligne sera donc : <|> b8
241 Mot inconnu : idProduct [[35:44]] => Cela signifie que idVendor=22b8 et idProduct=708b. La ligne sera donc : <|> idproduct

248 Mot inconnu : adb_usb [[127:134]] => Avec certains appareils, la manipulation décrite ci-dessus n'est pas suffisante. Il faut alors ajouter manuellement au fichier adb_usb.ini l'identifiant USB du fabricant. Par exemple pour l'Archos 5IT, entrer la commande suivante dans un terminal : <|> adb_usb
248 Mot inconnu : ini [[135:138]] => Avec certains appareils, la manipulation décrite ci-dessus n'est pas suffisante. Il faut alors ajouter manuellement au fichier adb_usb.ini l'identifiant USB du fabricant. Par exemple pour l'Archos 5IT, entrer la commande suivante dans un terminal : <|> ini
248 Mot inconnu : Archos [[190:196]] => Avec certains appareils, la manipulation décrite ci-dessus n'est pas suffisante. Il faut alors ajouter manuellement au fichier adb_usb.ini l'identifiant USB du fabricant. Par exemple pour l'Archos 5IT, entrer la commande suivante dans un terminal : <|> archos
248 Mot inconnu : IT [[198:200]] => Avec certains appareils, la manipulation décrite ci-dessus n'est pas suffisante. Il faut alors ajouter manuellement au fichier adb_usb.ini l'identifiant USB du fabricant. Par exemple pour l'Archos 5IT, entrer la commande suivante dans un terminal : <|> it

252 Mot inconnu : adb [[19:22]] => Arrêter le serveur adb : <|> adb

269 Mot inconnu : __à [[16:19]] => <note important>__à faire, à placer :__ <|> __à
269 Mot inconnu : __ [[37:39]] => <note important>__à faire, à placer :__ <|> __

271 Guillemets typographiques ouvrants. [[22:23]] => Le branchement direct "stockage de masse"  <|> " => suggestions : « “
271 Guillemets typographiques fermants. [[40:41]] => Le branchement direct "stockage de masse"  <|> " => suggestions :  »”
271 Espace(s) en fin de ligne à supprimer. [[41:42]] => Le branchement direct "stockage de masse"  <|>  

273 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  sshdroid pour accéder à partir d'un client ssh/sftp <|>  
273 Mot inconnu : sshdroid [[1:9]] =>  sshdroid pour accéder à partir d'un client ssh/sftp <|> sshdroid

275 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  partage NFS ou Samba <|>  

277 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  client UPNP, partager un calendrier, une bal, ..</note> <|>  
277 Accord de genre erroné : « bal » est masculin. [[38:41]] =>  client UPNP, partager un calendrier, une bal, ..</note> <|> une => suggestions : un
277 Accord de genre erroné : « une » est un déterminant féminin. [[42:45]] =>  client UPNP, partager un calendrier, une bal, ..</note> <|> bal => suggestions : balle
277 Une de ces ponctuations est superflue. [[45:48]] =>  client UPNP, partager un calendrier, une bal, ..</note> <|> , . => suggestions : ,.
277 Typographie : un ou trois points ? [[47:49]] =>  client UPNP, partager un calendrier, une bal, ..</note> <|> .. => suggestions : .…

296 Mot inconnu : Ant [[9:12]] => == Java, Ant, Lib == <|> ant
296 Mot inconnu : Lib [[14:17]] => == Java, Ant, Lib == <|> lib

298 Mot inconnu : JDK [[170:173]] => Le langage utilisé pour développer vos applications Android est le langage Java. Vous devrez donc installer une machine virtuelle Java ainsi que le kit de développement (JDK). <|> jdk

305 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[45:48]] => === Eclipse (optionnel, les autres grands IDE - Netbeans, IntelliJ IDEA - supportent également Android) === <|>  -  => suggestions :  –  —  − 
305 Mot inconnu : IntelliJ [[58:66]] => === Eclipse (optionnel, les autres grands IDE - Netbeans, IntelliJ IDEA - supportent également Android) === <|> intellij
305 Mot inconnu : IDEA [[67:71]] => === Eclipse (optionnel, les autres grands IDE - Netbeans, IntelliJ IDEA - supportent également Android) === <|> idea
305 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[71:74]] => === Eclipse (optionnel, les autres grands IDE - Netbeans, IntelliJ IDEA - supportent également Android) === <|>  -  => suggestions :  –  —  − 
311 Mot inconnu : Help [[38:42]] => Puis lancez Eclipse et allez dans : //Help -> Install New Software// <|> help
311 Mot inconnu : Install [[46:53]] => Puis lancez Eclipse et allez dans : //Help -> Install New Software// <|> install

323 Guillemets typographiques ouvrants. [[76:77]] => Puis installer la totalité des champs qui se trouvent dans le nom de schéma "android" (ligne android ci-dessus) <|> " => suggestions : « “
