1 Mot inconnu : Loaded => ======  Loaded  ====== | loaded
1 Espace(s) surnuméraire(s) à supprimer. => ======  Loaded  ====== |    => suggestions : [' ']

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
8 Espace(s) en fin de ligne à supprimer. => Technicien informatique depuis bientôt 10 ans, J'ai 27 ans je suis marié, sans enfants.  |   => suggestions : ['']
10 Espace(s) surnuméraire(s) à supprimer. => ===== Expérience :  ===== |    => suggestions : [' ']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

22 Mot inconnu : hardy => J'ai pour projet de créer une communauté au sein du village dans lequel je vis actuellement et proposer des formations, l'installation et l'utilisation au quotidien de la distribution hardy heron. | hardy
22 Mot inconnu : heron => J'ai pour projet de créer une communauté au sein du village dans lequel je vis actuellement et proposer des formations, l'installation et l'utilisation au quotidien de la distribution hardy heron. | heron
25 Espace(s) en fin de ligne à supprimer. => Pour plus d'information :  |   => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
