1 Mot inconnu : tou => Bonjour à tou⋅te⋅s, <|> tou
1 Écriture épicène dystypographique et imprononçable. => Bonjour à tou⋅te⋅s, <|> tou⋅te⋅s => suggestions : ['tous et toutes', 'toutes et tous']
1 Incohérence avec « te » : « s » devrait être un verbe. => Bonjour à tou⋅te⋅s, <|> s => suggestions : []

3 Accord de nombre erroné : « visiteur » est au singulier. => Bienvenue aux visiteur⋅euse⋅s, et merci aux créateur⋅trice⋅s et contributeur⋅trice⋅s de cette documentation (doc.Ubuntu-fr.org) ! <|> aux => suggestions : ['au']
3 Écriture épicène dystypographique et imprononçable. => Bienvenue aux visiteur⋅euse⋅s, et merci aux créateur⋅trice⋅s et contributeur⋅trice⋅s de cette documentation (doc.Ubuntu-fr.org) ! <|> visiteur⋅euse⋅s => suggestions : ['visiteurs et visiteuses', 'visiteuses et visiteurs']
3 Mot inconnu : euse => Bienvenue aux visiteur⋅euse⋅s, et merci aux créateur⋅trice⋅s et contributeur⋅trice⋅s de cette documentation (doc.Ubuntu-fr.org) ! <|> euse
3 Écriture invariable. Utilisez un point médian. => Bienvenue aux visiteur⋅euse⋅s, et merci aux créateur⋅trice⋅s et contributeur⋅trice⋅s de cette documentation (doc.Ubuntu-fr.org) ! <|> euse⋅s => suggestions : ['euse·s']
3 Accord de nombre erroné : « créateur » est au singulier. => Bienvenue aux visiteur⋅euse⋅s, et merci aux créateur⋅trice⋅s et contributeur⋅trice⋅s de cette documentation (doc.Ubuntu-fr.org) ! <|> aux => suggestions : ['au']
3 Écriture épicène dystypographique et imprononçable. => Bienvenue aux visiteur⋅euse⋅s, et merci aux créateur⋅trice⋅s et contributeur⋅trice⋅s de cette documentation (doc.Ubuntu-fr.org) ! <|> créateur⋅trice⋅s => suggestions : ['créateurs et créatrices', 'créatrices et créateurs']
3 Mot inconnu : trice => Bienvenue aux visiteur⋅euse⋅s, et merci aux créateur⋅trice⋅s et contributeur⋅trice⋅s de cette documentation (doc.Ubuntu-fr.org) ! <|> trice
3 Écriture invariable. Utilisez un point médian. => Bienvenue aux visiteur⋅euse⋅s, et merci aux créateur⋅trice⋅s et contributeur⋅trice⋅s de cette documentation (doc.Ubuntu-fr.org) ! <|> trice⋅s => suggestions : ['trice·s']
3 Écriture épicène dystypographique et imprononçable. => Bienvenue aux visiteur⋅euse⋅s, et merci aux créateur⋅trice⋅s et contributeur⋅trice⋅s de cette documentation (doc.Ubuntu-fr.org) ! <|> contributeur⋅trice⋅s => suggestions : ['contributeurs et contributrices', 'contributrices et contributeurs']
3 Mot inconnu : trice => Bienvenue aux visiteur⋅euse⋅s, et merci aux créateur⋅trice⋅s et contributeur⋅trice⋅s de cette documentation (doc.Ubuntu-fr.org) ! <|> trice
3 Écriture invariable. Utilisez un point médian. => Bienvenue aux visiteur⋅euse⋅s, et merci aux créateur⋅trice⋅s et contributeur⋅trice⋅s de cette documentation (doc.Ubuntu-fr.org) ! <|> trice⋅s => suggestions : ['trice·s']
8 Mot inconnu : LTS =>   * Ubuntu (actuellement version 20.04 LTS en mode Desktop) sur postes de travail (PC portables LDLC), à usage personnel et professionnel ; <|> lts
8 Mot inconnu : Desktop =>   * Ubuntu (actuellement version 20.04 LTS en mode Desktop) sur postes de travail (PC portables LDLC), à usage personnel et professionnel ; <|> desktop
8 Mot inconnu : LDLC =>   * Ubuntu (actuellement version 20.04 LTS en mode Desktop) sur postes de travail (PC portables LDLC), à usage personnel et professionnel ; <|> ldlc
9 Mot inconnu : LTS =>   * Ubuntu (actuellement version 20.04 LTS en mode Server) sur serveurs physiques (HP Proliant et Dell) et machines virtuelles (sous hyperviseur QEMU/KVM), à usage professionnel. <|> lts
9 Mot inconnu : Server =>   * Ubuntu (actuellement version 20.04 LTS en mode Server) sur serveurs physiques (HP Proliant et Dell) et machines virtuelles (sous hyperviseur QEMU/KVM), à usage professionnel. <|> server
9 Mot inconnu : HP =>   * Ubuntu (actuellement version 20.04 LTS en mode Server) sur serveurs physiques (HP Proliant et Dell) et machines virtuelles (sous hyperviseur QEMU/KVM), à usage professionnel. <|> hp
9 Mot inconnu : Proliant =>   * Ubuntu (actuellement version 20.04 LTS en mode Server) sur serveurs physiques (HP Proliant et Dell) et machines virtuelles (sous hyperviseur QEMU/KVM), à usage professionnel. <|> proliant
9 Mot inconnu : QEMU =>   * Ubuntu (actuellement version 20.04 LTS en mode Server) sur serveurs physiques (HP Proliant et Dell) et machines virtuelles (sous hyperviseur QEMU/KVM), à usage professionnel. <|> qemu
9 Mot inconnu : KVM =>   * Ubuntu (actuellement version 20.04 LTS en mode Server) sur serveurs physiques (HP Proliant et Dell) et machines virtuelles (sous hyperviseur QEMU/KVM), à usage professionnel. <|> kvm

13 Mot inconnu : Lyondif02 => Lyondif02 <|> lyondif02
