1 Mot inconnu : MPD => ===== Configuration de MPD avec PulseAudio (sous Hardy et Intrepid) ===== | mpd
1 Mot inconnu : PulseAudio => ===== Configuration de MPD avec PulseAudio (sous Hardy et Intrepid) ===== | pulseaudio
1 Mot inconnu : Intrepid => ===== Configuration de MPD avec PulseAudio (sous Hardy et Intrepid) ===== | intrepid

3 Mot inconnu : PulseAudio => Pour configurer votre client sous PulseAudio, il faut premièrement installer le gestionnaire de configuration de PulseAudio : | pulseaudio
3 Mot inconnu : PulseAudio => Pour configurer votre client sous PulseAudio, il faut premièrement installer le gestionnaire de configuration de PulseAudio : | pulseaudio

4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install paprefs |    => suggestions : ['']
4 Mot inconnu : sudo =>   sudo apt-get install paprefs | sudo
4 Mot inconnu : apt-get =>   sudo apt-get install paprefs | apt-get
4 Mot inconnu : install =>   sudo apt-get install paprefs | install
4 Mot inconnu : paprefs =>   sudo apt-get install paprefs | paprefs

5 S’il s’agit d’un impératif, mettez un trait d’union. => Puis lancez le : | lancez le => suggestions : ['lancez-le']

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   paprefs |    => suggestions : ['']
6 Mot inconnu : paprefs =>   paprefs | paprefs

8 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Enable network access to local sound devices et - Don't require authentication | -  => suggestions : ['—\xa0', '–\xa0']
8 Mot inconnu : Enable => - Enable network access to local sound devices et - Don't require authentication | enable
8 Mot inconnu : network => - Enable network access to local sound devices et - Don't require authentication | network
8 Mot inconnu : access => - Enable network access to local sound devices et - Don't require authentication | access
8 Mot inconnu : to => - Enable network access to local sound devices et - Don't require authentication | to
8 Mot inconnu : sound => - Enable network access to local sound devices et - Don't require authentication | sound
8 Mot inconnu : devices => - Enable network access to local sound devices et - Don't require authentication | devices
8 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => - Enable network access to local sound devices et - Don't require authentication |  -  => suggestions : [' – ', ' — ', ' − ']
8 Mot inconnu : Don't => - Enable network access to local sound devices et - Don't require authentication | don't
8 Mot inconnu : require => - Enable network access to local sound devices et - Don't require authentication | require
8 Mot inconnu : authentication => - Enable network access to local sound devices et - Don't require authentication | authentication

10 Mot inconnu : mpd => Nous allons ensuite modifier mpd.conf : | mpd
10 Il manque un espace. => Nous allons ensuite modifier mpd.conf : | conf => suggestions : [' conf']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo nano /etc/mpd.conf |    => suggestions : ['']
11 Mot inconnu : sudo =>   sudo nano /etc/mpd.conf | sudo
11 Mot inconnu : nano =>   sudo nano /etc/mpd.conf | nano

12 Mot inconnu : audio_output => Dans la section Audio Output, il faut simplement mettre ces deux lignes à audio_output (en prenant bien soins de mettre en commentaire les anciennes sorties audio ALSA/OSS) : | audio_output
12 Mot inconnu : ALSA => Dans la section Audio Output, il faut simplement mettre ces deux lignes à audio_output (en prenant bien soins de mettre en commentaire les anciennes sorties audio ALSA/OSS) : | alsa

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   audio_output { |    => suggestions : ['']
13 Mot inconnu : audio_output =>   audio_output { | audio_output

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           type                    "pulse" |            => suggestions : ['']
14 Espace(s) surnuméraire(s) à supprimer. =>           type                    "pulse" |                      => suggestions : [' ']
14 Guillemets typographiques ouvrants. =>           type                    "pulse" | " => suggestions : ['«\xa0', '“']
14 Guillemets typographiques fermants. =>           type                    "pulse" | " => suggestions : ['\xa0»', '”']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           name                    "My MPD PulseAudio Output" |            => suggestions : ['']
15 Mot inconnu : name =>           name                    "My MPD PulseAudio Output" | name
15 Espace(s) surnuméraire(s) à supprimer. =>           name                    "My MPD PulseAudio Output" |                      => suggestions : [' ']
15 Guillemets typographiques ouvrants. =>           name                    "My MPD PulseAudio Output" | " => suggestions : ['«\xa0', '“']
15 Mot inconnu : My =>           name                    "My MPD PulseAudio Output" | my
15 Mot inconnu : MPD =>           name                    "My MPD PulseAudio Output" | mpd
15 Mot inconnu : PulseAudio =>           name                    "My MPD PulseAudio Output" | pulseaudio
15 Guillemets typographiques fermants. =>           name                    "My MPD PulseAudio Output" | " => suggestions : ['\xa0»', '”']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   } |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mixer_type          "software" |    => suggestions : ['']
17 Mot inconnu : mixer_type =>   mixer_type          "software" | mixer_type
17 Espace(s) surnuméraire(s) à supprimer. =>   mixer_type          "software" |            => suggestions : [' ']
17 Guillemets typographiques ouvrants. =>   mixer_type          "software" | " => suggestions : ['«\xa0', '“']
17 Guillemets typographiques fermants. =>   mixer_type          "software" | " => suggestions : ['\xa0»', '”']

20 Mot inconnu : MPD => Finalement redémarrez MPD pour prendre en compte la nouvelle configuration : | mpd

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/mpd restart |    => suggestions : ['']
22 Mot inconnu : sudo =>   sudo /etc/init.d/mpd restart | sudo
22 Mot inconnu : restart =>   sudo /etc/init.d/mpd restart | restart

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

24 Mot inconnu : Control => ===== Configuration du Control du Volume avec Alsamixer (sous Hardy ) ===== | control
24 Mot inconnu : Alsamixer => ===== Configuration du Control du Volume avec Alsamixer (sous Hardy ) ===== | alsamixer
24 Pas d’espace avant ce signe. => ===== Configuration du Control du Volume avec Alsamixer (sous Hardy ) ===== |  ) => suggestions : [')']

26 Mot inconnu : Mpd => Ce qui suit décrit comment configurer Mpd et alsamixer pour pouvoir contrôler le volume de Mpd et pas des autres sons du système. | mpd
26 Mot inconnu : alsamixer => Ce qui suit décrit comment configurer Mpd et alsamixer pour pouvoir contrôler le volume de Mpd et pas des autres sons du système. | alsamixer
26 Mot inconnu : Mpd => Ce qui suit décrit comment configurer Mpd et alsamixer pour pouvoir contrôler le volume de Mpd et pas des autres sons du système. | mpd

31 Mot inconnu : mpdvol => Notez bien que le mixeur logiciel mpdvol avec le nom "MPD" sera utilisé quand vous éditerez le fichier /etc/mpd.conf. | mpdvol
31 Guillemets typographiques ouvrants. => Notez bien que le mixeur logiciel mpdvol avec le nom "MPD" sera utilisé quand vous éditerez le fichier /etc/mpd.conf. | " => suggestions : ['«\xa0', '“']
31 Mot inconnu : MPD => Notez bien que le mixeur logiciel mpdvol avec le nom "MPD" sera utilisé quand vous éditerez le fichier /etc/mpd.conf. | mpd
31 Guillemets typographiques fermants. => Notez bien que le mixeur logiciel mpdvol avec le nom "MPD" sera utilisé quand vous éditerez le fichier /etc/mpd.conf. | " => suggestions : ['\xa0»', '”']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # the sound card |        => suggestions : ['']
33 Mot inconnu : the =>       # the sound card | the
33 Mot inconnu : sound =>       # the sound card | sound
33 Mot inconnu : card =>       # the sound card | card

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         pcm.real { |          => suggestions : ['']
34 Mot inconnu : pcm =>         pcm.real { | pcm
34 Mot inconnu : real =>         pcm.real { | real

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           type hw |            => suggestions : ['']
35 Mot inconnu : hw =>           type hw | hw

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>            card 0 |             => suggestions : ['']
36 Mot inconnu : card =>            card 0 | card

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             device 0 |              => suggestions : ['']
37 Mot inconnu : device =>             device 0 | device

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                   } |                    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # the ipc stuff is needed for permissions, etc. |        => suggestions : ['']
39 Mot inconnu : the =>       # the ipc stuff is needed for permissions, etc. | the
39 Mot inconnu : ipc =>       # the ipc stuff is needed for permissions, etc. | ipc
39 Mot inconnu : stuff =>       # the ipc stuff is needed for permissions, etc. | stuff
39 Mot inconnu : is =>       # the ipc stuff is needed for permissions, etc. | is
39 Mot inconnu : needed =>       # the ipc stuff is needed for permissions, etc. | needed

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>          pcm.dmixer { |           => suggestions : ['']
40 Mot inconnu : pcm =>          pcm.dmixer { | pcm
40 Mot inconnu : dmixer =>          pcm.dmixer { | dmixer

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           type dmix |            => suggestions : ['']
41 Mot inconnu : dmix =>           type dmix | dmix

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           ipc_key 1024 |            => suggestions : ['']
42 Mot inconnu : ipc_key =>           ipc_key 1024 | ipc_key

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           ipc_perm 0666 |            => suggestions : ['']
43 Mot inconnu : ipc_perm =>           ipc_perm 0666 | ipc_perm

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           slave.pcm "real" |            => suggestions : ['']
44 Mot inconnu : pcm =>           slave.pcm "real" | pcm
44 Guillemets typographiques ouvrants. =>           slave.pcm "real" | " => suggestions : ['«\xa0', '“']
44 Mot inconnu : real =>           slave.pcm "real" | real
44 Guillemets typographiques fermants. =>           slave.pcm "real" | " => suggestions : ['\xa0»', '”']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           slave { |            => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             period_time 0 |              => suggestions : ['']
46 Mot inconnu : period_time =>             period_time 0 | period_time

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             period_size 1024 |              => suggestions : ['']
47 Mot inconnu : period_size =>             period_size 1024 | period_size

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             buffer_size 8192 |              => suggestions : ['']
48 Mot inconnu : buffer_size =>             buffer_size 8192 | buffer_size

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             rate 44100   |              => suggestions : ['']
49 Formatage des grands nombres. =>             rate 44100   | 44100 => suggestions : ['44\xa0100']
49 Espace(s) en fin de ligne à supprimer. =>             rate 44100   |    => suggestions : ['']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                  } |                   => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>          bindings { |           => suggestions : ['']
51 Mot inconnu : bindings =>          bindings { | bindings

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           0 0 |            => suggestions : ['']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           1 1  |            => suggestions : ['']
53 Espace(s) en fin de ligne à supprimer. =>           1 1  |   => suggestions : ['']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                    } |                     => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     } |      => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    ctl.dmixer { |     => suggestions : ['']
56 Mot inconnu : ctl =>    ctl.dmixer { | ctl
56 Mot inconnu : dmixer =>    ctl.dmixer { | dmixer

