1 Mot inconnu : mavosaure => ====== mavosaure ====== | mavosaure

5 Mot inconnu : Karoutcho => **Karoutcho! :-P** | karoutcho

7 Mot inconnu : Xubuntero => Xubuntero depuis un peu plus d'un an (rien de tel que quelques mois de chômage pour se lancer sous de Linux... surtout quand on aime bien tripatouiller la bête)!!! | xubuntero
7 Typographie : points de suspension. Utilisez le caractère dédié. => Xubuntero depuis un peu plus d'un an (rien de tel que quelques mois de chômage pour se lancer sous de Linux... surtout quand on aime bien tripatouiller la bête)!!! | ... => suggestions : ['…']
11 Mot inconnu : mavosaure => Vous pouvez me contacter à : mavosaure [chez] gmail . com | mavosaure
11 Mot inconnu : gmail => Vous pouvez me contacter à : mavosaure [chez] gmail . com | gmail
11 Pas d’espace avant un point. => Vous pouvez me contacter à : mavosaure [chez] gmail . com |  . => suggestions : ['.']

18 Mot inconnu : Celeron => Je me suis fait la main sur un vieux Celeron 1Ghz à l'age respectable de 7 ou 8 ans, d'abord sous Ubuntu Edgy... puis passage très rapide à XFCE pour cause de ramage intensif! | celeron
18 Mot inconnu : Ghz => Je me suis fait la main sur un vieux Celeron 1Ghz à l'age respectable de 7 ou 8 ans, d'abord sous Ubuntu Edgy... puis passage très rapide à XFCE pour cause de ramage intensif! | ghz
18 L’age est un élément de la charrue. Pour la durée d’existence, écrivez “âge”. => Je me suis fait la main sur un vieux Celeron 1Ghz à l'age respectable de 7 ou 8 ans, d'abord sous Ubuntu Edgy... puis passage très rapide à XFCE pour cause de ramage intensif! | age => suggestions : ['âge']
18 Mot inconnu : Edgy => Je me suis fait la main sur un vieux Celeron 1Ghz à l'age respectable de 7 ou 8 ans, d'abord sous Ubuntu Edgy... puis passage très rapide à XFCE pour cause de ramage intensif! | edgy
18 Typographie : points de suspension. Utilisez le caractère dédié. => Je me suis fait la main sur un vieux Celeron 1Ghz à l'age respectable de 7 ou 8 ans, d'abord sous Ubuntu Edgy... puis passage très rapide à XFCE pour cause de ramage intensif! | ... => suggestions : ['…']
18 Mot inconnu : XFCE => Je me suis fait la main sur un vieux Celeron 1Ghz à l'age respectable de 7 ou 8 ans, d'abord sous Ubuntu Edgy... puis passage très rapide à XFCE pour cause de ramage intensif! | xfce

20 Mot inconnu : SuSE => J'ai enfin fini par remplacer ma vieille SuSE 9.0 (jamais vraiment configurée) par un Xubuntu sur mon [[http://h10025.www1.hp.com/ewfrf/wc/product?lc=fr&cc=fr&dlc=fr&product=315500&lang=fr&|Compaq Presario 2100 (modèle exact 2158EA)]]. Si ça peut servir à quelqu'un... | suse
20 Mot inconnu : Xubuntu => J'ai enfin fini par remplacer ma vieille SuSE 9.0 (jamais vraiment configurée) par un Xubuntu sur mon [[http://h10025.www1.hp.com/ewfrf/wc/product?lc=fr&cc=fr&dlc=fr&product=315500&lang=fr&|Compaq Presario 2100 (modèle exact 2158EA)]]. Si ça peut servir à quelqu'un... | xubuntu
20 Mot inconnu : Compaq => J'ai enfin fini par remplacer ma vieille SuSE 9.0 (jamais vraiment configurée) par un Xubuntu sur mon [[http://h10025.www1.hp.com/ewfrf/wc/product?lc=fr&cc=fr&dlc=fr&product=315500&lang=fr&|Compaq Presario 2100 (modèle exact 2158EA)]]. Si ça peut servir à quelqu'un... | compaq
20 Mot inconnu : Presario => J'ai enfin fini par remplacer ma vieille SuSE 9.0 (jamais vraiment configurée) par un Xubuntu sur mon [[http://h10025.www1.hp.com/ewfrf/wc/product?lc=fr&cc=fr&dlc=fr&product=315500&lang=fr&|Compaq Presario 2100 (modèle exact 2158EA)]]. Si ça peut servir à quelqu'un... | presario
20 Typographie : points de suspension. Utilisez le caractère dédié. => J'ai enfin fini par remplacer ma vieille SuSE 9.0 (jamais vraiment configurée) par un Xubuntu sur mon [[http://h10025.www1.hp.com/ewfrf/wc/product?lc=fr&cc=fr&dlc=fr&product=315500&lang=fr&|Compaq Presario 2100 (modèle exact 2158EA)]]. Si ça peut servir à quelqu'un... | ... => suggestions : ['…']

23 Mot inconnu : Xubuntu => ===== Xubuntu sur Compaq Presario 2158EA ===== | xubuntu
23 Mot inconnu : Compaq => ===== Xubuntu sur Compaq Presario 2158EA ===== | compaq
23 Mot inconnu : Presario => ===== Xubuntu sur Compaq Presario 2158EA ===== | presario

26 Mot inconnu : Gutsy => ==== Installation de Gutsy ==== | gutsy

33 Mot inconnu : ATI => ==== Carte graphique ATI Radeon IGP 320M Mobility ==== | ati
33 Mot inconnu : Radeon => ==== Carte graphique ATI Radeon IGP 320M Mobility ==== | radeon
33 Mot inconnu : IGP => ==== Carte graphique ATI Radeon IGP 320M Mobility ==== | igp
33 Mot inconnu : Mobility => ==== Carte graphique ATI Radeon IGP 320M Mobility ==== | mobility

35 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => À ce sujet, en attendant un report dans la doc (si je réussi à comprendre ce qui a fait la différence), j'ai eu quelques difficultés à avoir l'accélération (Direct Rendering) sur ma carte graphique. La dernière tentative a été la bonne en suivant [[http://ubuntuforums.org/showthread.php?t=310018&highlight=presario+2100+gutsy&page=4|les indications de ce post]] : | réussi => suggestions : ['réussissais', 'réussis']
35 Mot inconnu : Rendering => À ce sujet, en attendant un report dans la doc (si je réussi à comprendre ce qui a fait la différence), j'ai eu quelques difficultés à avoir l'accélération (Direct Rendering) sur ma carte graphique. La dernière tentative a été la bonne en suivant [[http://ubuntuforums.org/showthread.php?t=310018&highlight=presario+2100+gutsy&page=4|les indications de ce post]] : | rendering

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo apt-get install libgl1-mesa-glx libgl1-mesa-dri |     => suggestions : ['']
37 Mot inconnu : sudo =>    sudo apt-get install libgl1-mesa-glx libgl1-mesa-dri | sudo
37 Mot inconnu : apt-get =>    sudo apt-get install libgl1-mesa-glx libgl1-mesa-dri | apt-get
37 Mot inconnu : install =>    sudo apt-get install libgl1-mesa-glx libgl1-mesa-dri | install
37 Mot inconnu : libgl1-mesa-glx =>    sudo apt-get install libgl1-mesa-glx libgl1-mesa-dri | libgl1-mesa-glx
37 Mot inconnu : libgl1-mesa-dri =>    sudo apt-get install libgl1-mesa-glx libgl1-mesa-dri | libgl1-mesa-dri

39 Mot inconnu : présnet => Pour moi le premier était déjà présnet et l'exécution de la commande a donc installé le second : libgl1-mesa-dri | présnet
39 Mot inconnu : libgl1-mesa-dri => Pour moi le premier était déjà présnet et l'exécution de la commande a donc installé le second : libgl1-mesa-dri | libgl1-mesa-dri
41 Mot inconnu : free => //Description : A free implementation of the OpenGL API -- DRI modules | free
41 Mot inconnu : implementation => //Description : A free implementation of the OpenGL API -- DRI modules | implementation
41 Mot inconnu : of => //Description : A free implementation of the OpenGL API -- DRI modules | of
41 Mot inconnu : the => //Description : A free implementation of the OpenGL API -- DRI modules | the
41 Mot inconnu : OpenGL => //Description : A free implementation of the OpenGL API -- DRI modules | opengl
41 Mot inconnu : DRI => //Description : A free implementation of the OpenGL API -- DRI modules | dri

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  This version of Mesa provides GLX and DRI capabilities: it is capable of both |   => suggestions : ['']
42 Mot inconnu : This =>  This version of Mesa provides GLX and DRI capabilities: it is capable of both | this
42 Mot inconnu : of =>  This version of Mesa provides GLX and DRI capabilities: it is capable of both | of
42 Mot inconnu : provides =>  This version of Mesa provides GLX and DRI capabilities: it is capable of both | provides
42 Mot inconnu : and =>  This version of Mesa provides GLX and DRI capabilities: it is capable of both | and
42 Mot inconnu : DRI =>  This version of Mesa provides GLX and DRI capabilities: it is capable of both | dri
42 Mot inconnu : capabilities =>  This version of Mesa provides GLX and DRI capabilities: it is capable of both | capabilities
42 Mot inconnu : it =>  This version of Mesa provides GLX and DRI capabilities: it is capable of both | it
42 Mot inconnu : is =>  This version of Mesa provides GLX and DRI capabilities: it is capable of both | is
42 Mot inconnu : of =>  This version of Mesa provides GLX and DRI capabilities: it is capable of both | of
42 Mot inconnu : both =>  This version of Mesa provides GLX and DRI capabilities: it is capable of both | both

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  direct and indirect rendering.  For direct rendering, it can use DRI modules |   => suggestions : ['']
43 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>  direct and indirect rendering.  For direct rendering, it can use DRI modules | direct => suggestions : ['Direct']
43 Mot inconnu : and =>  direct and indirect rendering.  For direct rendering, it can use DRI modules | and
43 Mot inconnu : rendering =>  direct and indirect rendering.  For direct rendering, it can use DRI modules | rendering
43 Espace(s) surnuméraire(s) à supprimer. =>  direct and indirect rendering.  For direct rendering, it can use DRI modules |    => suggestions : [' ']
43 Mot inconnu : rendering =>  direct and indirect rendering.  For direct rendering, it can use DRI modules | rendering
43 Mot inconnu : it =>  direct and indirect rendering.  For direct rendering, it can use DRI modules | it
43 Mot inconnu : can =>  direct and indirect rendering.  For direct rendering, it can use DRI modules | can
43 Mot inconnu : DRI =>  direct and indirect rendering.  For direct rendering, it can use DRI modules | dri

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  from the libgl1-mesa-dri package to accelerate drawing.  |   => suggestions : ['']
44 Mot inconnu : from =>  from the libgl1-mesa-dri package to accelerate drawing.  | from
44 Mot inconnu : the =>  from the libgl1-mesa-dri package to accelerate drawing.  | the
44 Mot inconnu : libgl1-mesa-dri =>  from the libgl1-mesa-dri package to accelerate drawing.  | libgl1-mesa-dri
44 Mot inconnu : to =>  from the libgl1-mesa-dri package to accelerate drawing.  | to
44 Mot inconnu : accelerate =>  from the libgl1-mesa-dri package to accelerate drawing.  | accelerate
44 Mot inconnu : drawing =>  from the libgl1-mesa-dri package to accelerate drawing.  | drawing
44 Espace(s) en fin de ligne à supprimer. =>  from the libgl1-mesa-dri package to accelerate drawing.  |   => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  This package does not include the OpenGL library itself, only the DRI modules |   => suggestions : ['']
46 Mot inconnu : This =>  This package does not include the OpenGL library itself, only the DRI modules | this
46 Mot inconnu : does =>  This package does not include the OpenGL library itself, only the DRI modules | does
46 Mot inconnu : not =>  This package does not include the OpenGL library itself, only the DRI modules | not
46 Mot inconnu : include =>  This package does not include the OpenGL library itself, only the DRI modules | include
46 Mot inconnu : the =>  This package does not include the OpenGL library itself, only the DRI modules | the
46 Mot inconnu : OpenGL =>  This package does not include the OpenGL library itself, only the DRI modules | opengl
46 Mot inconnu : library =>  This package does not include the OpenGL library itself, only the DRI modules | library
46 Mot inconnu : itself =>  This package does not include the OpenGL library itself, only the DRI modules | itself
46 Mot inconnu : only =>  This package does not include the OpenGL library itself, only the DRI modules | only
46 Mot inconnu : the =>  This package does not include the OpenGL library itself, only the DRI modules | the
46 Mot inconnu : DRI =>  This package does not include the OpenGL library itself, only the DRI modules | dri

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  for accelerating direct rendering.  |   => suggestions : ['']
47 Mot inconnu : accelerating =>  for accelerating direct rendering.  | accelerating
47 Mot inconnu : rendering =>  for accelerating direct rendering.  | rendering
47 Espace(s) en fin de ligne à supprimer. =>  for accelerating direct rendering.  |   => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  For a complete description of Mesa, please look at the libgl1-mesa-swx11 |   => suggestions : ['']
49 Mot inconnu : complete =>  For a complete description of Mesa, please look at the libgl1-mesa-swx11 | complete
49 Mot inconnu : of =>  For a complete description of Mesa, please look at the libgl1-mesa-swx11 | of
49 Mot inconnu : please =>  For a complete description of Mesa, please look at the libgl1-mesa-swx11 | please
49 Mot inconnu : at =>  For a complete description of Mesa, please look at the libgl1-mesa-swx11 | at
49 Mot inconnu : the =>  For a complete description of Mesa, please look at the libgl1-mesa-swx11 | the
49 Mot inconnu : libgl1-mesa-swx11 =>  For a complete description of Mesa, please look at the libgl1-mesa-swx11 | libgl1-mesa-swx11

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  package.  |   => suggestions : ['']
50 Espace(s) en fin de ligne à supprimer. =>  package.  |   => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  The tdfx DRI module needs libglide3 to enable direct rendering.// |   => suggestions : ['']
52 Mot inconnu : The =>  The tdfx DRI module needs libglide3 to enable direct rendering.// | the
52 Mot inconnu : tdfx =>  The tdfx DRI module needs libglide3 to enable direct rendering.// | tdfx
52 Mot inconnu : DRI =>  The tdfx DRI module needs libglide3 to enable direct rendering.// | dri
52 Mot inconnu : needs =>  The tdfx DRI module needs libglide3 to enable direct rendering.// | needs
52 Mot inconnu : libglide3 =>  The tdfx DRI module needs libglide3 to enable direct rendering.// | libglide3
52 Mot inconnu : to =>  The tdfx DRI module needs libglide3 to enable direct rendering.// | to
52 Mot inconnu : enable =>  The tdfx DRI module needs libglide3 to enable direct rendering.// | enable
52 Mot inconnu : rendering =>  The tdfx DRI module needs libglide3 to enable direct rendering.// | rendering

54 Mot inconnu : xorg => Dans le fichier **xorg.conf**, pour la section **device** : | xorg
54 Il manque un espace. => Dans le fichier **xorg.conf**, pour la section **device** : | conf => suggestions : [' conf']
54 Mot inconnu : device => Dans le fichier **xorg.conf**, pour la section **device** : | device

56 Guillemets typographiques ouvrants. => remplacement de "ati" par "radeon" | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : ati => remplacement de "ati" par "radeon" | ati
56 Guillemets typographiques fermants. => remplacement de "ati" par "radeon" | " => suggestions : ['\xa0»', '”']
56 Guillemets typographiques ouvrants. => remplacement de "ati" par "radeon" | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : radeon => remplacement de "ati" par "radeon" | radeon
56 Guillemets typographiques fermants. => remplacement de "ati" par "radeon" | " => suggestions : ['\xa0»', '”']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Option          "UseFBDev"              "true" |    => suggestions : ['']
59 Espace(s) surnuméraire(s) à supprimer. =>   Option          "UseFBDev"              "true" |            => suggestions : [' ']
59 Guillemets typographiques ouvrants. =>   Option          "UseFBDev"              "true" | " => suggestions : ['«\xa0', '“']
59 Mot inconnu : UseFBDev =>   Option          "UseFBDev"              "true" | usefbdev
59 Guillemets typographiques fermants. =>   Option          "UseFBDev"              "true" | " => suggestions : ['\xa0»', '”']
59 Guillemets typographiques ouvrants. =>   Option          "UseFBDev"              "true" | " => suggestions : ['«\xa0', '“']
59 Mot inconnu : true =>   Option          "UseFBDev"              "true" | true
59 Guillemets typographiques fermants. =>   Option          "UseFBDev"              "true" | " => suggestions : ['\xa0»', '”']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Option		"DPMS" |    => suggestions : ['']
63 Guillemets typographiques ouvrants. =>   Option		"DPMS" | " => suggestions : ['«\xa0', '“']
63 Mot inconnu : DPMS =>   Option		"DPMS" | dpms
63 Guillemets typographiques fermants. =>   Option		"DPMS" | " => suggestions : ['\xa0»', '”']

67 Mot inconnu : Winmodem => ==== Winmodem Conexant 56k AC LINK ==== | winmodem
67 Mot inconnu : Conexant => ==== Winmodem Conexant 56k AC LINK ==== | conexant
67 Mot inconnu : LINK => ==== Winmodem Conexant 56k AC LINK ==== | link

69 Mot inconnu : SuSE => En débarquant à Mayotte je me suis brutalement rappelé la leçon que m'avait fait un pote après m'avoir installé la fameuse SuSE 9.0, à propos de la difficulté à configurer les soft-modems sous Linux. | suse

73 Mot inconnu : Gutsy => Pour mes paramètres sous Gutsy (fonctionnels également sous Hardy), [[http://forum.xubuntu-fr.org/viewtopic.php?id=210689|voir ce post]]. | gutsy

75 Mot inconnu : Gutsy => [[https://bugs.launchpad.net/ubuntu/+source/gnome-ppp/+bug/121487|Le bug]] que j'avais sous Gutsy qui faisait que gnome-ppp apparaissait toujours comme "en train de se connecter, n'affichait pas la durée et ne se réduisait pas, a disparu avec Hardy. | gutsy
75 Guillemets typographiques ouvrants. => [[https://bugs.launchpad.net/ubuntu/+source/gnome-ppp/+bug/121487|Le bug]] que j'avais sous Gutsy qui faisait que gnome-ppp apparaissait toujours comme "en train de se connecter, n'affichait pas la durée et ne se réduisait pas, a disparu avec Hardy. | " => suggestions : ['«\xa0', '“']
