1 Mot inconnu : Maxbester => ====== Maxbester ====== | maxbester

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Nom : Maxime |    => suggestions : ['']

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ville : Toulouse |    => suggestions : ['']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Profession : Etudiant Informatique |    => suggestions : ['']
7 Mot inconnu : Etudiant =>   * Profession : Etudiant Informatique | etudiant

11 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Ubuntu 10.10 (32 Bits) - Pentium 4 3GHz - 2,2 Go Ram - 32 Bits - Dell Dimension 4700 |  -  => suggestions : [' – ', ' — ', ' − ']
11 Mot inconnu : Pentium => Ubuntu 10.10 (32 Bits) - Pentium 4 3GHz - 2,2 Go Ram - 32 Bits - Dell Dimension 4700 | pentium
11 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) => Ubuntu 10.10 (32 Bits) - Pentium 4 3GHz - 2,2 Go Ram - 32 Bits - Dell Dimension 4700 |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
11 Mot inconnu : Ram => Ubuntu 10.10 (32 Bits) - Pentium 4 3GHz - 2,2 Go Ram - 32 Bits - Dell Dimension 4700 | ram
11 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) => Ubuntu 10.10 (32 Bits) - Pentium 4 3GHz - 2,2 Go Ram - 32 Bits - Dell Dimension 4700 |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
11 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Ubuntu 10.10 (32 Bits) - Pentium 4 3GHz - 2,2 Go Ram - 32 Bits - Dell Dimension 4700 |  -  => suggestions : [' – ', ' — ', ' − ']

13 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Ubuntu 10.10 (32 Bits) - Core Duo 1,66GHz - 1 Go Ram - 32 Bits - HP Pavilion dv1000 |  -  => suggestions : [' – ', ' — ', ' − ']
13 Mot inconnu : Core => Ubuntu 10.10 (32 Bits) - Core Duo 1,66GHz - 1 Go Ram - 32 Bits - HP Pavilion dv1000 | core
13 Si “GHz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Ubuntu 10.10 (32 Bits) - Core Duo 1,66GHz - 1 Go Ram - 32 Bits - HP Pavilion dv1000 | 1,66ghz => suggestions : ['1,66\xa0GHz']
13 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) => Ubuntu 10.10 (32 Bits) - Core Duo 1,66GHz - 1 Go Ram - 32 Bits - HP Pavilion dv1000 |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
13 Mot inconnu : Ram => Ubuntu 10.10 (32 Bits) - Core Duo 1,66GHz - 1 Go Ram - 32 Bits - HP Pavilion dv1000 | ram
13 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) => Ubuntu 10.10 (32 Bits) - Core Duo 1,66GHz - 1 Go Ram - 32 Bits - HP Pavilion dv1000 |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
13 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Ubuntu 10.10 (32 Bits) - Core Duo 1,66GHz - 1 Go Ram - 32 Bits - HP Pavilion dv1000 |  -  => suggestions : [' – ', ' — ', ' − ']
13 Mot inconnu : HP => Ubuntu 10.10 (32 Bits) - Core Duo 1,66GHz - 1 Go Ram - 32 Bits - HP Pavilion dv1000 | hp
13 Mot inconnu : Pavilion => Ubuntu 10.10 (32 Bits) - Core Duo 1,66GHz - 1 Go Ram - 32 Bits - HP Pavilion dv1000 | pavilion
13 Mot inconnu : dv1000 => Ubuntu 10.10 (32 Bits) - Core Duo 1,66GHz - 1 Go Ram - 32 Bits - HP Pavilion dv1000 | dv1000
