1 Mot inconnu : MaXflY [[31:37]] => ===== Présentation de M@XflY / MaXflY ===== <|> maxfly
12 Mot inconnu : peches [[28:34]] =>   * les fraises melbas, les peches melba <|> peches
15 Mot inconnu : peches [[43:49]] =>   * les fraises melba sans fraises, et les peches melba sans melba (c'est quoi au fait la melba, j'ai jamais su ?? ) <|> peches
15 Pas d’espace avant ce signe. [[114:116]] =>   * les fraises melba sans fraises, et les peches melba sans melba (c'est quoi au fait la melba, j'ai jamais su ?? ) <|>  ) => suggestions : [')']

17 Mot inconnu : trève [[4:9]] => bon trève de plaisanterie. <|> trève

19 Mot inconnu : Aplication [[122:132]] => Je suis étudiant en informatique sur Paris où j'effectue en ce moment un BTS Informatique et Gestion Option Développeur d'Aplication. <|> aplication
20 Accord de genre erroné : « la banque » est féminin, « central » est masculin. [[55:62]] => Mes atouts : à trois ans et demi j'ai piraté la banque central européenne en codant avec mes pieds (non c'est pas vrai je blague, si si je vous assure !!) <|> central => suggestions : ['centrale']
20 Doublon. [[130:135]] => Mes atouts : à trois ans et demi j'ai piraté la banque central européenne en codant avec mes pieds (non c'est pas vrai je blague, si si je vous assure !!) <|> si si => suggestions : ['si']

22 Mot inconnu : précisement [[83:94]] => non pour tous vous dire je suis sur GNU/Linux depuis maintenant environ exactement précisement (enfin je sais plus bref), je suis sur GNU/Linux depuis 2.5 ans (précis non ?). <|> précisement

30 Typographie : points de suspension. Utilisez le caractère dédié. [[0:3]] => ... <|> ... => suggestions : ['…']

31 Typographie : succession de points. Utilisez le caractère dédié. [[20:32]] => et découvert Ubuntu ............ oufffff !! <|> ............ => suggestions : ['…………']
31 Mot inconnu : oufffff [[33:40]] => et découvert Ubuntu ............ oufffff !! <|> oufffff

32 Typographie : points de suspension. Utilisez le caractère dédié. [[25:28]] => depuis je suis resté sur ... sur ... devinez quoi ..... <|> ... => suggestions : ['…']
32 Typographie : points de suspension. Utilisez le caractère dédié. [[33:36]] => depuis je suis resté sur ... sur ... devinez quoi ..... <|> ... => suggestions : ['…']
32 Typographie : points de suspension. Utilisez le caractère dédié. [[50:55]] => depuis je suis resté sur ... sur ... devinez quoi ..... <|> ..... => suggestions : ['…']

35 Accord de genre erroné : « gentil » est masculin. [[4:6]] => Bon ma gentil Ubuntu me quitte plus depuis la Dapper. <|> ma => suggestions : ['mon']
35 Accord de genre erroné : « ma » est un déterminant féminin. [[7:13]] => Bon ma gentil Ubuntu me quitte plus depuis la Dapper. <|> gentil => suggestions : ['gentille']

36 Mot inconnu : fstab [[118:123]] => Ah si j'ai fait un saut vite fait (mais très vite fait) sur FreeBSD (bon j'avoue j'ai quand même réussi à démolir mon fstab à l'install, c'est ça les installe à 4h du mat). <|> fstab
36 Mot inconnu : install [[128:135]] => Ah si j'ai fait un saut vite fait (mais très vite fait) sur FreeBSD (bon j'avoue j'ai quand même réussi à démolir mon fstab à l'install, c'est ça les installe à 4h du mat). <|> install
37 Mot inconnu : laptop [[30:36]] =>   * Et pour l'instant sur mon laptop j'ai : XP Pro, Ubuntu 7.04 / Betatest :  ELbuntu (Ubuntu+enlightenment) <|> laptop
37 Mot inconnu : Betatest [[66:74]] =>   * Et pour l'instant sur mon laptop j'ai : XP Pro, Ubuntu 7.04 / Betatest :  ELbuntu (Ubuntu+enlightenment) <|> betatest
37 Espace(s) surnuméraire(s) à supprimer. [[76:78]] =>   * Et pour l'instant sur mon laptop j'ai : XP Pro, Ubuntu 7.04 / Betatest :  ELbuntu (Ubuntu+enlightenment) <|>    => suggestions : [' ']
37 Mot inconnu : ELbuntu [[78:85]] =>   * Et pour l'instant sur mon laptop j'ai : XP Pro, Ubuntu 7.04 / Betatest :  ELbuntu (Ubuntu+enlightenment) <|> elbuntu
37 Mot inconnu : enlightenment [[94:107]] =>   * Et pour l'instant sur mon laptop j'ai : XP Pro, Ubuntu 7.04 / Betatest :  ELbuntu (Ubuntu+enlightenment) <|> enlightenment
40 Espace(s) en fin de ligne à supprimer. [[86:87]] =>   * Sur le pc de ma copine : Kubuntu 6.10 (en dual boot XP, de moins en moins utilisé)  <|>   => suggestions : ['']
61 Guillemets typographiques ouvrants. [[54:55]] =>   * j'ai aidé à tenir le stand Ubuntu-fr.org au salon "Solution Linux 2007" et aidé un maximum de gens à découvrir cette magnifique distribution <|> " => suggestions : ['«\xa0', '“']
61 Guillemets typographiques fermants. [[74:75]] =>   * j'ai aidé à tenir le stand Ubuntu-fr.org au salon "Solution Linux 2007" et aidé un maximum de gens à découvrir cette magnifique distribution <|> " => suggestions : ['\xa0»', '”']
63 Guillemets typographiques ouvrants. [[146:147]] =>   * bon j'avoue j'ai été huée le feu d'artifice de la Défense pour la sortie de Vista avec quelques copains (fallait pas faire ça à côté du Salon "Solution Linux", NA !! ) <|> " => suggestions : ['«\xa0', '“']
63 Guillemets typographiques fermants. [[161:162]] =>   * bon j'avoue j'ai été huée le feu d'artifice de la Défense pour la sortie de Vista avec quelques copains (fallait pas faire ça à côté du Salon "Solution Linux", NA !! ) <|> " => suggestions : ['\xa0»', '”']
63 Pas d’espace avant ce signe. [[169:171]] =>   * bon j'avoue j'ai été huée le feu d'artifice de la Défense pour la sortie de Vista avec quelques copains (fallait pas faire ça à côté du Salon "Solution Linux", NA !! ) <|>  ) => suggestions : [')']
