
6 Mot inconnu : LAMP => ====== Serveur LAMP - Créer un/des répertoires de travail ====== <|> lamp
6 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== Serveur LAMP - Créer un/des répertoires de travail ====== <|>  -  => suggestions : [' – ', ' — ', ' − ']

8 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => <note warning>2019/06/25 - Cette page est mise dans mon répertoire utilisateur d'ubuntu-fr. Elle n'a absolument pas la finalité donnée sur la page https://doc.ubuntu-fr.org/tutoriel/lamp_repertoires_de_travail. J'en ai été l'auteur original, mais les modifications apportées sortent complètement du cadre initial de ce tutoriel. Des utilisateurs cherchant encore cette base, pourront la trouver dans "MES" pages utilisateur (ci-dessous).  <|>  -  => suggestions : [' – ', ' — ', ' − ']
8 Mot inconnu : ubuntu-fr => <note warning>2019/06/25 - Cette page est mise dans mon répertoire utilisateur d'ubuntu-fr. Elle n'a absolument pas la finalité donnée sur la page https://doc.ubuntu-fr.org/tutoriel/lamp_repertoires_de_travail. J'en ai été l'auteur original, mais les modifications apportées sortent complètement du cadre initial de ce tutoriel. Des utilisateurs cherchant encore cette base, pourront la trouver dans "MES" pages utilisateur (ci-dessous).  <|> ubuntu-fr
8 Guillemets typographiques ouvrants. => <note warning>2019/06/25 - Cette page est mise dans mon répertoire utilisateur d'ubuntu-fr. Elle n'a absolument pas la finalité donnée sur la page https://doc.ubuntu-fr.org/tutoriel/lamp_repertoires_de_travail. J'en ai été l'auteur original, mais les modifications apportées sortent complètement du cadre initial de ce tutoriel. Des utilisateurs cherchant encore cette base, pourront la trouver dans "MES" pages utilisateur (ci-dessous).  <|> " => suggestions : ['«\xa0', '“']
8 Guillemets typographiques fermants. => <note warning>2019/06/25 - Cette page est mise dans mon répertoire utilisateur d'ubuntu-fr. Elle n'a absolument pas la finalité donnée sur la page https://doc.ubuntu-fr.org/tutoriel/lamp_repertoires_de_travail. J'en ai été l'auteur original, mais les modifications apportées sortent complètement du cadre initial de ce tutoriel. Des utilisateurs cherchant encore cette base, pourront la trouver dans "MES" pages utilisateur (ci-dessous).  <|> " => suggestions : ['\xa0»', '”']
8 Accord de nombre erroné avec « MES pages » : « utilisateur » devrait être au pluriel. => <note warning>2019/06/25 - Cette page est mise dans mon répertoire utilisateur d'ubuntu-fr. Elle n'a absolument pas la finalité donnée sur la page https://doc.ubuntu-fr.org/tutoriel/lamp_repertoires_de_travail. J'en ai été l'auteur original, mais les modifications apportées sortent complètement du cadre initial de ce tutoriel. Des utilisateurs cherchant encore cette base, pourront la trouver dans "MES" pages utilisateur (ci-dessous).  <|> utilisateur => suggestions : ['utilisateurs']

9 Guillemets typographiques ouvrants. => Cette page est donc en quelque-sorte une archive "visible". Je tacherais de la maintenir à jour</note> <|> " => suggestions : ['«\xa0', '“']
9 Guillemets typographiques fermants. => Cette page est donc en quelque-sorte une archive "visible". Je tacherais de la maintenir à jour</note> <|> " => suggestions : ['\xa0»', '”']
9 Confusion. Tache signifie faire une salissure, une altération, une marque, une coloration… Pour parler de l’accomplissement d’un travail, écrivez “tâcher”. => Cette page est donc en quelque-sorte une archive "visible". Je tacherais de la maintenir à jour</note> <|> tacherais => suggestions : ['tâcherâis']

