1 Mot inconnu : Collins [[15:22]] => ====== Michael Collins ====== <|> collins

2 Typographie : points de suspension. Utilisez le caractère dédié. [[5:8]] => ^Nom|...| <|> ... => suggestions : ['…']

10 Guillemets typographiques ouvrants. [[11:12]] => Suite à un "écran bleu de la mort" sous Windows, m'empéchant d'accéder à un fichier PPT que je devais présenter le lendemain... <|> " => suggestions : ['«\xa0', '“']
10 Guillemets typographiques fermants. [[33:34]] => Suite à un "écran bleu de la mort" sous Windows, m'empéchant d'accéder à un fichier PPT que je devais présenter le lendemain... <|> " => suggestions : ['\xa0»', '”']
10 Mot inconnu : empéchant [[51:60]] => Suite à un "écran bleu de la mort" sous Windows, m'empéchant d'accéder à un fichier PPT que je devais présenter le lendemain... <|> empéchant
10 Typographie : points de suspension. Utilisez le caractère dédié. [[124:127]] => Suite à un "écran bleu de la mort" sous Windows, m'empéchant d'accéder à un fichier PPT que je devais présenter le lendemain... <|> ... => suggestions : ['…']
12 Mot inconnu : Win [[52:55]] => Depuis, je suis resté sous Linux, en Dual Boot avec Win XP pour mes jeux <|> win
18 Mot inconnu : CrossOver [[102:111]] =>   *  J'utilise Ubuntu de manière assez basique : bureautique, Internet, multimédia, jeux avec Wine et CrossOver. <|> crossover
25 Mot inconnu : CrossOver [[52:61]] =>   *  Je vais tenter de plus m'investir dans Wine et CrossOver, car je n'utilise Windows que pour le jeu, et j'en ai marre de rebooter... <|> crossover
25 Mot inconnu : rebooter [[125:133]] =>   *  Je vais tenter de plus m'investir dans Wine et CrossOver, car je n'utilise Windows que pour le jeu, et j'en ai marre de rebooter... <|> rebooter
25 Typographie : points de suspension. Utilisez le caractère dédié. [[133:136]] =>   *  Je vais tenter de plus m'investir dans Wine et CrossOver, car je n'utilise Windows que pour le jeu, et j'en ai marre de rebooter... <|> ... => suggestions : ['…']

29 Mot inconnu : CrossOver [[27:36]] => * Page de documentation de CrossOver <|> crossover
