1 Mot inconnu : mohican [[7:14]] => ====== mohican ====== <|> mohican

4 Mot inconnu : Ubunteros [[1:10]] => |Ubunteros depuis|septembre 2009 (tests et admin), février 2012 (usage)| <|> ubunteros

5 Mot inconnu : Xu [[23:25]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> xu
5 Mot inconnu : Ub [[33:35]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> ub
5 Mot inconnu : Ub [[43:45]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> ub
5 Mot inconnu : Xu [[48:50]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> xu
5 Mot inconnu : LTS [[57:60]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> lts
5 Mot inconnu : Ub [[63:65]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> ub
5 Mot inconnu : Ub [[74:76]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> ub
5 Mot inconnu : Ub [[85:87]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> ub
5 Mot inconnu : Ub64b [[90:95]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> ub64b
5 Mot inconnu : Xu [[98:100]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> xu
5 Mot inconnu : LTS [[112:115]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> lts
5 Mot inconnu : Ub64b [[118:123]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> ub64b
5 Mot inconnu : LTS [[130:133]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> lts
5 Mot inconnu : Ub64b [[138:143]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> ub64b
5 Mot inconnu : LTS [[152:155]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> lts
5 Mot inconnu : Mint64b [[158:165]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> mint64b
5 Mot inconnu : Cinnamon [[166:174]] => |Distributions testées|Xu 9.04 ; Ub 9.10 ; Ub + Xu 10.04 LTS ; Ub 10.10 ; Ub 11.10 ; Ub + Ub64b + Xu + Lu 12.04 LTS ; Ub64b 14.04 LTS ; **Ub64b 16.04.1 LTS + Mint64b Cinnamon 18.0**| <|> cinnamon

6 Mot inconnu : Xubuntu [[28:35]] => |Distributions administrées|Xubuntu 10.04 LTS ; Ubuntu 10.10 ; **Ubuntu 11.10 (gnome shell)** ; **Ubuntu 12.04 LTS (Unity)** ; **Ubuntu 14.04 LTS (Unity)**| <|> xubuntu
6 Mot inconnu : LTS [[42:45]] => |Distributions administrées|Xubuntu 10.04 LTS ; Ubuntu 10.10 ; **Ubuntu 11.10 (gnome shell)** ; **Ubuntu 12.04 LTS (Unity)** ; **Ubuntu 14.04 LTS (Unity)**| <|> lts
6 Mot inconnu : LTS [[111:114]] => |Distributions administrées|Xubuntu 10.04 LTS ; Ubuntu 10.10 ; **Ubuntu 11.10 (gnome shell)** ; **Ubuntu 12.04 LTS (Unity)** ; **Ubuntu 14.04 LTS (Unity)**| <|> lts
6 Mot inconnu : Unity [[116:121]] => |Distributions administrées|Xubuntu 10.04 LTS ; Ubuntu 10.10 ; **Ubuntu 11.10 (gnome shell)** ; **Ubuntu 12.04 LTS (Unity)** ; **Ubuntu 14.04 LTS (Unity)**| <|> unity
6 Mot inconnu : LTS [[142:145]] => |Distributions administrées|Xubuntu 10.04 LTS ; Ubuntu 10.10 ; **Ubuntu 11.10 (gnome shell)** ; **Ubuntu 12.04 LTS (Unity)** ; **Ubuntu 14.04 LTS (Unity)**| <|> lts
6 Mot inconnu : Unity [[147:152]] => |Distributions administrées|Xubuntu 10.04 LTS ; Ubuntu 10.10 ; **Ubuntu 11.10 (gnome shell)** ; **Ubuntu 12.04 LTS (Unity)** ; **Ubuntu 14.04 LTS (Unity)**| <|> unity

7 Mot inconnu : LTS [[40:43]] => |Distributions utilisées|**Ubuntu 14.04 LTS 64bits (Unity)**| <|> lts
7 Mot inconnu : Unity [[52:57]] => |Distributions utilisées|**Ubuntu 14.04 LTS 64bits (Unity)**| <|> unity

24 Guillemets typographiques ouvrants. [[22:23]] => Nombre d'utilisateurs "convertis" (machine principale) : 7 windowsiens + 2 débutants. <|> " => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. [[32:33]] => Nombre d'utilisateurs "convertis" (machine principale) : 7 windowsiens + 2 débutants. <|> " => suggestions : ['\xa0»', '”']

26 Guillemets typographiques ouvrants. [[22:23]] => Nombre d'utilisateurs "initiés" (machine secondaire) : 4 windowsiens + 1 débutant. <|> " => suggestions : ['«\xa0', '“']
26 Guillemets typographiques fermants. [[30:31]] => Nombre d'utilisateurs "initiés" (machine secondaire) : 4 windowsiens + 1 débutant. <|> " => suggestions : ['\xa0»', '”']

34 Espace(s) en fin de ligne à supprimer. [[37:39]] => === Projets et brouillons actuels ===   <|>    => suggestions : ['']
35 Guillemets typographiques ouvrants. [[22:23]] =>   * Projet : tutoriel "Checklist installation (dual-boot Windows en option) + post-installation" <|> " => suggestions : ['«\xa0', '“']
35 Mot inconnu : dual-boot [[47:56]] =>   * Projet : tutoriel "Checklist installation (dual-boot Windows en option) + post-installation" <|> dual-boot
35 Guillemets typographiques fermants. [[95:96]] =>   * Projet : tutoriel "Checklist installation (dual-boot Windows en option) + post-installation" <|> " => suggestions : ['\xa0»', '”']

37 Mot inconnu : mohican [[38:45]] => Un peu, [[https://bugs.launchpad.net/~mohican|sur launchpad]]. <|> mohican

39 Confusion probable : “voir” est un verbe concernant la perception visuelle. Pour signifier “et même possiblement”, écrivez “voire”. [[23:27]] => ==== Ce que j'aimerais voir implémenté dans Ubuntu ==== <|> voir => suggestions : ['voire']
43 Mot inconnu : Nautilus [[10:18]] =>   * Que //Nautilus// associe les fichiers html avec leur dossier lié (*_fichiers). <|> nautilus
43 Mot inconnu : html [[42:46]] =>   * Que //Nautilus// associe les fichiers html avec leur dossier lié (*_fichiers). <|> html
43 Mot inconnu : _fichiers [[71:80]] =>   * Que //Nautilus// associe les fichiers html avec leur dossier lié (*_fichiers). <|> _fichiers

44 Mot inconnu : brainstorm [[84:94]] => Pour soutenir cette idée [<del>[[http://brainstorm.ubuntu.com/idea/14879/|votez sur brainstorm]].</del> ARGH ! Canonical a supprimé Brainstorm sans même prévenir ses utilisateurs :-(.  <|> brainstorm
44 Mot inconnu : Brainstorm [[132:142]] => Pour soutenir cette idée [<del>[[http://brainstorm.ubuntu.com/idea/14879/|votez sur brainstorm]].</del> ARGH ! Canonical a supprimé Brainstorm sans même prévenir ses utilisateurs :-(.  <|> brainstorm
44 Espace(s) en fin de ligne à supprimer. [[183:184]] => Pour soutenir cette idée [<del>[[http://brainstorm.ubuntu.com/idea/14879/|votez sur brainstorm]].</del> ARGH ! Canonical a supprimé Brainstorm sans même prévenir ses utilisateurs :-(.  <|>   => suggestions : ['']

45 Guillemets typographiques ouvrants. [[22:23]] => Du coup j'ai saisi un "bug" dans gnome] [[https://bugzilla.gnome.org/show_bug.cgi?id=707417|ici]] <|> " => suggestions : ['«\xa0', '“']
45 Guillemets typographiques fermants. [[26:27]] => Du coup j'ai saisi un "bug" dans gnome] [[https://bugzilla.gnome.org/show_bug.cgi?id=707417|ici]] <|> " => suggestions : ['\xa0»', '”']
47 Guillemets typographiques ouvrants. [[27:28]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> " => suggestions : ['«\xa0', '“']
47 Mot inconnu : think [[30:35]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> think
47 Mot inconnu : adding [[36:42]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> adding
47 Mot inconnu : this [[43:47]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> this
47 Mot inconnu : kind [[48:52]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> kind
47 Mot inconnu : of [[53:55]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> of
47 Mot inconnu : heuristic [[56:65]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> heuristic
47 Mot inconnu : to [[66:68]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> to
47 Mot inconnu : is [[84:86]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> is
47 Mot inconnu : probably [[87:95]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> probably
47 Mot inconnu : idea [[102:106]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> idea
47 Mot inconnu : We [[108:110]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> we
47 Mot inconnu : don't [[111:116]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> don't
47 Mot inconnu : want [[117:121]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> want
47 Mot inconnu : selection [[122:131]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> selection
47 Mot inconnu : of [[132:134]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> of
47 Mot inconnu : to [[141:143]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> to
47 Mot inconnu : become [[144:150]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> become
47 Mot inconnu : non-deterministic [[151:168]] => Réponse des développeurs : "I think adding this kind of heuristic to a file manager is probably a bad idea. We don't want selection of files to become non-deterministic. There is something we've added that can help you find those files however. If you save a page to Zippy.html and then you open nautilus and search for "Zippy" you should see both Zippy.html and Zippy_files right there in view. Type Ctrl+A. Ctrl+C. And you are ready go to." <|> non-deterministic
