1 Mot inconnu : Nathanos => ====== Nathanos ====== | nathanos

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Prénom** : Nathan. |    => suggestions : ['']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Age** : 20 ans. |    => suggestions : ['']
9 Avec une unité de mesure, mettez un espace insécable. =>   * **Age** : 20 ans. | 20 ans => suggestions : ['20\xa0ans']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Localisation** : Haute Corse (Oletta). |    => suggestions : ['']
10 Il manque un trait d’union. =>   * **Localisation** : Haute Corse (Oletta). | haute corse => suggestions : ['Haute-Corse']
10 Mot inconnu : Oletta =>   * **Localisation** : Haute Corse (Oletta). | oletta

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Langues parlées** : français (maternelle), anglais (scolaire à courant), allemand (à ce qui parait), japonais (base). |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Niveau d'étude** : En cours de 2e année de licence (Fac de Corse) en Biologie/Géologie. |    => suggestions : ['']
12 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>   * **Niveau d'étude** : En cours de 2e année de licence (Fac de Corse) en Biologie/Géologie. | 2e => suggestions : ['2ᵉ']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **MMORPG Jouée actuellement** : Eve Online. |    => suggestions : ['']
13 Mot inconnu : MMORPG =>   * **MMORPG Jouée actuellement** : Eve Online. | mmorpg
13 Mot inconnu : Online =>   * **MMORPG Jouée actuellement** : Eve Online. | online

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Ubuntu ?** Utilisateur depuis Breezy. Pas d'utilisation de distribution autre que Ubuntu (flemme...). |    => suggestions : ['']
14 Mot inconnu : Breezy =>   * **Ubuntu ?** Utilisateur depuis Breezy. Pas d'utilisation de distribution autre que Ubuntu (flemme...). | breezy
14 Typographie : points de suspension. Utilisez le caractère dédié. =>   * **Ubuntu ?** Utilisateur depuis Breezy. Pas d'utilisation de distribution autre que Ubuntu (flemme...). | ... => suggestions : ['…']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Contact** : thanatos[at]microcosmo[dot]net |    => suggestions : ['']
15 Mot inconnu : at =>   * **Contact** : thanatos[at]microcosmo[dot]net | at
15 Mot inconnu : microcosmo =>   * **Contact** : thanatos[at]microcosmo[dot]net | microcosmo
