
16 Mot inconnu : _Enchained => ===== Proposition 1 (_Enchained) ===== | _enchained

18 Mot inconnu : Human => Ils sont tirés du thème Human, sauf l'icône « note » qui vient de Tango | human

20 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Ce sont les .svg repris de /usr/share/icons/ mis en png en 48x48 |  . => suggestions : ['. ', '.']
20 Mot inconnu : svg => Ce sont les .svg repris de /usr/share/icons/ mis en png en 48x48 | svg
20 Signe de multiplication typographique. => Ce sont les .svg repris de /usr/share/icons/ mis en png en 48x48 | 48x48 => suggestions : ['48\xa0×\xa048']
20 Mot inconnu : x48 => Ce sont les .svg repris de /usr/share/icons/ mis en png en 48x48 | x48

29 Mot inconnu : Caelo => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | caelo
29 Mot inconnu : insultans => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | insultans
29 Mot inconnu : ratus => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | ratus
29 Mot inconnu : obtrectatorem => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | obtrectatorem
29 Mot inconnu : excarnificari => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | excarnificari
29 Mot inconnu : ratus => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | ratus
29 Mot inconnu : cruento => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | cruento
29 Mot inconnu : avulsam => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | avulsam
29 Mot inconnu : superbiam => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | superbiam
29 Mot inconnu : quemquam => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | quemquam
29 Mot inconnu : pectore => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | pectore
29 Mot inconnu : poenali => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | poenali

32 Mot inconnu : Adsueti => > Adsueti militibus distribui omne triduum valido militibus militibus subigente adiri. | adsueti
32 Mot inconnu : militibus => > Adsueti militibus distribui omne triduum valido militibus militibus subigente adiri. | militibus
32 Mot inconnu : distribui => > Adsueti militibus distribui omne triduum valido militibus militibus subigente adiri. | distribui
32 Mot inconnu : omne => > Adsueti militibus distribui omne triduum valido militibus militibus subigente adiri. | omne
32 Mot inconnu : valido => > Adsueti militibus distribui omne triduum valido militibus militibus subigente adiri. | valido
32 Mot inconnu : militibus => > Adsueti militibus distribui omne triduum valido militibus militibus subigente adiri. | militibus
32 Doublon. => > Adsueti militibus distribui omne triduum valido militibus militibus subigente adiri. | militibus militibus => suggestions : ['militibus']
32 Mot inconnu : militibus => > Adsueti militibus distribui omne triduum valido militibus militibus subigente adiri. | militibus
32 Mot inconnu : subigente => > Adsueti militibus distribui omne triduum valido militibus militibus subigente adiri. | subigente
32 Mot inconnu : adiri => > Adsueti militibus distribui omne triduum valido militibus militibus subigente adiri. | adiri

34 Mot inconnu : Caelo => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | caelo
34 Mot inconnu : insultans => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | insultans
34 Mot inconnu : ratus => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | ratus
34 Mot inconnu : obtrectatorem => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | obtrectatorem
34 Mot inconnu : excarnificari => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | excarnificari
34 Mot inconnu : ratus => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | ratus
34 Mot inconnu : cruento => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | cruento
34 Mot inconnu : avulsam => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | avulsam
34 Mot inconnu : superbiam => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | superbiam
34 Mot inconnu : quemquam => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | quemquam
34 Mot inconnu : pectore => Caelo ut insultans ratus obtrectatorem excarnificari nec ratus cruento avulsam superbiam in quemquam pectore poenali. | pectore
