1 Mot inconnu : OwInTwIsT [[6:15]] => ===== OwInTwIsT ===== <|> owintwist

3 Mot inconnu : Gauzy [[24:29]] => De mon vrai nom, Clovis Gauzy... <|> gauzy
3 Typographie : points de suspension. Utilisez le caractère dédié. [[29:32]] => De mon vrai nom, Clovis Gauzy... <|> ... => suggestions : ['…']

5 Accord de nombre erroné : « système » devrait être au pluriel. [[62:69]] => Je suis régisseur lumière de profession, et passionné par les système GNU/Linux et l'informatique en général. <|> système => suggestions : ['systèmes']

6 Guillemets typographiques ouvrants. [[19:20]] => Je ne suis pas une "tronche" en ce qui concerne Linux en profondeur, mais j'ai réussi à me sortir de certaines situations... <|> " => suggestions : ['«\xa0', '“']
6 Guillemets typographiques fermants. [[27:28]] => Je ne suis pas une "tronche" en ce qui concerne Linux en profondeur, mais j'ai réussi à me sortir de certaines situations... <|> " => suggestions : ['\xa0»', '”']
6 Typographie : points de suspension. Utilisez le caractère dédié. [[121:124]] => Je ne suis pas une "tronche" en ce qui concerne Linux en profondeur, mais j'ai réussi à me sortir de certaines situations... <|> ... => suggestions : ['…']

8 Mot inconnu : P200-12V [[22:30]] => Je possède un Toshiba P200-12V ainsi qu'un poste de bureau à base de processeur AMD64 (Athlon 3500+). Je pratique la photographie en amateur et utilise quelques logiciels dédiés à la photographie. <|> p200-12v
8 Mot inconnu : AMD64 [[80:85]] => Je possède un Toshiba P200-12V ainsi qu'un poste de bureau à base de processeur AMD64 (Athlon 3500+). Je pratique la photographie en amateur et utilise quelques logiciels dédiés à la photographie. <|> amd64
8 Mot inconnu : Athlon [[87:93]] => Je possède un Toshiba P200-12V ainsi qu'un poste de bureau à base de processeur AMD64 (Athlon 3500+). Je pratique la photographie en amateur et utilise quelques logiciels dédiés à la photographie. <|> athlon

10 Accord de nombre erroné : « réseaux » est au pluriel. [[29:31]] => Vous pouvez me contacter sur le réseaux Jabber via owintwist@jabber.fr si vous avez quelques questions... Mais n'en abusez pas trop quand même ! Je n'ai pas forcément toujours le temps de vous filer un coup de main... ;-) <|> le => suggestions : ['les']
10 Accord de nombre erroné : « réseaux » devrait être au singulier. [[32:39]] => Vous pouvez me contacter sur le réseaux Jabber via owintwist@jabber.fr si vous avez quelques questions... Mais n'en abusez pas trop quand même ! Je n'ai pas forcément toujours le temps de vous filer un coup de main... ;-) <|> réseaux => suggestions : ['réseau']
10 Mot inconnu : Jabber [[40:46]] => Vous pouvez me contacter sur le réseaux Jabber via owintwist@jabber.fr si vous avez quelques questions... Mais n'en abusez pas trop quand même ! Je n'ai pas forcément toujours le temps de vous filer un coup de main... ;-) <|> jabber
10 Typographie : points de suspension. Utilisez le caractère dédié. [[102:105]] => Vous pouvez me contacter sur le réseaux Jabber via owintwist@jabber.fr si vous avez quelques questions... Mais n'en abusez pas trop quand même ! Je n'ai pas forcément toujours le temps de vous filer un coup de main... ;-) <|> ... => suggestions : ['…']
10 Typographie : points de suspension. Utilisez le caractère dédié. [[214:217]] => Vous pouvez me contacter sur le réseaux Jabber via owintwist@jabber.fr si vous avez quelques questions... Mais n'en abusez pas trop quand même ! Je n'ai pas forcément toujours le temps de vous filer un coup de main... ;-) <|> ... => suggestions : ['…']
