1 Mot inconnu : Padawarno => ====== Padawarno ====== | padawarno

4 Mot inconnu : Arno => | Prénom | Arno | | arno

9 Mot inconnu : WLMi => ==== Ordinateur portable Acer Aspire 1692 WLMi ==== | wlmi

10 Mot inconnu : WLMi => **Acer Aspire 1692 WLMi sous Debian squeeze 6.0.3 + Openbox** | wlmi
10 Mot inconnu : Openbox => **Acer Aspire 1692 WLMi sous Debian squeeze 6.0.3 + Openbox** | openbox

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pentium M 1.73GHz |    => suggestions : ['']
11 Mot inconnu : Pentium =>   * Pentium M 1.73GHz | pentium

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 1Go de mémoire vive DDR2 |    => suggestions : ['']
12 Mot inconnu : DDR2 =>   * 1Go de mémoire vive DDR2 | ddr2

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 100Go de disque dur SATA |    => suggestions : ['']
13 Mot inconnu : SATA =>   * 100Go de disque dur SATA | sata

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ATI Radéon mobility X700 |    => suggestions : ['']
14 Mot inconnu : ATI =>   * ATI Radéon mobility X700 | ati
14 Mot inconnu : Radéon =>   * ATI Radéon mobility X700 | radéon
14 Mot inconnu : mobility =>   * ATI Radéon mobility X700 | mobility
14 Mot inconnu : X700 =>   * ATI Radéon mobility X700 | x700

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * écran 15,4" 16/10 1280x800 |    => suggestions : ['']
15 Guillemets typographiques fermants. =>   * écran 15,4" 16/10 1280x800 | " => suggestions : ['\xa0»', '”']
15 Signe de multiplication typographique. =>   * écran 15,4" 16/10 1280x800 | 1280x800 => suggestions : ['1280\xa0×\xa0800']
15 Mot inconnu : x800 =>   * écran 15,4" 16/10 1280x800 | x800

17 Mot inconnu : Vaio => ==== Ordinateur portable Sony Vaio VGN-NS190D ==== | vaio
17 Mot inconnu : VGN-NS190D => ==== Ordinateur portable Sony Vaio VGN-NS190D ==== | vgn-ns190d

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Intel Core 2 Duo T5800 (x64) 2GHz |    => suggestions : ['']
19 Mot inconnu : Core =>   * Intel Core 2 Duo T5800 (x64) 2GHz | core
19 Accord de nombre erroné avec « 2 » : « Duo » devrait être au pluriel. =>   * Intel Core 2 Duo T5800 (x64) 2GHz | duo => suggestions : ['Duos']
19 Mot inconnu : T5800 =>   * Intel Core 2 Duo T5800 (x64) 2GHz | t5800
19 Mot inconnu : x64 =>   * Intel Core 2 Duo T5800 (x64) 2GHz | x64

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 4Go de mémoire vive DDR2-800 |    => suggestions : ['']
20 Mot inconnu : DDR2-800 =>   * 4Go de mémoire vive DDR2-800 | ddr2-800

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 250Go de disque dur SATA |    => suggestions : ['']
21 Mot inconnu : SATA =>   * 250Go de disque dur SATA | sata

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Intel GMA 4500MHD |    => suggestions : ['']
22 Mot inconnu : GMA =>   * Intel GMA 4500MHD | gma
22 Mot inconnu : MHD =>   * Intel GMA 4500MHD | mhd

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * écran 15,4" 16/10 1280x800 |    => suggestions : ['']
23 Guillemets typographiques fermants. =>   * écran 15,4" 16/10 1280x800 | " => suggestions : ['\xa0»', '”']
23 Signe de multiplication typographique. =>   * écran 15,4" 16/10 1280x800 | 1280x800 => suggestions : ['1280\xa0×\xa0800']
23 Mot inconnu : x800 =>   * écran 15,4" 16/10 1280x800 | x800

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * lecteur blu-ray / graveur dvd |    => suggestions : ['']
24 Mot inconnu : blu-ray =>   * lecteur blu-ray / graveur dvd | blu-ray
24 Mot inconnu : dvd =>   * lecteur blu-ray / graveur dvd | dvd
