1 Mot inconnu : deuxieme => Actuellement en fin de deuxieme année de DUT... Cherche un emploi ;) | deuxieme
1 Typographie : points de suspension. Utilisez le caractère dédié. => Actuellement en fin de deuxieme année de DUT... Cherche un emploi ;) | ... => suggestions : ['…']

6 Mot inconnu : Photoshop => Photoshop, Illustrator, The Gimp, Flash, 3Ds Max | photoshop
6 Mot inconnu : Illustrator => Photoshop, Illustrator, The Gimp, Flash, 3Ds Max | illustrator
6 Mot inconnu : The => Photoshop, Illustrator, The Gimp, Flash, 3Ds Max | the

11 Mot inconnu : XHTML => HTML, XHTML, PHP, Java, XML, CSS, MySQL, PostGreSQL, ... | xhtml
11 Mot inconnu : MySQL => HTML, XHTML, PHP, Java, XML, CSS, MySQL, PostGreSQL, ... | mysql
11 Mot inconnu : PostGreSQL => HTML, XHTML, PHP, Java, XML, CSS, MySQL, PostGreSQL, ... | postgresql
11 Une de ces ponctuations est superflue. => HTML, XHTML, PHP, Java, XML, CSS, MySQL, PostGreSQL, ... | , . => suggestions : [',', '.']
11 Typographie : points de suspension. Utilisez le caractère dédié. => HTML, XHTML, PHP, Java, XML, CSS, MySQL, PostGreSQL, ... | ... => suggestions : ['…']

14 Typographie : points de suspension. Utilisez le caractère dédié. => ===== Me contacter... ===== | ... => suggestions : ['…']

18 Mot inconnu : MSN => Je suis également sur MSN Messenger | msn
18 Mot inconnu : Messenger => Je suis également sur MSN Messenger | messenger
