1 Mot inconnu : lirc => Fonctionnement de lirc : http://mmed.roulleau.net/?p=7&cpage=1#comment-58 | lirc

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cat /proc/bus/input/devices |    => suggestions : ['']
5 Mot inconnu : cat =>   cat /proc/bus/input/devices | cat
5 Mot inconnu : proc =>   cat /proc/bus/input/devices | proc
5 Mot inconnu : ices =>   cat /proc/bus/input/devices | ices

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   tail /var/log/Xorg.0.log |    => suggestions : ['']
6 Mot inconnu : tail =>   tail /var/log/Xorg.0.log | tail

8 Mot inconnu : lirc => Lancer lirc manuellement pour observer les sortis consoles :  | lirc
8 Espace(s) en fin de ligne à supprimer. => Lancer lirc manuellement pour observer les sortis consoles :  |   => suggestions : ['']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   lircd -H devinput -d "periph" -n |    => suggestions : ['']
9 Mot inconnu : lircd =>   lircd -H devinput -d "periph" -n | lircd
9 Il manque un espace à côté du tiret. =>   lircd -H devinput -d "periph" -n |  - => suggestions : [' – ', ' — ']
9 Mot inconnu : devinput =>   lircd -H devinput -d "periph" -n | devinput
9 Il manque un espace à côté du tiret. =>   lircd -H devinput -d "periph" -n |  - => suggestions : [' – ', ' — ']
9 Guillemets typographiques ouvrants. =>   lircd -H devinput -d "periph" -n | " => suggestions : ['«\xa0', '“']
9 Mot inconnu : periph =>   lircd -H devinput -d "periph" -n | periph
9 Guillemets typographiques fermants. =>   lircd -H devinput -d "periph" -n | " => suggestions : ['\xa0»', '”']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   irw |    => suggestions : ['']
11 Mot inconnu : irw =>   irw | irw

15 Mot inconnu : chanque => pour chanque commande lirc on peut remplacer le nom trouver ici par name=cx88\?IR\?\?Hauppauge\?Nova-S-Plus\? | chanque
15 Mot inconnu : lirc => pour chanque commande lirc on peut remplacer le nom trouver ici par name=cx88\?IR\?\?Hauppauge\?Nova-S-Plus\? | lirc
