1 Mot inconnu : Skully [[7:13]] => ====== Skully ====== <|> skully
3 Mot inconnu : ubuntu-fr [[93:102]] => Je suis un inconnu aux yeux de beaucoup d'entre vous, étant débutant en linux et nouveau sur ubuntu-fr. <|> ubuntu-fr
7 Pas de majuscule sur les mois. [[64:71]] => Je suis nouveau, j'ai fait ma première installation de linux en Octobre 2008, plus exactement le 24 Octobre 2008. <|> octobre => suggestions : ['octobre']
7 Pas de majuscule sur les mois. [[100:107]] => Je suis nouveau, j'ai fait ma première installation de linux en Octobre 2008, plus exactement le 24 Octobre 2008. <|> octobre => suggestions : ['octobre']

9 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. [[11:17]] => Mais je me permet de contribuer modestement à ce Wiki pour permettre d'exprimer mon savoir aux autres nouveaux utilisateurs, ou utilisateurs depuis un bon moment. <|> permet => suggestions : ['permets']

15 Mot inconnu : XP [[48:50]] => J'ai véritablement commencé l'informatique sous XP. Il faut avouer que ce système ramait, et ne me plaisait pas du tout. <|> xp

17 Mot inconnu : XP [[143:145]] => Néanmoins, je me suis documenté énormément sur ce système. Aujourd'hui, je suis certainement capable de résoudre la plupart des problèmes sous XP. <|> xp

19 Mot inconnu : Vista [[44:49]] => Mais j'ai réellement été séduit par Windows Vista. <|> vista

23 Mot inconnu : XP [[96:98]] => Moi je pense que la plupart d'entre nous ont oublié ce qu'il s'est passé à la sortie de Windows XP. Tout le monde voulait rester sur son Windows 2000, et il ne fallait pas les en blâmer... <|> xp
23 Typographie : points de suspension. Utilisez le caractère dédié. [[185:188]] => Moi je pense que la plupart d'entre nous ont oublié ce qu'il s'est passé à la sortie de Windows XP. Tout le monde voulait rester sur son Windows 2000, et il ne fallait pas les en blâmer... <|> ... => suggestions : ['…']

25 Mot inconnu : Vista [[36:41]] => Mais il se passe la même chose sous Vista, et là... Tout le monde veut rester sous XP! Sous Windows 2000 j'aurai compris, mais maintenant, XP plaît à tout le monde... <|> vista
25 Typographie : points de suspension. Utilisez le caractère dédié. [[48:51]] => Mais il se passe la même chose sous Vista, et là... Tout le monde veut rester sous XP! Sous Windows 2000 j'aurai compris, mais maintenant, XP plaît à tout le monde... <|> ... => suggestions : ['…']
25 Mot inconnu : XP [[83:85]] => Mais il se passe la même chose sous Vista, et là... Tout le monde veut rester sous XP! Sous Windows 2000 j'aurai compris, mais maintenant, XP plaît à tout le monde... <|> xp
