
4 Mot inconnu : sonn2 => |Pseudo|sonn2| | sonn2

7 Mot inconnu : Ubunteros => |Ubunteros depuis|1 an et demi| | ubunteros
8 Mot inconnu : EDT => |Distribution testée|ubuntu (EDT: gnome, unity, kde) version toujours à jour, actuelle 10.10| | edt
8 Mot inconnu : unity => |Distribution testée|ubuntu (EDT: gnome, unity, kde) version toujours à jour, actuelle 10.10| | unity
8 Mot inconnu : kde => |Distribution testée|ubuntu (EDT: gnome, unity, kde) version toujours à jour, actuelle 10.10| | kde

10 Mot inconnu : passioné => |passioné par l'informatique depuis mes 9~10 ans. (mes débuts sur win et MS-DOS LOL )| | passioné
10 Mot inconnu : win => |passioné par l'informatique depuis mes 9~10 ans. (mes débuts sur win et MS-DOS LOL )| | win
10 Pas d’espace avant ce signe. => |passioné par l'informatique depuis mes 9~10 ans. (mes débuts sur win et MS-DOS LOL )| |  ) => suggestions : [')']

11 Mot inconnu : Languages => ==== Languages ==== | languages

13 Conjugaison erronée. Accord avec “Je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => Je connait déjà quelques languages de programation : | connait => suggestions : ['connais']
13 Mot inconnu : languages => Je connait déjà quelques languages de programation : | languages
13 Mot inconnu : programation => Je connait déjà quelques languages de programation : | programation

24 Incohérence probable avec “ai” : “quitter” n’est pas un participe passé. => J'ai quitter le monde propriétaire il y a plus de deux an et je respire enfin :-P | quitter => suggestions : ['quitté']
24 Accord de nombre erroné avec « deux » : « an » devrait être au pluriel. => J'ai quitter le monde propriétaire il y a plus de deux an et je respire enfin :-P | an => suggestions : ['ans']

25 Typographie : points de suspension. Utilisez le caractère dédié. => J'adore l'idée de pouvoir modifier mon système comme je le veux (même si pour le moment je me contente de peu...) mon savoir est trop faible à mon goût, mais heureusement j'ai la soif d'apprendre :-D | ... => suggestions : ['…']

29 Conjugaison erronée. Accord avec “Je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => Je fait cette page pour mettre des liens que je trouve les plus utiles, je posterais aussi mon modeste script. | fait => suggestions : ['fis', 'fais', 'faisais']

30 Typographie : points de suspension. Utilisez le caractère dédié. => C'est mes petits trucs à moi, rien de génial, mais bon... j'aime l'idée de OpenSource et du Partage, alors si ça peut aider quelqu'un d'autre... | ... => suggestions : ['…']
30 Incohérence avec “de” : “OpenSource” est une forme verbale conjuguée. => C'est mes petits trucs à moi, rien de génial, mais bon... j'aime l'idée de OpenSource et du Partage, alors si ça peut aider quelqu'un d'autre... | opensource => suggestions : ['Opensourcé', 'Opensourcés', 'Opensourcée', 'Opensourcées']
30 Mot inconnu : OpenSource => C'est mes petits trucs à moi, rien de génial, mais bon... j'aime l'idée de OpenSource et du Partage, alors si ça peut aider quelqu'un d'autre... | opensource
30 Typographie : points de suspension. Utilisez le caractère dédié. => C'est mes petits trucs à moi, rien de génial, mais bon... j'aime l'idée de OpenSource et du Partage, alors si ça peut aider quelqu'un d'autre... | ... => suggestions : ['…']

36 Mot inconnu : xD => ==== message xD ==== | xd

38 Guillemets typographiques ouvrants. => "Bonjour à tous les utilisateurs [ubuntu], | " => suggestions : ['«\xa0', '“']

39 Pas d’espace avant ce signe. => Je fais un [script] (gratuit – juste un hobby, il ne sera pas grand ni professionnel comme [d'autres] ). Cela était en préparation depuis [meme pas une semaine], et il [n']est [pas encore] prêt. J’aimerais avoir des commentaires sur ce que vous aimez et n’aimez pas dans [ce script et ce que vous aimeriais y voir]." |  ) => suggestions : [')']
39 Mot inconnu : meme => Je fais un [script] (gratuit – juste un hobby, il ne sera pas grand ni professionnel comme [d'autres] ). Cela était en préparation depuis [meme pas une semaine], et il [n']est [pas encore] prêt. J’aimerais avoir des commentaires sur ce que vous aimez et n’aimez pas dans [ce script et ce que vous aimeriais y voir]." | meme
39 Mot inconnu : aimeriais => Je fais un [script] (gratuit – juste un hobby, il ne sera pas grand ni professionnel comme [d'autres] ). Cela était en préparation depuis [meme pas une semaine], et il [n']est [pas encore] prêt. J’aimerais avoir des commentaires sur ce que vous aimez et n’aimez pas dans [ce script et ce que vous aimeriais y voir]." | aimeriais
39 Guillemets typographiques fermants. => Je fais un [script] (gratuit – juste un hobby, il ne sera pas grand ni professionnel comme [d'autres] ). Cela était en préparation depuis [meme pas une semaine], et il [n']est [pas encore] prêt. J’aimerais avoir des commentaires sur ce que vous aimez et n’aimez pas dans [ce script et ce que vous aimeriais y voir]." | " => suggestions : ['\xa0»', '”']
