1 Mot inconnu : Spomky [[7:13]] => ====== Spomky ====== <|> spomky
4 Mot inconnu : CLocate [[4:11]] =>   * CLocate, une classe C++ permettant de gérer des coordonnées spatiales, d'effectuer des conversions et des calculs. <|> clocate
5 Mot inconnu : GPGMeWrapper [[4:16]] =>   * GPGMeWrapper : une série de classe C++ facilitant l'usage de l'API GPGMe <|> gpgmewrapper
5 Mot inconnu : GPGMe [[71:76]] =>   * GPGMeWrapper : une série de classe C++ facilitant l'usage de l'API GPGMe <|> gpgme
7 Mot inconnu : QSatellites [[4:15]] =>   * QSatellites : une série d'objets Qt4 utilisant CNMEAParser qui permettent d'afficher les informations obtenues à partir d'un récepteur GPS (position, vitesse, satellites vus et utilisés, vitesse, ...) <|> qsatellites
7 Mot inconnu : Qt4 [[37:40]] =>   * QSatellites : une série d'objets Qt4 utilisant CNMEAParser qui permettent d'afficher les informations obtenues à partir d'un récepteur GPS (position, vitesse, satellites vus et utilisés, vitesse, ...) <|> qt4
7 Mot inconnu : CNMEAParser [[51:62]] =>   * QSatellites : une série d'objets Qt4 utilisant CNMEAParser qui permettent d'afficher les informations obtenues à partir d'un récepteur GPS (position, vitesse, satellites vus et utilisés, vitesse, ...) <|> cnmeaparser
7 Une de ces ponctuations est superflue. [[198:201]] =>   * QSatellites : une série d'objets Qt4 utilisant CNMEAParser qui permettent d'afficher les informations obtenues à partir d'un récepteur GPS (position, vitesse, satellites vus et utilisés, vitesse, ...) <|> , . => suggestions : [',', '.']
7 Typographie : points de suspension. Utilisez le caractère dédié. [[200:203]] =>   * QSatellites : une série d'objets Qt4 utilisant CNMEAParser qui permettent d'afficher les informations obtenues à partir d'un récepteur GPS (position, vitesse, satellites vus et utilisés, vitesse, ...) <|> ... => suggestions : ['…']
8 Mot inconnu : CSearch [[4:11]] =>   * CSearch, une intelligence artificielle de type pathfinding (recherche de chemin) <|> csearch
8 Mot inconnu : pathfinding [[51:62]] =>   * CSearch, une intelligence artificielle de type pathfinding (recherche de chemin) <|> pathfinding

14 Espace(s) surnuméraire(s) à supprimer. [[82:84]] => Il contient les paquets sources de mes projets ainsi que les paquets binaires pour  Ubuntu Gutsy Gibbon sur les architectures x86, x86_64 et LPIA. <|>    => suggestions : [' ']
14 Mot inconnu : Gutsy [[91:96]] => Il contient les paquets sources de mes projets ainsi que les paquets binaires pour  Ubuntu Gutsy Gibbon sur les architectures x86, x86_64 et LPIA. <|> gutsy
14 Mot inconnu : x86 [[126:129]] => Il contient les paquets sources de mes projets ainsi que les paquets binaires pour  Ubuntu Gutsy Gibbon sur les architectures x86, x86_64 et LPIA. <|> x86
14 Mot inconnu : x86_64 [[131:137]] => Il contient les paquets sources de mes projets ainsi que les paquets binaires pour  Ubuntu Gutsy Gibbon sur les architectures x86, x86_64 et LPIA. <|> x86_64
14 Mot inconnu : LPIA [[141:145]] => Il contient les paquets sources de mes projets ainsi que les paquets binaires pour  Ubuntu Gutsy Gibbon sur les architectures x86, x86_64 et LPIA. <|> lpia

15 Mot inconnu : natty [[51:56]] => <note important>Le dépôt n'est pas mis à jour pour natty</note> <|> natty

17 Accord de nombre erroné avec « la signature » : « numériques » devrait être au singulier. [[63:73]] => Vous devez ajouter ma clef publique pour vérifier la signature numériques des paquets. <|> numériques => suggestions : ['numérique']
