
5 Mot inconnu : NFS => ====== NFS - V4 : Network File System - le partage réseau sous Linux ====== | nfs
5 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== NFS - V4 : Network File System - le partage réseau sous Linux ====== |  -  => suggestions : [' – ', ' — ', ' − ']
5 Mot inconnu : V4 => ====== NFS - V4 : Network File System - le partage réseau sous Linux ====== | v4
5 Mot inconnu : Network => ====== NFS - V4 : Network File System - le partage réseau sous Linux ====== | network
5 Mot inconnu : System => ====== NFS - V4 : Network File System - le partage réseau sous Linux ====== | system
5 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== NFS - V4 : Network File System - le partage réseau sous Linux ====== |  -  => suggestions : [' – ', ' — ', ' − ']

12 Mot inconnu : reseau => Vous devez avoir une connexion réseau active et votre réseau doit être sécurisé. Le principe de base d'un système de fichiers reseau est le partage des fichiers. Vous ne pouvez pas raisonnablement monter un pare-feu entre vos serveurs et vos clients NFS. | reseau
12 Mot inconnu : NFS => Vous devez avoir une connexion réseau active et votre réseau doit être sécurisé. Le principe de base d'un système de fichiers reseau est le partage des fichiers. Vous ne pouvez pas raisonnablement monter un pare-feu entre vos serveurs et vos clients NFS. | nfs

16 Mot inconnu : nfs => Les paquets sont les mêmes que pour les versions précédentes de nfs : nfs-common, et nfs-kernel-server pour le serveur. | nfs
16 Mot inconnu : nfs-common => Les paquets sont les mêmes que pour les versions précédentes de nfs : nfs-common, et nfs-kernel-server pour le serveur. | nfs-common
16 Mot inconnu : nfs-kernel-server => Les paquets sont les mêmes que pour les versions précédentes de nfs : nfs-common, et nfs-kernel-server pour le serveur. | nfs-kernel-server

20 Mot inconnu : nfs => La différence principale est que le protocole fait désormais référence à une racine nfs. Vous choisissez un répertoire qui contiendra tous les dossiers exportés. Vous exportez cette racine, puis, tous les dossiers intérieurs que vous souhaitez aussi exporter, avec leurs options. | nfs

22 Mot inconnu : bind => Vous pouvez par exemple créer un dossier **/exports**, déplacer les dossiers à partager dedans, ou les y monter avec l'option **bind**, puis exporter les répertoires. | bind
