1 Mot inconnu : Idendité [[14:22]] => ===== Fiche d'Idendité ===== <|> idendité
2 Mot inconnu : Leger [[23:28]] =>   * **Nom :** de Saint Leger Christophe <|> leger
4 Mot inconnu : cdesaintleger [[18:31]] =>   * **Contact :** cdesaintleger[@]free[.]fr <|> cdesaintleger
4 Mot inconnu : free [[34:38]] =>   * **Contact :** cdesaintleger[@]free[.]fr <|> free
10 Mot inconnu : resp [[37:41]] =>   * **Actuellement :** Développeur & resp info en entreprise <|> resp
12 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[20:24]] =>   * **2004/2005 :** 2Eme Année BTS IRIS, informatique et réseaux industriel, **OZANAM** <|> 2eme => suggestions : 2ᵉ
12 Mot inconnu : Eme [[21:24]] =>   * **2004/2005 :** 2Eme Année BTS IRIS, informatique et réseaux industriel, **OZANAM** <|> eme
12 Mot inconnu : OZANAM [[79:85]] =>   * **2004/2005 :** 2Eme Année BTS IRIS, informatique et réseaux industriel, **OZANAM** <|> ozanam
13 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[20:24]] =>   * **2003/2004 :** 2Eme Année BTS IRIS, informatique et réseaux industriel, **OZANAM** <|> 2eme => suggestions : 2ᵉ
13 Mot inconnu : Eme [[21:24]] =>   * **2003/2004 :** 2Eme Année BTS IRIS, informatique et réseaux industriel, **OZANAM** <|> eme
13 Mot inconnu : OZANAM [[79:85]] =>   * **2003/2004 :** 2Eme Année BTS IRIS, informatique et réseaux industriel, **OZANAM** <|> ozanam
